station_name,station_no,year,month,day,hour,date,dir,speed,rh,temp,rainfall,solar,
Dunsany,1375,2017,5,13,0,13-may-2017 00:00:00,12,4,100,11.2,1.5,0.0,
Dunsany,1375,2017,5,13,1,13-may-2017 01:00:00,12,4,100,11.2,0.7,0.0,
Dunsany,1375,2017,5,13,2,13-may-2017 02:00:00,18,5,100,10.6,0.0,0.0,
Dunsany,1375,2017,5,13,3,13-may-2017 03:00:00,18,6,100,10.0,0.1,0.0,
Dunsany,1375,2017,5,13,4,13-may-2017 04:00:00,20,5,100,9.9,0.0,3.2,
Dunsany,1375,2017,5,13,5,13-may-2017 05:00:00,25,14,98,9.3,0.5,8.8,
Dunsany,1375,2017,5,13,6,13-may-2017 06:00:00,24,9,100,9.5,2.0,7.5,
Dunsany,1375,2017,5,13,7,13-may-2017 07:00:00,22,11,100,9.8,1.2,54.0,
Dunsany,1375,2017,5,13,8,13-may-2017 08:00:00,22,10,95,10.7,0.1,89.8,
Dunsany,1375,2017,5,13,9,13-may-2017 09:00:00,22,11,90,11.1,0.0,128.9,
Dunsany,1375,2017,5,13,10,13-may-2017 10:00:00,22,12,83,12.4,0.0,139.7,
Dunsany,1375,2017,5,13,11,13-may-2017 11:00:00,19,10,80,13.2,0.0,112.8,
Dunsany,1375,2017,5,13,12,13-may-2017 12:00:00,19,12,82,13.5,0.0,129.5,
Dunsany,1375,2017,5,13,13,13-may-2017 13:00:00,20,11,80,13.8,0.0,83.0,
Dunsany,1375,2017,5,13,14,13-may-2017 14:00:00,18,13,81,13.9,0.0,171.6,
Dunsany,1375,2017,5,13,15,13-may-2017 15:00:00,19,14,74,14.8,0.0,91.2,
Dunsany,1375,2017,5,13,16,13-may-2017 16:00:00,18,13,76,14.2,0.0,56.9,
Dunsany,1375,2017,5,13,17,13-may-2017 17:00:00,17,13,85,13.3,0.0,48.9,
Dunsany,1375,2017,5,13,18,13-may-2017 18:00:00,16,11,80,13.8,0.0,13.7,
Dunsany,1375,2017,5,13,19,13-may-2017 19:00:00,16,8,95,12.1,1.3,6.3,
Dunsany,1375,2017,5,13,20,13-may-2017 20:00:00,26,10,97,9.5,0.6,0.0,
Dunsany,1375,2017,5,13,21,13-may-2017 21:00:00,21,4,99,8.9,0.8,0.0,
Dunsany,1375,2017,5,13,22,13-may-2017 22:00:00,19,4,100,8.7,0.0,0.0,
Dunsany,1375,2017,5,13,23,13-may-2017 23:00:00,18,5,100,8.3,0.0,0.0,
Dunsany,1375,2017,5,14,0,14-may-2017 00:00:00,19,4,99,8.1,0.8,0.0,
Dunsany,1375,2017,5,14,1,14-may-2017 01:00:00,19,6,100,7.7,0.0,0.0,
Dunsany,1375,2017,5,14,2,14-may-2017 02:00:00,18,5,99,7.1,0.0,0.0,
Dunsany,1375,2017,5,14,3,14-may-2017 03:00:00,20,6,100,6.7,0.1,0.0,
Dunsany,1375,2017,5,14,4,14-may-2017 04:00:00,18,5,100,6.2,0.0,2.5,
Dunsany,1375,2017,5,14,5,14-may-2017 05:00:00,19,5,100,5.9,0.0,30.0,
Dunsany,1375,2017,5,14,6,14-may-2017 06:00:00,20,6,98,7.1,0.0,77.7,
Dunsany,1375,2017,5,14,7,14-may-2017 07:00:00,21,6,92,8.9,0.1,135.5,
Dunsany,1375,2017,5,14,8,14-may-2017 08:00:00,20,10,82,10.7,0.0,193.9,
Dunsany,1375,2017,5,14,9,14-may-2017 09:00:00,20,11,76,12.2,0.0,177.8,
Dunsany,1375,2017,5,14,10,14-may-2017 10:00:00,22,11,70,12.6,0.0,152.5,
Dunsany,1375,2017,5,14,11,14-may-2017 11:00:00,22,10,66,12.5,0.0,257.5,
Dunsany,1375,2017,5,14,12,14-may-2017 12:00:00,22,14,57,15.2,0.0,316.4,
Dunsany,1375,2017,5,14,13,14-may-2017 13:00:00,18,11,61,15.7,0.0,135.1,
Dunsany,1375,2017,5,14,14,14-may-2017 14:00:00,23,7,88,10.7,0.9,114.3,
Dunsany,1375,2017,5,14,15,14-may-2017 15:00:00,18,5,85,12.7,1.0,135.7,
Dunsany,1375,2017,5,14,16,14-may-2017 16:00:00,20,10,82,11.6,0.0,75.8,
Dunsany,1375,2017,5,14,17,14-may-2017 17:00:00,24,11,92,10.6,0.9,38.5,
Dunsany,1375,2017,5,14,18,14-may-2017 18:00:00,15,3,92,10.9,1.1,31.7,
Dunsany,1375,2017,5,14,19,14-may-2017 19:00:00,18,8,83,11.9,0.0,14.5,
Dunsany,1375,2017,5,14,20,14-may-2017 20:00:00,19,10,79,11.4,0.0,0.4,
Dunsany,1375,2017,5,14,21,14-may-2017 21:00:00,17,9,82,11.0,0.0,0.0,
Dunsany,1375,2017,5,14,22,14-may-2017 22:00:00,16,7,87,10.6,0.0,0.0,
Dunsany,1375,2017,5,14,23,14-may-2017 23:00:00,,,,,,,
This file contains PROVISIONAL hourly synoptic data and is subject to change once fully quality controlled. Contact keith.lambkin@met.ie for queries.
