station_name,station_no,year,month,day,hour,date,dir,speed,rh,temp,rainfall,solar,
Dunsany,1375,2017,9,18,0,18-sep-2017 00:00:00,18,1,98,5.5,0.0,0.0,
Dunsany,1375,2017,9,18,1,18-sep-2017 01:00:00,25,1,98,4.9,0.0,0.0,
Dunsany,1375,2017,9,18,2,18-sep-2017 02:00:00,28,1,98,4.9,0.0,0.0,
Dunsany,1375,2017,9,18,3,18-sep-2017 03:00:00,25,1,99,4.2,0.0,0.0,
Dunsany,1375,2017,9,18,4,18-sep-2017 04:00:00,26,0,99,4.1,0.0,0.0,
Dunsany,1375,2017,9,18,5,18-sep-2017 05:00:00,24,1,98,3.4,0.0,0.0,
Dunsany,1375,2017,9,18,6,18-sep-2017 06:00:00,21,1,98,3.9,0.0,15.0,
Dunsany,1375,2017,9,18,7,18-sep-2017 07:00:00,26,2,99,4.8,0.0,52.7,
Dunsany,1375,2017,9,18,8,18-sep-2017 08:00:00,25,3,97,7.5,0.0,93.3,
Dunsany,1375,2017,9,18,9,18-sep-2017 09:00:00,25,5,91,10.0,0.0,130.7,
Dunsany,1375,2017,9,18,10,18-sep-2017 10:00:00,28,4,82,11.8,0.0,191.8,
Dunsany,1375,2017,9,18,11,18-sep-2017 11:00:00,27,6,76,13.3,0.0,216.8,
Dunsany,1375,2017,9,18,12,18-sep-2017 12:00:00,27,9,70,14.2,0.0,187.2,
Dunsany,1375,2017,9,18,13,18-sep-2017 13:00:00,25,9,62,14.8,0.0,192.1,
Dunsany,1375,2017,9,18,14,18-sep-2017 14:00:00,29,7,62,14.5,0.0,190.9,
Dunsany,1375,2017,9,18,15,18-sep-2017 15:00:00,29,6,61,14.8,0.0,158.8,
Dunsany,1375,2017,9,18,16,18-sep-2017 16:00:00,27,8,60,15.4,0.0,107.0,
Dunsany,1375,2017,9,18,17,18-sep-2017 17:00:00,28,7,55,15.6,0.0,48.2,
Dunsany,1375,2017,9,18,18,18-sep-2017 18:00:00,27,4,64,13.6,0.0,2.3,
Dunsany,1375,2017,9,18,19,18-sep-2017 19:00:00,21,1,84,9.9,0.0,0.0,
Dunsany,1375,2017,9,18,20,18-sep-2017 20:00:00,18,2,88,8.3,0.0,0.0,
Dunsany,1375,2017,9,18,21,18-sep-2017 21:00:00,18,2,92,7.5,0.0,0.0,
Dunsany,1375,2017,9,18,22,18-sep-2017 22:00:00,16,1,93,7.4,0.0,0.0,
Dunsany,1375,2017,9,18,23,18-sep-2017 23:00:00,20,2,94,7.0,0.0,0.0,
Dunsany,1375,2017,9,19,0,19-sep-2017 00:00:00,23,2,94,7.0,0.0,0.0,
Dunsany,1375,2017,9,19,1,19-sep-2017 01:00:00,23,3,96,6.9,0.0,0.0,
Dunsany,1375,2017,9,19,2,19-sep-2017 02:00:00,19,2,97,7.1,0.0,0.0,
Dunsany,1375,2017,9,19,3,19-sep-2017 03:00:00,14,2,98,6.4,0.0,0.0,
Dunsany,1375,2017,9,19,4,19-sep-2017 04:00:00,16,3,98,6.6,0.0,0.0,
Dunsany,1375,2017,9,19,5,19-sep-2017 05:00:00,17,5,97,7.8,0.0,0.1,
Dunsany,1375,2017,9,19,6,19-sep-2017 06:00:00,16,3,96,8.4,0.0,8.9,
Dunsany,1375,2017,9,19,7,19-sep-2017 07:00:00,17,4,92,9.3,0.0,20.4,
Dunsany,1375,2017,9,19,8,19-sep-2017 08:00:00,16,3,88,10.2,0.0,41.5,
Dunsany,1375,2017,9,19,9,19-sep-2017 09:00:00,20,4,81,11.6,0.0,78.9,
Dunsany,1375,2017,9,19,10,19-sep-2017 10:00:00,19,6,77,13.2,0.0,129.5,
Dunsany,1375,2017,9,19,11,19-sep-2017 11:00:00,20,10,68,14.8,0.0,153.8,
Dunsany,1375,2017,9,19,12,19-sep-2017 12:00:00,17,7,65,15.7,0.0,182.7,
Dunsany,1375,2017,9,19,13,19-sep-2017 13:00:00,20,9,65,17.1,0.0,182.5,
Dunsany,1375,2017,9,19,14,19-sep-2017 14:00:00,18,7,65,16.8,0.0,124.9,
Dunsany,1375,2017,9,19,15,19-sep-2017 15:00:00,19,8,68,16.7,0.0,54.7,
Dunsany,1375,2017,9,19,16,19-sep-2017 16:00:00,19,9,72,16.1,0.0,32.3,
Dunsany,1375,2017,9,19,17,19-sep-2017 17:00:00,20,9,77,15.5,0.0,9.0,
Dunsany,1375,2017,9,19,18,19-sep-2017 18:00:00,17,7,80,14.7,0.0,0.9,
Dunsany,1375,2017,9,19,19,19-sep-2017 19:00:00,16,5,84,14.4,0.0,0.0,
Dunsany,1375,2017,9,19,20,19-sep-2017 20:00:00,18,6,86,14.1,0.0,0.0,
Dunsany,1375,2017,9,19,21,19-sep-2017 21:00:00,18,7,86,14.1,0.0,0.0,
Dunsany,1375,2017,9,19,22,19-sep-2017 22:00:00,18,8,86,14.1,0.0,0.0,
Dunsany,1375,2017,9,19,23,19-sep-2017 23:00:00,,,,,,,
This file contains PROVISIONAL hourly synoptic data and is subject to change once fully quality controlled. Contact keith.lambkin@met.ie for queries.
