station_name,station_no,year,month,day,hour,date,dir,speed,rh,temp,rainfall,solar,
Dunsany,1375,2018,8,7,0,07-aug-2018 00:00:00,25,7,78,14.5,0.0,0.0,
Dunsany,1375,2018,8,7,1,07-aug-2018 01:00:00,25,7,78,14.4,0.0,0.0,
Dunsany,1375,2018,8,7,2,07-aug-2018 02:00:00,26,7,83,13.7,0.0,0.0,
Dunsany,1375,2018,8,7,3,07-aug-2018 03:00:00,26,7,87,13.1,0.0,0.0,
Dunsany,1375,2018,8,7,4,07-aug-2018 04:00:00,23,4,93,12.5,0.0,0.6,
Dunsany,1375,2018,8,7,5,07-aug-2018 05:00:00,20,3,90,12.4,0.0,8.8,
Dunsany,1375,2018,8,7,6,07-aug-2018 06:00:00,23,5,89,12.8,0.0,34.4,
Dunsany,1375,2018,8,7,7,07-aug-2018 07:00:00,23,7,80,13.8,0.0,50.7,
Dunsany,1375,2018,8,7,8,07-aug-2018 08:00:00,25,8,79,13.8,0.0,73.8,
Dunsany,1375,2018,8,7,9,07-aug-2018 09:00:00,25,9,74,14.4,0.0,119.1,
Dunsany,1375,2018,8,7,10,07-aug-2018 10:00:00,23,8,71,15.3,0.0,130.1,
Dunsany,1375,2018,8,7,11,07-aug-2018 11:00:00,26,10,65,15.9,0.0,211.4,
Dunsany,1375,2018,8,7,12,07-aug-2018 12:00:00,23,10,58,17.3,0.0,168.5,
Dunsany,1375,2018,8,7,13,07-aug-2018 13:00:00,26,9,61,16.6,0.0,141.6,
Dunsany,1375,2018,8,7,14,07-aug-2018 14:00:00,26,10,60,16.8,0.0,139.2,
Dunsany,1375,2018,8,7,15,07-aug-2018 15:00:00,26,12,62,16.8,0.0,130.7,
Dunsany,1375,2018,8,7,16,07-aug-2018 16:00:00,25,9,60,17.3,0.0,70.6,
Dunsany,1375,2018,8,7,17,07-aug-2018 17:00:00,25,9,78,14.5,0.0,105.0,
Dunsany,1375,2018,8,7,18,07-aug-2018 18:00:00,24,9,67,16.0,0.0,34.6,
Dunsany,1375,2018,8,7,19,07-aug-2018 19:00:00,22,6,72,15.4,0.0,22.1,
Dunsany,1375,2018,8,7,20,07-aug-2018 20:00:00,25,5,71,13.5,0.0,0.5,
Dunsany,1375,2018,8,7,21,07-aug-2018 21:00:00,24,5,73,11.9,0.0,0.0,
Dunsany,1375,2018,8,7,22,07-aug-2018 22:00:00,22,5,76,11.2,0.0,0.0,
Dunsany,1375,2018,8,7,23,07-aug-2018 23:00:00,22,5,73,12.3,0.0,0.0,
Dunsany,1375,2018,8,8,0,08-aug-2018 00:00:00,22,7,72,12.6,0.0,0.0,
Dunsany,1375,2018,8,8,1,08-aug-2018 01:00:00,22,9,74,12.4,0.0,0.0,
Dunsany,1375,2018,8,8,2,08-aug-2018 02:00:00,21,8,79,11.7,0.0,0.0,
Dunsany,1375,2018,8,8,3,08-aug-2018 03:00:00,21,7,83,11.6,0.0,0.0,
Dunsany,1375,2018,8,8,4,08-aug-2018 04:00:00,21,6,87,11.5,0.0,0.2,
Dunsany,1375,2018,8,8,5,08-aug-2018 05:00:00,23,7,86,11.6,0.0,10.6,
Dunsany,1375,2018,8,8,6,08-aug-2018 06:00:00,24,6,89,11.9,0.0,26.4,
Dunsany,1375,2018,8,8,7,08-aug-2018 07:00:00,26,7,86,12.2,0.0,78.9,
Dunsany,1375,2018,8,8,8,08-aug-2018 08:00:00,25,9,80,13.2,0.0,136.6,
Dunsany,1375,2018,8,8,9,08-aug-2018 09:00:00,26,9,73,14.2,0.0,116.5,
Dunsany,1375,2018,8,8,10,08-aug-2018 10:00:00,27,9,72,14.7,0.0,203.3,
Dunsany,1375,2018,8,8,11,08-aug-2018 11:00:00,26,9,59,16.4,0.0,161.2,
Dunsany,1375,2018,8,8,12,08-aug-2018 12:00:00,24,11,56,16.3,0.0,244.2,
Dunsany,1375,2018,8,8,13,08-aug-2018 13:00:00,26,9,58,16.6,0.0,154.1,
Dunsany,1375,2018,8,8,14,08-aug-2018 14:00:00,23,10,62,16.0,0.1,182.9,
Dunsany,1375,2018,8,8,15,08-aug-2018 15:00:00,26,9,54,17.2,0.0,157.8,
Dunsany,1375,2018,8,8,16,08-aug-2018 16:00:00,27,10,57,16.5,0.0,144.9,
Dunsany,1375,2018,8,8,17,08-aug-2018 17:00:00,27,8,54,16.0,0.0,113.8,
Dunsany,1375,2018,8,8,18,08-aug-2018 18:00:00,26,10,53,16.1,0.0,58.8,
Dunsany,1375,2018,8,8,19,08-aug-2018 19:00:00,26,12,53,15.2,0.0,13.4,
Dunsany,1375,2018,8,8,20,08-aug-2018 20:00:00,25,7,66,12.5,0.0,0.3,
Dunsany,1375,2018,8,8,21,08-aug-2018 21:00:00,25,4,75,10.5,0.0,0.0,
Dunsany,1375,2018,8,8,22,08-aug-2018 22:00:00,24,5,77,9.7,0.0,,
Dunsany,1375,2018,8,8,23,08-aug-2018 23:00:00,,,,,,,
This file contains PROVISIONAL hourly synoptic data and is subject to change once fully quality controlled. Contact keith.lambkin@met.ie for queries.
