station_name,station_no,year,month,day,hour,date,dir,speed,rh,temp,rainfall,solar,
DUNSANY,1375,2018,12,8,0,08-dec-2018 00:00:00,25,26,81,8.1,0.0,0.0,
DUNSANY,1375,2018,12,8,1,08-dec-2018 01:00:00,26,24,80,8.2,0.1,0.0,
DUNSANY,1375,2018,12,8,2,08-dec-2018 02:00:00,26,21,85,7.9,0.4,0.0,
DUNSANY,1375,2018,12,8,3,08-dec-2018 03:00:00,26,22,84,7.7,0.3,0.0,
DUNSANY,1375,2018,12,8,4,08-dec-2018 04:00:00,26,19,84,7.7,0.1,0.0,
DUNSANY,1375,2018,12,8,5,08-dec-2018 05:00:00,26,20,78,7.8,0.0,0.0,
DUNSANY,1375,2018,12,8,6,08-dec-2018 06:00:00,25,17,78,7.5,0.0,0.0,
DUNSANY,1375,2018,12,8,7,08-dec-2018 07:00:00,25,18,81,7.3,0.0,0.0,
DUNSANY,1375,2018,12,8,8,08-dec-2018 08:00:00,22,9,85,6.8,0.0,1.9,
DUNSANY,1375,2018,12,8,9,08-dec-2018 09:00:00,21,11,84,7.5,0.0,8.1,
DUNSANY,1375,2018,12,8,10,08-dec-2018 10:00:00,20,12,95,7.4,0.6,18.2,
DUNSANY,1375,2018,12,8,11,08-dec-2018 11:00:00,21,13,92,8.5,0.1,17.4,
DUNSANY,1375,2018,12,8,12,08-dec-2018 12:00:00,24,16,86,9.9,0.1,39.9,
DUNSANY,1375,2018,12,8,13,08-dec-2018 13:00:00,25,20,75,10.4,0.0,30.8,
DUNSANY,1375,2018,12,8,14,08-dec-2018 14:00:00,25,23,74,9.7,0.0,15.9,
DUNSANY,1375,2018,12,8,15,08-dec-2018 15:00:00,26,15,82,8.4,0.1,5.3,
DUNSANY,1375,2018,12,8,16,08-dec-2018 16:00:00,26,16,81,7.9,0.0,0.1,
DUNSANY,1375,2018,12,8,17,08-dec-2018 17:00:00,25,15,87,7.6,0.0,0.0,
DUNSANY,1375,2018,12,8,18,08-dec-2018 18:00:00,25,16,82,7.9,0.3,0.0,
DUNSANY,1375,2018,12,8,19,08-dec-2018 19:00:00,25,11,91,6.8,1.6,0.0,
DUNSANY,1375,2018,12,8,20,08-dec-2018 20:00:00,26,17,85,7.2,0.4,0.0,
DUNSANY,1375,2018,12,8,21,08-dec-2018 21:00:00,24,16,83,7.7,0.0,0.0,
DUNSANY,1375,2018,12,8,22,08-dec-2018 22:00:00,25,14,83,7.6,0.0,0.0,
DUNSANY,1375,2018,12,8,23,08-dec-2018 23:00:00,25,17,89,7.5,0.5,0.0,
DUNSANY,1375,2018,12,9,0,09-dec-2018 00:00:00,25,17,86,7.8,0.1,0.0,
DUNSANY,1375,2018,12,9,1,09-dec-2018 01:00:00,25,16,87,7.9,0.2,0.0,
DUNSANY,1375,2018,12,9,2,09-dec-2018 02:00:00,26,15,88,8.0,0.0,0.0,
DUNSANY,1375,2018,12,9,3,09-dec-2018 03:00:00,27,15,87,8.3,0.0,0.0,
DUNSANY,1375,2018,12,9,4,09-dec-2018 04:00:00,27,12,86,8.3,0.0,0.0,
DUNSANY,1375,2018,12,9,5,09-dec-2018 05:00:00,27,9,90,7.9,0.0,0.0,
DUNSANY,1375,2018,12,9,6,09-dec-2018 06:00:00,28,12,91,7.6,0.0,0.0,
DUNSANY,1375,2018,12,9,7,09-dec-2018 07:00:00,31,11,87,7.4,0.2,0.0,
DUNSANY,1375,2018,12,9,8,09-dec-2018 08:00:00,29,11,87,6.7,0.0,2.1,
DUNSANY,1375,2018,12,9,9,09-dec-2018 09:00:00,27,9,89,6.4,0.0,21.4,
DUNSANY,1375,2018,12,9,10,09-dec-2018 10:00:00,26,11,88,7.0,0.0,41.9,
DUNSANY,1375,2018,12,9,11,09-dec-2018 11:00:00,27,11,85,7.6,0.0,70.5,
DUNSANY,1375,2018,12,9,12,09-dec-2018 12:00:00,28,14,82,8.4,0.0,68.5,
DUNSANY,1375,2018,12,9,13,09-dec-2018 13:00:00,28,14,81,8.6,0.0,50.9,
DUNSANY,1375,2018,12,9,14,09-dec-2018 14:00:00,28,13,79,9.1,0.0,17.2,
DUNSANY,1375,2018,12,9,15,09-dec-2018 15:00:00,27,11,80,8.8,0.0,8.6,
DUNSANY,1375,2018,12,9,16,09-dec-2018 16:00:00,27,13,82,8.2,0.0,0.4,
DUNSANY,1375,2018,12,9,17,09-dec-2018 17:00:00,27,11,86,7.0,0.0,0.0,
DUNSANY,1375,2018,12,9,18,09-dec-2018 18:00:00,27,12,87,6.2,0.0,0.0,
DUNSANY,1375,2018,12,9,19,09-dec-2018 19:00:00,26,11,85,5.8,0.0,0.0,
DUNSANY,1375,2018,12,9,20,09-dec-2018 20:00:00,27,11,85,5.7,0.0,0.0,
DUNSANY,1375,2018,12,9,21,09-dec-2018 21:00:00,26,9,88,5.4,0.0,0.0,
DUNSANY,1375,2018,12,9,22,09-dec-2018 22:00:00,25,7,88,5.1,0.0,,
DUNSANY,1375,2018,12,9,23,09-dec-2018 23:00:00,,,,,,,
This file contains PROVISIONAL hourly synoptic data and is subject to change once fully quality controlled. Contact keith.lambkin@met.ie for queries.
