station_name,station_no,year,month,day,hour,date,dir,speed,rh,temp,rainfall,solar,
Dunsany,1375,2018,2,17,0,17-feb-2018 00:00:00,22,8,94,5.1,0.0,0.0,
Dunsany,1375,2018,2,17,1,17-feb-2018 01:00:00,22,9,95,4.3,0.1,0.0,
Dunsany,1375,2018,2,17,2,17-feb-2018 02:00:00,21,7,96,3.8,0.0,0.0,
Dunsany,1375,2018,2,17,3,17-feb-2018 03:00:00,20,5,97,2.7,0.0,0.0,
Dunsany,1375,2018,2,17,4,17-feb-2018 04:00:00,20,7,98,2.9,0.0,0.0,
Dunsany,1375,2018,2,17,5,17-feb-2018 05:00:00,20,6,98,2.2,0.0,0.0,
Dunsany,1375,2018,2,17,6,17-feb-2018 06:00:00,21,7,98,2.0,0.0,0.0,
Dunsany,1375,2018,2,17,7,17-feb-2018 07:00:00,21,6,96,1.9,0.0,1.1,
Dunsany,1375,2018,2,17,8,17-feb-2018 08:00:00,21,7,95,1.9,0.0,25.6,
Dunsany,1375,2018,2,17,9,17-feb-2018 09:00:00,21,8,91,3.4,0.0,72.5,
Dunsany,1375,2018,2,17,10,17-feb-2018 10:00:00,20,6,88,4.8,0.0,65.4,
Dunsany,1375,2018,2,17,11,17-feb-2018 11:00:00,20,7,88,5.4,0.0,87.3,
Dunsany,1375,2018,2,17,12,17-feb-2018 12:00:00,22,8,81,7.0,0.0,117.9,
Dunsany,1375,2018,2,17,13,17-feb-2018 13:00:00,24,10,75,8.4,0.0,115.7,
Dunsany,1375,2018,2,17,14,17-feb-2018 14:00:00,22,10,73,8.2,0.0,95.0,
Dunsany,1375,2018,2,17,15,17-feb-2018 15:00:00,22,8,71,8.5,0.0,89.2,
Dunsany,1375,2018,2,17,16,17-feb-2018 16:00:00,23,6,70,8.2,0.0,37.6,
Dunsany,1375,2018,2,17,17,17-feb-2018 17:00:00,22,6,71,7.7,0.0,4.1,
Dunsany,1375,2018,2,17,18,17-feb-2018 18:00:00,16,2,79,5.5,0.0,0.0,
Dunsany,1375,2018,2,17,19,17-feb-2018 19:00:00,15,3,85,4.2,0.0,0.0,
Dunsany,1375,2018,2,17,20,17-feb-2018 20:00:00,15,3,86,3.9,0.0,0.0,
Dunsany,1375,2018,2,17,21,17-feb-2018 21:00:00,15,3,87,3.4,0.0,0.0,
Dunsany,1375,2018,2,17,22,17-feb-2018 22:00:00,13,4,88,3.3,0.0,0.0,
Dunsany,1375,2018,2,17,23,17-feb-2018 23:00:00,13,1,89,3.3,0.0,0.0,
Dunsany,1375,2018,2,18,0,18-feb-2018 00:00:00,15,4,85,5.3,0.0,0.0,
Dunsany,1375,2018,2,18,1,18-feb-2018 01:00:00,12,4,88,4.5,0.0,0.0,
Dunsany,1375,2018,2,18,2,18-feb-2018 02:00:00,12,4,88,4.2,0.0,0.0,
Dunsany,1375,2018,2,18,3,18-feb-2018 03:00:00,12,3,91,4.1,0.0,0.0,
Dunsany,1375,2018,2,18,4,18-feb-2018 04:00:00,11,4,92,4.5,0.0,0.0,
Dunsany,1375,2018,2,18,5,18-feb-2018 05:00:00,11,5,89,5.1,0.0,0.0,
Dunsany,1375,2018,2,18,6,18-feb-2018 06:00:00,11,3,91,4.8,0.0,0.0,
Dunsany,1375,2018,2,18,7,18-feb-2018 07:00:00,12,5,92,4.5,0.0,0.9,
Dunsany,1375,2018,2,18,8,18-feb-2018 08:00:00,12,4,95,4.8,0.0,6.5,
Dunsany,1375,2018,2,18,9,18-feb-2018 09:00:00,12,4,96,5.2,0.0,16.3,
Dunsany,1375,2018,2,18,10,18-feb-2018 10:00:00,14,4,96,6.3,0.1,23.3,
Dunsany,1375,2018,2,18,11,18-feb-2018 11:00:00,17,5,95,6.9,0.2,28.6,
Dunsany,1375,2018,2,18,12,18-feb-2018 12:00:00,19,6,95,7.8,0.3,35.7,
Dunsany,1375,2018,2,18,13,18-feb-2018 13:00:00,20,9,95,8.4,0.3,33.0,
Dunsany,1375,2018,2,18,14,18-feb-2018 14:00:00,21,9,96,8.9,0.2,25.3,
Dunsany,1375,2018,2,18,15,18-feb-2018 15:00:00,21,8,96,9.4,0.1,12.8,
Dunsany,1375,2018,2,18,16,18-feb-2018 16:00:00,22,7,97,9.6,0.2,6.8,
Dunsany,1375,2018,2,18,17,18-feb-2018 17:00:00,23,7,97,10.3,0.2,0.8,
Dunsany,1375,2018,2,18,18,18-feb-2018 18:00:00,24,8,96,10.4,0.1,0.0,
Dunsany,1375,2018,2,18,19,18-feb-2018 19:00:00,24,8,96,10.3,0.1,0.0,
Dunsany,1375,2018,2,18,20,18-feb-2018 20:00:00,23,8,96,10.2,0.1,0.0,
Dunsany,1375,2018,2,18,21,18-feb-2018 21:00:00,24,8,96,10.1,0.0,0.0,
Dunsany,1375,2018,2,18,22,18-feb-2018 22:00:00,24,9,97,9.9,0.0,0.0,
Dunsany,1375,2018,2,18,23,18-feb-2018 23:00:00,,,,,,,
This file contains PROVISIONAL hourly synoptic data and is subject to change once fully quality controlled. Contact keith.lambkin@met.ie for queries.
