station_name,station_no,year,month,day,hour,date,dir,speed,rh,temp,rainfall,solar,
Dunsany,1375,2018,7,10,0,10-jul-2018 00:00:00,35,3,80,10.9,0.0,0.0,
Dunsany,1375,2018,7,10,1,10-jul-2018 01:00:00,34,3,85,9.9,0.0,0.0,
Dunsany,1375,2018,7,10,2,10-jul-2018 02:00:00,34,3,88,9.1,0.0,0.0,
Dunsany,1375,2018,7,10,3,10-jul-2018 03:00:00,32,1,92,7.4,0.0,0.0,
Dunsany,1375,2018,7,10,4,10-jul-2018 04:00:00,32,1,93,6.4,0.0,6.9,
Dunsany,1375,2018,7,10,5,10-jul-2018 05:00:00,34,2,95,6.5,0.0,45.1,
Dunsany,1375,2018,7,10,6,10-jul-2018 06:00:00,35,4,88,9.1,0.0,94.9,
Dunsany,1375,2018,7,10,7,10-jul-2018 07:00:00,2,4,79,12.1,0.0,139.4,
Dunsany,1375,2018,7,10,8,10-jul-2018 08:00:00,35,4,71,14.6,0.0,195.3,
Dunsany,1375,2018,7,10,9,10-jul-2018 09:00:00,35,6,64,16.1,0.0,250.7,
Dunsany,1375,2018,7,10,10,10-jul-2018 10:00:00,3,6,56,18.2,0.0,287.0,
Dunsany,1375,2018,7,10,11,10-jul-2018 11:00:00,5,3,53,19.8,0.0,306.2,
Dunsany,1375,2018,7,10,12,10-jul-2018 12:00:00,9,3,51,21.0,0.0,301.4,
Dunsany,1375,2018,7,10,13,10-jul-2018 13:00:00,1,4,51,21.5,0.0,295.0,
Dunsany,1375,2018,7,10,14,10-jul-2018 14:00:00,33,5,50,22.4,0.0,287.6,
Dunsany,1375,2018,7,10,15,10-jul-2018 15:00:00,5,7,53,22.0,0.0,249.0,
Dunsany,1375,2018,7,10,16,10-jul-2018 16:00:00,9,6,48,22.5,0.0,205.5,
Dunsany,1375,2018,7,10,17,10-jul-2018 17:00:00,6,5,47,22.4,0.0,152.0,
Dunsany,1375,2018,7,10,18,10-jul-2018 18:00:00,8,8,59,21.3,0.0,93.1,
Dunsany,1375,2018,7,10,19,10-jul-2018 19:00:00,11,9,65,19.2,0.0,39.2,
Dunsany,1375,2018,7,10,20,10-jul-2018 20:00:00,10,6,68,17.8,0.0,4.1,
Dunsany,1375,2018,7,10,21,10-jul-2018 21:00:00,8,3,77,15.8,0.0,0.0,
Dunsany,1375,2018,7,10,22,10-jul-2018 22:00:00,6,3,81,15.4,0.0,0.0,
Dunsany,1375,2018,7,10,23,10-jul-2018 23:00:00,2,2,87,14.2,0.0,0.0,
Dunsany,1375,2018,7,11,0,11-jul-2018 00:00:00,3,3,88,14.3,0.0,0.0,
Dunsany,1375,2018,7,11,1,11-jul-2018 01:00:00,4,1,90,13.6,0.0,0.0,
Dunsany,1375,2018,7,11,2,11-jul-2018 02:00:00,1,2,93,13.0,0.0,0.0,
Dunsany,1375,2018,7,11,3,11-jul-2018 03:00:00,1,2,93,13.4,0.0,0.0,
Dunsany,1375,2018,7,11,4,11-jul-2018 04:00:00,31,2,93,12.0,0.0,3.3,
Dunsany,1375,2018,7,11,5,11-jul-2018 05:00:00,35,3,95,12.3,0.0,26.4,
Dunsany,1375,2018,7,11,6,11-jul-2018 06:00:00,31,2,93,12.9,0.0,34.3,
Dunsany,1375,2018,7,11,7,11-jul-2018 07:00:00,35,4,89,13.8,0.0,52.2,
Dunsany,1375,2018,7,11,8,11-jul-2018 08:00:00,1,5,87,14.8,0.0,93.6,
Dunsany,1375,2018,7,11,9,11-jul-2018 09:00:00,2,4,83,16.0,0.0,103.6,
Dunsany,1375,2018,7,11,10,11-jul-2018 10:00:00,35,5,82,16.6,0.0,148.6,
Dunsany,1375,2018,7,11,11,11-jul-2018 11:00:00,1,5,72,17.9,0.0,135.0,
Dunsany,1375,2018,7,11,12,11-jul-2018 12:00:00,2,4,67,18.7,0.0,87.1,
Dunsany,1375,2018,7,11,13,11-jul-2018 13:00:00,34,3,69,18.4,0.0,71.9,
Dunsany,1375,2018,7,11,14,11-jul-2018 14:00:00,33,4,67,18.7,0.0,50.5,
Dunsany,1375,2018,7,11,15,11-jul-2018 15:00:00,34,6,72,18.2,0.0,35.5,
Dunsany,1375,2018,7,11,16,11-jul-2018 16:00:00,35,6,76,17.5,0.0,42.4,
Dunsany,1375,2018,7,11,17,11-jul-2018 17:00:00,36,5,78,17.3,0.0,22.9,
Dunsany,1375,2018,7,11,18,11-jul-2018 18:00:00,1,4,81,16.3,0.0,32.5,
Dunsany,1375,2018,7,11,19,11-jul-2018 19:00:00,35,6,75,17.1,0.0,32.2,
Dunsany,1375,2018,7,11,20,11-jul-2018 20:00:00,1,6,73,17.2,0.0,3.9,
Dunsany,1375,2018,7,11,21,11-jul-2018 21:00:00,35,6,77,16.0,0.0,0.0,
Dunsany,1375,2018,7,11,22,11-jul-2018 22:00:00,36,4,78,15.8,0.0,0.0,
Dunsany,1375,2018,7,11,23,11-jul-2018 23:00:00,,,,,,,
This file contains PROVISIONAL hourly synoptic data and is subject to change once fully quality controlled. Contact keith.lambkin@met.ie for queries.
