station_name,station_no,year,month,day,hour,date,dir,speed,rh,temp,rainfall,solar,
DUNSANY,1375,2018,11,30,0,30-nov-2018 00:00:00,21,13,88,6.2,0.0,0.0,
DUNSANY,1375,2018,11,30,1,30-nov-2018 01:00:00,21,11,86,5.9,0.0,0.0,
DUNSANY,1375,2018,11,30,2,30-nov-2018 02:00:00,22,16,81,6.4,0.0,0.0,
DUNSANY,1375,2018,11,30,3,30-nov-2018 03:00:00,23,15,80,6.4,0.1,0.0,
DUNSANY,1375,2018,11,30,4,30-nov-2018 04:00:00,22,14,83,6.2,0.0,0.0,
DUNSANY,1375,2018,11,30,5,30-nov-2018 05:00:00,23,15,80,6.1,0.0,0.0,
DUNSANY,1375,2018,11,30,6,30-nov-2018 06:00:00,23,16,81,5.9,0.0,0.0,
DUNSANY,1375,2018,11,30,7,30-nov-2018 07:00:00,22,13,84,5.5,0.0,0.0,
DUNSANY,1375,2018,11,30,8,30-nov-2018 08:00:00,22,12,83,5.1,0.0,4.5,
DUNSANY,1375,2018,11,30,9,30-nov-2018 09:00:00,23,14,80,5.8,0.0,19.3,
DUNSANY,1375,2018,11,30,10,30-nov-2018 10:00:00,22,12,85,5.8,0.0,31.6,
DUNSANY,1375,2018,11,30,11,30-nov-2018 11:00:00,22,14,81,6.5,0.0,50.9,
DUNSANY,1375,2018,11,30,12,30-nov-2018 12:00:00,22,16,78,7.1,0.0,38.6,
DUNSANY,1375,2018,11,30,13,30-nov-2018 13:00:00,23,15,82,7.0,0.0,44.0,
DUNSANY,1375,2018,11,30,14,30-nov-2018 14:00:00,23,13,77,7.6,0.0,31.6,
DUNSANY,1375,2018,11,30,15,30-nov-2018 15:00:00,24,15,75,6.8,0.0,10.0,
DUNSANY,1375,2018,11,30,16,30-nov-2018 16:00:00,24,13,78,6.5,0.0,0.2,
DUNSANY,1375,2018,11,30,17,30-nov-2018 17:00:00,23,11,80,6.2,0.0,0.0,
DUNSANY,1375,2018,11,30,18,30-nov-2018 18:00:00,23,10,84,5.4,0.0,0.0,
DUNSANY,1375,2018,11,30,19,30-nov-2018 19:00:00,23,8,86,4.9,0.0,0.0,
DUNSANY,1375,2018,11,30,20,30-nov-2018 20:00:00,22,8,89,4.4,0.0,0.0,
DUNSANY,1375,2018,11,30,21,30-nov-2018 21:00:00,21,9,88,5.1,0.0,0.0,
DUNSANY,1375,2018,11,30,22,30-nov-2018 22:00:00,19,7,87,5.1,0.1,0.0,
DUNSANY,1375,2018,11,30,23,30-nov-2018 23:00:00,20,7,86,5.2,0.0,0.0,
DUNSANY,1375,2018,12,1,0,01-dec-2018 00:00:00,21,3,87,5.2,0.0,0.0,
DUNSANY,1375,2018,12,1,1,01-dec-2018 01:00:00,16,3,88,4.9,0.0,0.0,
DUNSANY,1375,2018,12,1,2,01-dec-2018 02:00:00,16,4,86,5.4,0.0,0.0,
DUNSANY,1375,2018,12,1,3,01-dec-2018 03:00:00,10,6,87,5.5,0.0,0.0,
DUNSANY,1375,2018,12,1,4,01-dec-2018 04:00:00,11,6,93,5.4,0.1,0.0,
DUNSANY,1375,2018,12,1,5,01-dec-2018 05:00:00,9,6,95,5.9,0.2,0.0,
DUNSANY,1375,2018,12,1,6,01-dec-2018 06:00:00,8,8,96,6.4,0.4,0.0,
DUNSANY,1375,2018,12,1,7,01-dec-2018 07:00:00,8,8,97,7.4,0.2,0.0,
DUNSANY,1375,2018,12,1,8,01-dec-2018 08:00:00,10,7,96,8.8,0.1,1.6,
DUNSANY,1375,2018,12,1,9,01-dec-2018 09:00:00,11,7,96,9.1,0.0,18.0,
DUNSANY,1375,2018,12,1,10,01-dec-2018 10:00:00,14,3,96,9.7,0.0,22.9,
DUNSANY,1375,2018,12,1,11,01-dec-2018 11:00:00,24,5,96,10.0,0.0,23.7,
DUNSANY,1375,2018,12,1,12,01-dec-2018 12:00:00,27,7,97,9.2,0.0,27.8,
DUNSANY,1375,2018,12,1,13,01-dec-2018 13:00:00,26,9,96,9.1,0.0,19.9,
DUNSANY,1375,2018,12,1,14,01-dec-2018 14:00:00,27,7,96,9.0,0.0,16.0,
DUNSANY,1375,2018,12,1,15,01-dec-2018 15:00:00,29,3,95,8.8,0.0,5.1,
DUNSANY,1375,2018,12,1,16,01-dec-2018 16:00:00,28,4,95,8.4,0.0,0.2,
DUNSANY,1375,2018,12,1,17,01-dec-2018 17:00:00,22,2,97,8.2,0.0,0.0,
DUNSANY,1375,2018,12,1,18,01-dec-2018 18:00:00,17,2,97,8.1,0.1,0.0,
DUNSANY,1375,2018,12,1,19,01-dec-2018 19:00:00,23,1,97,8.2,1.8,0.0,
DUNSANY,1375,2018,12,1,20,01-dec-2018 20:00:00,21,5,97,8.8,1.2,0.0,
DUNSANY,1375,2018,12,1,21,01-dec-2018 21:00:00,17,2,97,8.6,0.4,0.0,
DUNSANY,1375,2018,12,1,22,01-dec-2018 22:00:00,20,2,97,8.5,0.0,,
DUNSANY,1375,2018,12,1,23,01-dec-2018 23:00:00,,,,,,,
This file contains PROVISIONAL hourly synoptic data and is subject to change once fully quality controlled. Contact keith.lambkin@met.ie for queries.
