station_name,station_no,year,month,day,hour,date,dir,speed,rh,temp,rainfall,solar,
Dunsany,1375,2018,10,2,0,02-oct-2018 00:00:00,26,15,94,13.7,0.0,0.0,
Dunsany,1375,2018,10,2,1,02-oct-2018 01:00:00,27,12,94,14.2,0.0,0.0,
Dunsany,1375,2018,10,2,2,02-oct-2018 02:00:00,27,12,94,14.1,0.1,0.0,
Dunsany,1375,2018,10,2,3,02-oct-2018 03:00:00,27,9,95,13.7,0.1,0.0,
Dunsany,1375,2018,10,2,4,02-oct-2018 04:00:00,26,10,95,13.3,0.3,0.0,
Dunsany,1375,2018,10,2,5,02-oct-2018 05:00:00,27,10,94,13.1,0.1,0.0,
Dunsany,1375,2018,10,2,6,02-oct-2018 06:00:00,26,11,95,13.0,0.1,0.2,
Dunsany,1375,2018,10,2,7,02-oct-2018 07:00:00,26,10,95,13.1,0.0,4.2,
Dunsany,1375,2018,10,2,8,02-oct-2018 08:00:00,26,11,94,13.1,0.1,19.7,
Dunsany,1375,2018,10,2,9,02-oct-2018 09:00:00,26,11,94,13.3,0.0,38.8,
Dunsany,1375,2018,10,2,10,02-oct-2018 10:00:00,26,12,92,13.8,0.0,32.8,
Dunsany,1375,2018,10,2,11,02-oct-2018 11:00:00,26,12,93,13.7,0.0,40.7,
Dunsany,1375,2018,10,2,12,02-oct-2018 12:00:00,27,11,89,13.9,0.1,73.4,
Dunsany,1375,2018,10,2,13,02-oct-2018 13:00:00,27,12,85,15.1,0.0,99.0,
Dunsany,1375,2018,10,2,14,02-oct-2018 14:00:00,27,13,88,14.8,0.0,64.5,
Dunsany,1375,2018,10,2,15,02-oct-2018 15:00:00,29,8,88,14.8,0.0,35.2,
Dunsany,1375,2018,10,2,16,02-oct-2018 16:00:00,27,13,87,14.7,0.3,35.5,
Dunsany,1375,2018,10,2,17,02-oct-2018 17:00:00,27,9,84,14.6,0.0,7.6,
Dunsany,1375,2018,10,2,18,02-oct-2018 18:00:00,28,7,84,13.8,0.0,0.1,
Dunsany,1375,2018,10,2,19,02-oct-2018 19:00:00,28,8,93,13.1,0.2,0.0,
Dunsany,1375,2018,10,2,20,02-oct-2018 20:00:00,25,12,89,12.8,0.0,0.0,
Dunsany,1375,2018,10,2,21,02-oct-2018 21:00:00,26,9,89,12.4,0.0,0.0,
Dunsany,1375,2018,10,2,22,02-oct-2018 22:00:00,25,11,90,12.2,0.0,0.0,
Dunsany,1375,2018,10,2,23,02-oct-2018 23:00:00,25,10,90,12.4,0.0,0.0,
Dunsany,1375,2018,10,3,0,03-oct-2018 00:00:00,24,8,91,12.2,0.0,0.0,
Dunsany,1375,2018,10,3,1,03-oct-2018 01:00:00,24,8,90,11.9,0.0,0.0,
Dunsany,1375,2018,10,3,2,03-oct-2018 02:00:00,24,7,88,12.2,0.0,0.0,
Dunsany,1375,2018,10,3,3,03-oct-2018 03:00:00,23,9,92,11.9,0.0,0.0,
Dunsany,1375,2018,10,3,4,03-oct-2018 04:00:00,25,9,93,11.8,0.0,0.0,
Dunsany,1375,2018,10,3,5,03-oct-2018 05:00:00,24,7,95,11.7,0.1,0.0,
Dunsany,1375,2018,10,3,6,03-oct-2018 06:00:00,25,9,93,11.6,0.1,1.2,
Dunsany,1375,2018,10,3,7,03-oct-2018 07:00:00,25,7,94,11.7,0.0,15.6,
Dunsany,1375,2018,10,3,8,03-oct-2018 08:00:00,24,8,95,12.0,0.2,34.9,
Dunsany,1375,2018,10,3,9,03-oct-2018 09:00:00,24,6,94,12.4,0.0,70.6,
Dunsany,1375,2018,10,3,10,03-oct-2018 10:00:00,24,10,90,13.2,0.0,70.5,
Dunsany,1375,2018,10,3,11,03-oct-2018 11:00:00,25,12,90,13.4,0.0,52.6,
Dunsany,1375,2018,10,3,12,03-oct-2018 12:00:00,24,10,85,14.1,0.0,57.3,
Dunsany,1375,2018,10,3,13,03-oct-2018 13:00:00,25,8,83,14.6,0.0,45.8,
Dunsany,1375,2018,10,3,14,03-oct-2018 14:00:00,23,9,82,15.1,0.0,45.9,
Dunsany,1375,2018,10,3,15,03-oct-2018 15:00:00,22,10,78,15.7,0.0,32.6,
Dunsany,1375,2018,10,3,16,03-oct-2018 16:00:00,24,9,82,15.3,0.0,27.4,
Dunsany,1375,2018,10,3,17,03-oct-2018 17:00:00,24,9,80,15.4,0.0,6.9,
Dunsany,1375,2018,10,3,18,03-oct-2018 18:00:00,24,9,85,14.4,0.0,0.0,
Dunsany,1375,2018,10,3,19,03-oct-2018 19:00:00,23,9,90,13.7,0.0,0.0,
Dunsany,1375,2018,10,3,20,03-oct-2018 20:00:00,23,9,88,13.6,0.0,0.0,
Dunsany,1375,2018,10,3,21,03-oct-2018 21:00:00,24,6,90,13.3,0.0,0.0,
Dunsany,1375,2018,10,3,22,03-oct-2018 22:00:00,22,6,90,13.4,0.0,,
Dunsany,1375,2018,10,3,23,03-oct-2018 23:00:00,,,,,,,
This file contains PROVISIONAL hourly synoptic data and is subject to change once fully quality controlled. Contact keith.lambkin@met.ie for queries.
