station_name,station_no,year,month,day,hour,date,dir,speed,rh,temp,rainfall,solar,
DUNSANY,1375,2019,4,12,0,12-apr-2019 00:00:00,11,6,90,5.2,0.0,0.0,
DUNSANY,1375,2019,4,12,1,12-apr-2019 01:00:00,12,4,87,5.2,0.0,0.0,
DUNSANY,1375,2019,4,12,2,12-apr-2019 02:00:00,13,4,91,4.2,0.0,0.0,
DUNSANY,1375,2019,4,12,3,12-apr-2019 03:00:00,12,4,93,3.1,0.0,0.0,
DUNSANY,1375,2019,4,12,4,12-apr-2019 04:00:00,12,5,93,3.2,0.0,0.0,
DUNSANY,1375,2019,4,12,5,12-apr-2019 05:00:00,11,3,96,1.5,0.0,1.6,
DUNSANY,1375,2019,4,12,6,12-apr-2019 06:00:00,11,7,93,3.3,0.0,28.6,
DUNSANY,1375,2019,4,12,7,12-apr-2019 07:00:00,10,6,93,4.5,0.0,63.9,
DUNSANY,1375,2019,4,12,8,12-apr-2019 08:00:00,11,7,88,6.2,0.0,37.0,
DUNSANY,1375,2019,4,12,9,12-apr-2019 09:00:00,12,7,85,7.3,0.0,42.6,
DUNSANY,1375,2019,4,12,10,12-apr-2019 10:00:00,12,7,80,8.1,0.0,71.3,
DUNSANY,1375,2019,4,12,11,12-apr-2019 11:00:00,12,9,78,8.9,0.0,132.2,
DUNSANY,1375,2019,4,12,12,12-apr-2019 12:00:00,14,9,69,9.8,0.0,105.3,
DUNSANY,1375,2019,4,12,13,12-apr-2019 13:00:00,17,7,70,9.8,0.0,58.6,
DUNSANY,1375,2019,4,12,14,12-apr-2019 14:00:00,15,9,64,9.6,0.0,75.5,
DUNSANY,1375,2019,4,12,15,12-apr-2019 15:00:00,14,9,62,9.8,0.0,50.4,
DUNSANY,1375,2019,4,12,16,12-apr-2019 16:00:00,12,9,65,9.7,0.0,45.3,
DUNSANY,1375,2019,4,12,17,12-apr-2019 17:00:00,14,7,65,9.6,0.0,11.4,
DUNSANY,1375,2019,4,12,18,12-apr-2019 18:00:00,14,6,65,9.0,0.0,6.9,
DUNSANY,1375,2019,4,12,19,12-apr-2019 19:00:00,14,6,64,8.5,0.0,0.3,
DUNSANY,1375,2019,4,12,20,12-apr-2019 20:00:00,14,6,67,7.1,0.0,0.0,
DUNSANY,1375,2019,4,12,21,12-apr-2019 21:00:00,12,4,75,6.0,0.0,0.0,
DUNSANY,1375,2019,4,12,22,12-apr-2019 22:00:00,11,5,81,4.4,0.0,0.0,
DUNSANY,1375,2019,4,12,23,12-apr-2019 23:00:00,10,6,85,4.8,0.0,0.0,
DUNSANY,1375,2019,4,13,0,13-apr-2019 00:00:00,11,7,91,5.6,0.0,0.0,
DUNSANY,1375,2019,4,13,1,13-apr-2019 01:00:00,13,6,83,5.6,0.0,0.0,
DUNSANY,1375,2019,4,13,2,13-apr-2019 02:00:00,11,5,86,4.6,0.0,0.0,
DUNSANY,1375,2019,4,13,3,13-apr-2019 03:00:00,12,7,82,6.2,0.0,0.0,
DUNSANY,1375,2019,4,13,4,13-apr-2019 04:00:00,13,8,79,6.6,0.0,0.0,
DUNSANY,1375,2019,4,13,5,13-apr-2019 05:00:00,13,8,78,5.8,0.0,2.5,
DUNSANY,1375,2019,4,13,6,13-apr-2019 06:00:00,12,8,79,6.0,0.0,34.9,
DUNSANY,1375,2019,4,13,7,13-apr-2019 07:00:00,12,9,79,6.7,0.0,58.8,
DUNSANY,1375,2019,4,13,8,13-apr-2019 08:00:00,12,10,76,7.4,0.0,110.1,
DUNSANY,1375,2019,4,13,9,13-apr-2019 09:00:00,13,14,69,8.4,0.0,173.9,
DUNSANY,1375,2019,4,13,10,13-apr-2019 10:00:00,12,16,68,8.5,0.0,209.9,
DUNSANY,1375,2019,4,13,11,13-apr-2019 11:00:00,12,14,64,9.1,0.0,207.6,
DUNSANY,1375,2019,4,13,12,13-apr-2019 12:00:00,14,13,58,9.2,0.0,192.5,
DUNSANY,1375,2019,4,13,13,13-apr-2019 13:00:00,13,17,55,8.8,0.0,192.1,
DUNSANY,1375,2019,4,13,14,13-apr-2019 14:00:00,12,17,51,8.2,0.0,176.8,
DUNSANY,1375,2019,4,13,15,13-apr-2019 15:00:00,12,18,53,8.4,0.0,128.0,
DUNSANY,1375,2019,4,13,16,13-apr-2019 16:00:00,12,15,55,8.3,0.0,67.3,
DUNSANY,1375,2019,4,13,17,13-apr-2019 17:00:00,13,14,53,8.1,0.0,34.6,
DUNSANY,1375,2019,4,13,18,13-apr-2019 18:00:00,13,14,57,7.8,0.0,9.2,
DUNSANY,1375,2019,4,13,19,13-apr-2019 19:00:00,13,13,59,7.8,0.0,0.3,
DUNSANY,1375,2019,4,13,20,13-apr-2019 20:00:00,13,12,60,7.8,0.0,0.0,
DUNSANY,1375,2019,4,13,21,13-apr-2019 21:00:00,13,12,61,7.9,0.0,0.0,
DUNSANY,1375,2019,4,13,22,13-apr-2019 22:00:00,14,11,60,8.0,0.0,,
DUNSANY,1375,2019,4,13,23,13-apr-2019 23:00:00,,,,,,,
This file contains PROVISIONAL hourly synoptic data and is subject to change once fully quality controlled. Contact keith.lambkin@met.ie for queries.
