station_name,station_no,year,month,day,hour,date,dir,speed,rh,temp,rainfall,solar,
DUNSANY,1375,2019,1,1,0,01-jan-2019 00:00:00,25,7,83,8.7,0.0,0.0,
DUNSANY,1375,2019,1,1,1,01-jan-2019 01:00:00,25,8,84,8.1,0.0,0.0,
DUNSANY,1375,2019,1,1,2,01-jan-2019 02:00:00,24,7,85,8.3,0.0,0.0,
DUNSANY,1375,2019,1,1,3,01-jan-2019 03:00:00,25,7,86,8.2,0.0,0.0,
DUNSANY,1375,2019,1,1,4,01-jan-2019 04:00:00,25,9,85,8.4,0.0,0.0,
DUNSANY,1375,2019,1,1,5,01-jan-2019 05:00:00,26,9,86,8.6,0.0,0.0,
DUNSANY,1375,2019,1,1,6,01-jan-2019 06:00:00,25,8,86,8.6,0.0,0.0,
DUNSANY,1375,2019,1,1,7,01-jan-2019 07:00:00,25,9,87,8.6,0.0,0.0,
DUNSANY,1375,2019,1,1,8,01-jan-2019 08:00:00,25,7,91,8.3,0.0,0.4,
DUNSANY,1375,2019,1,1,9,01-jan-2019 09:00:00,25,6,91,8.3,0.0,5.1,
DUNSANY,1375,2019,1,1,10,01-jan-2019 10:00:00,26,5,93,8.3,0.0,11.3,
DUNSANY,1375,2019,1,1,11,01-jan-2019 11:00:00,28,5,95,8.4,0.1,17.8,
DUNSANY,1375,2019,1,1,12,01-jan-2019 12:00:00,28,6,95,8.9,0.1,30.6,
DUNSANY,1375,2019,1,1,13,01-jan-2019 13:00:00,28,5,92,9.6,0.0,22.3,
DUNSANY,1375,2019,1,1,14,01-jan-2019 14:00:00,3,6,95,8.6,0.0,11.6,
DUNSANY,1375,2019,1,1,15,01-jan-2019 15:00:00,4,5,94,7.9,0.0,5.7,
DUNSANY,1375,2019,1,1,16,01-jan-2019 16:00:00,1,2,91,7.7,0.0,0.6,
DUNSANY,1375,2019,1,1,17,01-jan-2019 17:00:00,4,4,84,7.3,0.0,0.0,
DUNSANY,1375,2019,1,1,18,01-jan-2019 18:00:00,3,3,83,6.4,0.0,0.0,
DUNSANY,1375,2019,1,1,19,01-jan-2019 19:00:00,5,4,82,5.9,0.0,0.0,
DUNSANY,1375,2019,1,1,20,01-jan-2019 20:00:00,4,5,80,5.7,0.0,0.0,
DUNSANY,1375,2019,1,1,21,01-jan-2019 21:00:00,3,4,82,4.4,0.0,0.0,
DUNSANY,1375,2019,1,1,22,01-jan-2019 22:00:00,5,1,88,3.0,0.0,0.0,
DUNSANY,1375,2019,1,1,23,01-jan-2019 23:00:00,26,1,95,1.3,0.0,0.0,
DUNSANY,1375,2019,1,2,0,02-jan-2019 00:00:00,4,1,95,1.9,0.0,0.0,
DUNSANY,1375,2019,1,2,1,02-jan-2019 01:00:00,1,1,94,2.8,0.0,0.0,
DUNSANY,1375,2019,1,2,2,02-jan-2019 02:00:00,3,1,91,3.4,0.0,0.0,
DUNSANY,1375,2019,1,2,3,02-jan-2019 03:00:00,4,2,89,3.7,0.0,0.0,
DUNSANY,1375,2019,1,2,4,02-jan-2019 04:00:00,30,1,93,3.2,0.0,0.0,
DUNSANY,1375,2019,1,2,5,02-jan-2019 05:00:00,7,2,91,3.8,0.0,0.0,
DUNSANY,1375,2019,1,2,6,02-jan-2019 06:00:00,9,3,90,4.4,0.0,0.0,
DUNSANY,1375,2019,1,2,7,02-jan-2019 07:00:00,9,5,83,5.6,0.0,0.0,
DUNSANY,1375,2019,1,2,8,02-jan-2019 08:00:00,9,5,81,5.5,0.0,0.5,
DUNSANY,1375,2019,1,2,9,02-jan-2019 09:00:00,11,3,81,5.6,0.0,7.6,
DUNSANY,1375,2019,1,2,10,02-jan-2019 10:00:00,10,3,82,5.8,0.0,16.3,
DUNSANY,1375,2019,1,2,11,02-jan-2019 11:00:00,14,2,81,6.4,0.0,32.8,
DUNSANY,1375,2019,1,2,12,02-jan-2019 12:00:00,16,3,79,6.3,0.0,35.4,
DUNSANY,1375,2019,1,2,13,02-jan-2019 13:00:00,17,4,80,6.3,0.0,29.6,
DUNSANY,1375,2019,1,2,14,02-jan-2019 14:00:00,17,2,80,6.6,0.0,18.4,
DUNSANY,1375,2019,1,2,15,02-jan-2019 15:00:00,11,4,80,6.6,0.0,9.3,
DUNSANY,1375,2019,1,2,16,02-jan-2019 16:00:00,12,3,80,6.6,0.0,1.4,
DUNSANY,1375,2019,1,2,17,02-jan-2019 17:00:00,15,3,76,6.5,0.0,0.0,
DUNSANY,1375,2019,1,2,18,02-jan-2019 18:00:00,14,3,77,6.4,0.0,0.0,
DUNSANY,1375,2019,1,2,19,02-jan-2019 19:00:00,18,2,76,5.9,0.0,0.0,
DUNSANY,1375,2019,1,2,20,02-jan-2019 20:00:00,18,1,83,5.5,0.0,0.0,
DUNSANY,1375,2019,1,2,21,02-jan-2019 21:00:00,15,2,87,5.3,0.0,0.0,
DUNSANY,1375,2019,1,2,22,02-jan-2019 22:00:00,15,3,81,5.2,0.0,0.0,
DUNSANY,1375,2019,1,2,23,02-jan-2019 23:00:00,,,,,,,
This file contains PROVISIONAL hourly synoptic data and is subject to change once fully quality controlled. Contact keith.lambkin@met.ie for queries.
