station_name,station_no,year,month,day,hour,date,dir,speed,rh,temp,rainfall,solar,
DUNSANY,1375,2019,3,29,0,29-mar-2019 00:00:00,21,6,87,5.8,0.0,0.0,
DUNSANY,1375,2019,3,29,1,29-mar-2019 01:00:00,24,5,92,4.5,0.0,0.0,
DUNSANY,1375,2019,3,29,2,29-mar-2019 02:00:00,19,4,94,3.9,0.0,0.0,
DUNSANY,1375,2019,3,29,3,29-mar-2019 03:00:00,20,4,95,3.5,0.0,0.0,
DUNSANY,1375,2019,3,29,4,29-mar-2019 04:00:00,19,5,96,3.4,0.0,0.0,
DUNSANY,1375,2019,3,29,5,29-mar-2019 05:00:00,23,7,97,5.4,0.0,0.0,
DUNSANY,1375,2019,3,29,6,29-mar-2019 06:00:00,22,6,97,5.3,0.0,4.6,
DUNSANY,1375,2019,3,29,7,29-mar-2019 07:00:00,21,5,98,5.4,0.0,20.8,
DUNSANY,1375,2019,3,29,8,29-mar-2019 08:00:00,22,5,98,5.4,0.0,67.2,
DUNSANY,1375,2019,3,29,9,29-mar-2019 09:00:00,20,4,95,6.3,0.0,131.3,
DUNSANY,1375,2019,3,29,10,29-mar-2019 10:00:00,20,6,87,8.1,0.0,153.1,
DUNSANY,1375,2019,3,29,11,29-mar-2019 11:00:00,17,6,75,10.2,0.0,185.7,
DUNSANY,1375,2019,3,29,12,29-mar-2019 12:00:00,23,8,68,11.1,0.0,229.8,
DUNSANY,1375,2019,3,29,13,29-mar-2019 13:00:00,26,4,67,11.6,0.0,193.1,
DUNSANY,1375,2019,3,29,14,29-mar-2019 14:00:00,25,7,66,12.9,0.0,182.7,
DUNSANY,1375,2019,3,29,15,29-mar-2019 15:00:00,25,7,62,13.2,0.0,170.4,
DUNSANY,1375,2019,3,29,16,29-mar-2019 16:00:00,23,7,59,13.6,0.0,113.3,
DUNSANY,1375,2019,3,29,17,29-mar-2019 17:00:00,18,5,63,12.9,0.0,51.5,
DUNSANY,1375,2019,3,29,18,29-mar-2019 18:00:00,19,5,69,11.7,0.0,7.6,
DUNSANY,1375,2019,3,29,19,29-mar-2019 19:00:00,16,3,74,9.7,0.0,0.0,
DUNSANY,1375,2019,3,29,20,29-mar-2019 20:00:00,15,3,80,8.0,0.0,0.0,
DUNSANY,1375,2019,3,29,21,29-mar-2019 21:00:00,12,5,86,8.1,0.0,0.0,
DUNSANY,1375,2019,3,29,22,29-mar-2019 22:00:00,19,3,85,8.4,0.0,0.0,
DUNSANY,1375,2019,3,29,23,29-mar-2019 23:00:00,18,4,90,7.4,0.0,0.0,
DUNSANY,1375,2019,3,30,0,30-mar-2019 00:00:00,21,4,91,7.3,0.0,0.0,
DUNSANY,1375,2019,3,30,1,30-mar-2019 01:00:00,22,5,93,6.3,0.0,0.0,
DUNSANY,1375,2019,3,30,2,30-mar-2019 02:00:00,18,3,93,6.0,0.0,0.0,
DUNSANY,1375,2019,3,30,3,30-mar-2019 03:00:00,20,3,94,5.8,0.0,0.0,
DUNSANY,1375,2019,3,30,4,30-mar-2019 04:00:00,21,2,94,5.6,0.0,0.0,
DUNSANY,1375,2019,3,30,5,30-mar-2019 05:00:00,19,2,94,5.7,0.0,0.1,
DUNSANY,1375,2019,3,30,6,30-mar-2019 06:00:00,22,2,94,5.6,0.0,9.7,
DUNSANY,1375,2019,3,30,7,30-mar-2019 07:00:00,23,2,94,5.1,0.0,39.4,
DUNSANY,1375,2019,3,30,8,30-mar-2019 08:00:00,25,3,94,6.5,0.0,76.6,
DUNSANY,1375,2019,3,30,9,30-mar-2019 09:00:00,29,5,86,8.6,0.0,79.3,
DUNSANY,1375,2019,3,30,10,30-mar-2019 10:00:00,28,5,85,9.3,0.0,115.2,
DUNSANY,1375,2019,3,30,11,30-mar-2019 11:00:00,28,4,78,10.8,0.0,120.6,
DUNSANY,1375,2019,3,30,12,30-mar-2019 12:00:00,32,5,75,10.8,0.0,70.5,
DUNSANY,1375,2019,3,30,13,30-mar-2019 13:00:00,35,3,64,11.3,0.0,65.5,
DUNSANY,1375,2019,3,30,14,30-mar-2019 14:00:00,35,6,77,11.0,0.0,72.5,
DUNSANY,1375,2019,3,30,15,30-mar-2019 15:00:00,36,7,78,10.0,0.0,28.3,
DUNSANY,1375,2019,3,30,16,30-mar-2019 16:00:00,2,7,76,8.9,0.0,13.6,
DUNSANY,1375,2019,3,30,17,30-mar-2019 17:00:00,1,7,74,8.8,0.0,16.2,
DUNSANY,1375,2019,3,30,18,30-mar-2019 18:00:00,7,5,82,8.4,0.0,5.2,
DUNSANY,1375,2019,3,30,19,30-mar-2019 19:00:00,2,4,78,7.9,0.0,0.0,
DUNSANY,1375,2019,3,30,20,30-mar-2019 20:00:00,3,5,67,7.4,0.0,0.0,
DUNSANY,1375,2019,3,30,21,30-mar-2019 21:00:00,2,6,63,6.8,0.0,0.0,
DUNSANY,1375,2019,3,30,22,30-mar-2019 22:00:00,1,5,67,5.2,0.0,,
DUNSANY,1375,2019,3,30,23,30-mar-2019 23:00:00,,,,,,,
This file contains PROVISIONAL hourly synoptic data and is subject to change once fully quality controlled. Contact keith.lambkin@met.ie for queries.
