station_name,station_no,year,month,day,hour,date,dir,speed,rh,temp,rainfall,solar,
FINNER,2075,2016,12,31,0,31-dec-2016 00:00:00,21,12,71,11.6,0.0,0.0,
FINNER,2075,2016,12,31,1,31-dec-2016 01:00:00,22,15,71,11.4,0.0,0.0,
FINNER,2075,2016,12,31,2,31-dec-2016 02:00:00,21,16,71,11.3,0.0,0.0,
FINNER,2075,2016,12,31,3,31-dec-2016 03:00:00,22,15,71,11.2,0.0,0.0,
FINNER,2075,2016,12,31,4,31-dec-2016 04:00:00,23,16,73,11.0,0.0,0.0,
FINNER,2075,2016,12,31,5,31-dec-2016 05:00:00,23,17,71,11.0,0.0,0.0,
FINNER,2075,2016,12,31,6,31-dec-2016 06:00:00,22,19,66,11.2,0.0,0.0,
FINNER,2075,2016,12,31,7,31-dec-2016 07:00:00,23,18,70,10.9,0.0,0.0,
FINNER,2075,2016,12,31,8,31-dec-2016 08:00:00,22,19,69,10.9,0.0,0.4,
FINNER,2075,2016,12,31,9,31-dec-2016 09:00:00,22,17,66,11.2,0.0,8.5,
FINNER,2075,2016,12,31,10,31-dec-2016 10:00:00,21,20,68,11.3,0.0,29.7,
FINNER,2075,2016,12,31,11,31-dec-2016 11:00:00,21,16,69,11.6,0.0,26.4,
FINNER,2075,2016,12,31,12,31-dec-2016 12:00:00,22,18,67,11.7,0.0,32.6,
FINNER,2075,2016,12,31,13,31-dec-2016 13:00:00,23,22,65,12.3,0.0,16.7,
FINNER,2075,2016,12,31,14,31-dec-2016 14:00:00,22,21,67,11.9,0.0,2.8,
FINNER,2075,2016,12,31,15,31-dec-2016 15:00:00,24,17,80,10.7,0.0,1.5,
FINNER,2075,2016,12,31,16,31-dec-2016 16:00:00,23,16,89,9.7,1.1,0.0,
FINNER,2075,2016,12,31,17,31-dec-2016 17:00:00,31,10,92,8.4,2.7,0.0,
FINNER,2075,2016,12,31,18,31-dec-2016 18:00:00,31,9,91,7.7,1.9,0.0,
FINNER,2075,2016,12,31,19,31-dec-2016 19:00:00,33,12,89,6.9,1.9,0.0,
FINNER,2075,2016,12,31,20,31-dec-2016 20:00:00,32,8,86,6.5,1.4,0.0,
FINNER,2075,2016,12,31,21,31-dec-2016 21:00:00,33,15,81,6.3,0.0,0.0,
FINNER,2075,2016,12,31,22,31-dec-2016 22:00:00,31,11,77,6.2,0.0,0.0,
FINNER,2075,2016,12,31,23,31-dec-2016 23:00:00,34,9,75,5.5,0.0,0.0,
FINNER,2075,2017,1,1,0,01-jan-2017 00:00:00,1,8,83,4.1,0.0,0.0,
FINNER,2075,2017,1,1,1,01-jan-2017 01:00:00,36,6,83,4.0,0.1,0.0,
FINNER,2075,2017,1,1,2,01-jan-2017 02:00:00,1,12,81,4.1,0.1,0.0,
FINNER,2075,2017,1,1,3,01-jan-2017 03:00:00,1,11,80,3.9,0.0,0.0,
FINNER,2075,2017,1,1,4,01-jan-2017 04:00:00,35,9,77,3.9,0.1,0.0,
FINNER,2075,2017,1,1,5,01-jan-2017 05:00:00,1,11,79,3.9,0.0,0.0,
FINNER,2075,2017,1,1,6,01-jan-2017 06:00:00,2,5,80,2.9,0.1,0.0,
FINNER,2075,2017,1,1,7,01-jan-2017 07:00:00,36,9,83,3.1,0.0,0.0,
FINNER,2075,2017,1,1,8,01-jan-2017 08:00:00,3,11,83,3.7,0.6,0.1,
FINNER,2075,2017,1,1,9,01-jan-2017 09:00:00,2,12,82,3.6,0.6,7.4,
FINNER,2075,2017,1,1,10,01-jan-2017 10:00:00,1,13,71,4.6,0.0,24.6,
FINNER,2075,2017,1,1,11,01-jan-2017 11:00:00,2,14,78,4.3,0.0,33.5,
FINNER,2075,2017,1,1,12,01-jan-2017 12:00:00,2,19,71,5.1,0.0,41.5,
FINNER,2075,2017,1,1,13,01-jan-2017 13:00:00,1,16,68,6.3,0.0,38.6,
FINNER,2075,2017,1,1,14,01-jan-2017 14:00:00,2,9,71,6.1,0.0,29.7,
FINNER,2075,2017,1,1,15,01-jan-2017 15:00:00,1,18,73,5.5,0.0,16.0,
FINNER,2075,2017,1,1,16,01-jan-2017 16:00:00,1,15,72,5.6,0.0,0.9,
FINNER,2075,2017,1,1,17,01-jan-2017 17:00:00,2,18,74,5.0,0.0,0.0,
FINNER,2075,2017,1,1,18,01-jan-2017 18:00:00,2,17,73,4.9,0.0,0.0,
FINNER,2075,2017,1,1,19,01-jan-2017 19:00:00,2,9,71,4.7,0.0,0.0,
