station_name,station_no,year,month,day,hour,date,dir,speed,rh,temp,rainfall,solar,
Gurteen,1475,2017,6,30,0,30-jun-2017 00:00:00,32,14,75,11.5,0.0,0.0,
Gurteen,1475,2017,6,30,1,30-jun-2017 01:00:00,32,13,75,11.3,0.0,0.0,
Gurteen,1475,2017,6,30,2,30-jun-2017 02:00:00,32,13,79,10.8,0.0,0.0,
Gurteen,1475,2017,6,30,3,30-jun-2017 03:00:00,32,14,75,11.0,0.0,0.0,
Gurteen,1475,2017,6,30,4,30-jun-2017 04:00:00,32,14,74,10.8,0.0,0.5,
Gurteen,1475,2017,6,30,5,30-jun-2017 05:00:00,32,14,70,11.0,0.0,4.2,
Gurteen,1475,2017,6,30,6,30-jun-2017 06:00:00,31,11,74,10.9,0.0,27.5,
Gurteen,1475,2017,6,30,7,30-jun-2017 07:00:00,33,15,77,11.1,0.0,63.4,
Gurteen,1475,2017,6,30,8,30-jun-2017 08:00:00,32,16,74,11.6,0.0,72.0,
Gurteen,1475,2017,6,30,9,30-jun-2017 09:00:00,33,13,68,12.3,0.0,210.3,
Gurteen,1475,2017,6,30,10,30-jun-2017 10:00:00,34,16,58,14.6,0.0,279.4,
Gurteen,1475,2017,6,30,11,30-jun-2017 11:00:00,33,17,54,15.5,0.0,254.3,
Gurteen,1475,2017,6,30,12,30-jun-2017 12:00:00,34,16,54,15.7,0.0,201.9,
Gurteen,1475,2017,6,30,13,30-jun-2017 13:00:00,31,16,58,15.6,0.0,198.6,
Gurteen,1475,2017,6,30,14,30-jun-2017 14:00:00,32,16,55,16.3,0.0,256.5,
Gurteen,1475,2017,6,30,15,30-jun-2017 15:00:00,31,16,54,16.5,0.0,197.2,
Gurteen,1475,2017,6,30,16,30-jun-2017 16:00:00,32,14,53,16.2,0.0,223.6,
Gurteen,1475,2017,6,30,17,30-jun-2017 17:00:00,31,15,54,16.5,0.0,148.5,
Gurteen,1475,2017,6,30,18,30-jun-2017 18:00:00,33,13,52,15.9,0.0,110.7,
Gurteen,1475,2017,6,30,19,30-jun-2017 19:00:00,33,10,53,15.1,0.0,45.8,
Gurteen,1475,2017,6,30,20,30-jun-2017 20:00:00,33,7,60,13.7,0.0,9.3,
Gurteen,1475,2017,6,30,21,30-jun-2017 21:00:00,30,4,74,11.4,0.0,0.1,
Gurteen,1475,2017,6,30,22,30-jun-2017 22:00:00,27,5,82,10.3,0.0,0.0,
Gurteen,1475,2017,6,30,23,30-jun-2017 23:00:00,27,3,86,8.6,0.0,0.0,
Gurteen,1475,2017,7,1,0,01-jul-2017 00:00:00,23,5,88,8.4,0.0,0.0,
Gurteen,1475,2017,7,1,1,01-jul-2017 01:00:00,22,3,91,7.6,0.0,0.0,
Gurteen,1475,2017,7,1,2,01-jul-2017 02:00:00,24,4,94,7.7,0.0,0.0,
Gurteen,1475,2017,7,1,3,01-jul-2017 03:00:00,19,5,94,7.1,0.0,0.0,
Gurteen,1475,2017,7,1,4,01-jul-2017 04:00:00,19,5,95,7.6,0.0,2.5,
Gurteen,1475,2017,7,1,5,01-jul-2017 05:00:00,19,6,94,9.2,0.0,8.9,
Gurteen,1475,2017,7,1,6,01-jul-2017 06:00:00,19,6,92,10.5,0.0,30.3,
Gurteen,1475,2017,7,1,7,01-jul-2017 07:00:00,20,7,91,11.7,0.0,4.2,
Gurteen,1475,2017,7,1,8,01-jul-2017 08:00:00,,,,,,,
Gurteen,1475,2017,7,1,9,01-jul-2017 09:00:00,,,,,,,
Gurteen,1475,2017,7,1,10,01-jul-2017 10:00:00,,,,,,,
Gurteen,1475,2017,7,1,11,01-jul-2017 11:00:00,,,,,,,
Gurteen,1475,2017,7,1,12,01-jul-2017 12:00:00,,,,,,,
Gurteen,1475,2017,7,1,13,01-jul-2017 13:00:00,,,,,,,
Gurteen,1475,2017,7,1,14,01-jul-2017 14:00:00,,,,,,,
Gurteen,1475,2017,7,1,15,01-jul-2017 15:00:00,,,,,,,
Gurteen,1475,2017,7,1,16,01-jul-2017 16:00:00,,,,,,,
Gurteen,1475,2017,7,1,17,01-jul-2017 17:00:00,,,,,,,
Gurteen,1475,2017,7,1,18,01-jul-2017 18:00:00,,,,,,,
Gurteen,1475,2017,7,1,19,01-jul-2017 19:00:00,,,,,,,
Gurteen,1475,2017,7,1,20,01-jul-2017 20:00:00,,,,,,,
Gurteen,1475,2017,7,1,21,01-jul-2017 21:00:00,,,,,,,
Gurteen,1475,2017,7,1,22,01-jul-2017 22:00:00,,,,,,,
Gurteen,1475,2017,7,1,23,01-jul-2017 23:00:00,,,,,,,
This file contains PROVISIONAL hourly synoptic data and is subject to change once fully quality controlled. Contact keith.lambkin@met.ie for queries.
