station_name,station_no,year,month,day,hour,date,dir,speed,rh,temp,rainfall,solar,
Gurteen,1475,2017,5,5,0,05-may-2017 00:00:00,7,7,72,7.5,0.0,0.0,
Gurteen,1475,2017,5,5,1,05-may-2017 01:00:00,6,7,78,7.1,0.0,0.0,
Gurteen,1475,2017,5,5,2,05-may-2017 02:00:00,6,6,83,6.6,0.0,0.0,
Gurteen,1475,2017,5,5,3,05-may-2017 03:00:00,6,8,86,6.1,0.0,0.0,
Gurteen,1475,2017,5,5,4,05-may-2017 04:00:00,6,8,89,5.5,0.0,0.6,
Gurteen,1475,2017,5,5,5,05-may-2017 05:00:00,7,7,85,6.5,0.0,18.2,
Gurteen,1475,2017,5,5,6,05-may-2017 06:00:00,6,6,79,7.6,0.0,62.4,
Gurteen,1475,2017,5,5,7,05-may-2017 07:00:00,7,10,77,8.9,0.0,120.2,
Gurteen,1475,2017,5,5,8,05-may-2017 08:00:00,7,12,71,10.5,0.0,169.7,
Gurteen,1475,2017,5,5,9,05-may-2017 09:00:00,8,15,60,11.8,0.0,227.3,
Gurteen,1475,2017,5,5,10,05-may-2017 10:00:00,9,15,55,13.0,0.0,243.6,
Gurteen,1475,2017,5,5,11,05-may-2017 11:00:00,9,16,54,13.5,0.0,294.2,
Gurteen,1475,2017,5,5,12,05-may-2017 12:00:00,8,15,54,14.0,0.0,270.6,
Gurteen,1475,2017,5,5,13,05-may-2017 13:00:00,9,16,56,14.6,0.0,278.1,
Gurteen,1475,2017,5,5,14,05-may-2017 14:00:00,8,15,53,14.8,0.0,247.0,
Gurteen,1475,2017,5,5,15,05-may-2017 15:00:00,7,16,49,14.2,0.0,202.3,
Gurteen,1475,2017,5,5,16,05-may-2017 16:00:00,8,17,46,13.9,0.0,184.4,
Gurteen,1475,2017,5,5,17,05-may-2017 17:00:00,7,16,48,13.9,0.0,124.3,
Gurteen,1475,2017,5,5,18,05-may-2017 18:00:00,6,14,47,13.4,0.0,64.4,
Gurteen,1475,2017,5,5,19,05-may-2017 19:00:00,7,13,50,12.3,0.0,14.7,
Gurteen,1475,2017,5,5,20,05-may-2017 20:00:00,6,10,57,10.6,0.0,0.4,
Gurteen,1475,2017,5,5,21,05-may-2017 21:00:00,5,11,65,9.3,0.0,0.0,
Gurteen,1475,2017,5,5,22,05-may-2017 22:00:00,5,9,72,8.4,0.0,0.0,
Gurteen,1475,2017,5,5,23,05-may-2017 23:00:00,6,10,77,7.7,0.0,0.0,
Gurteen,1475,2017,5,6,0,06-may-2017 00:00:00,4,8,78,7.2,0.0,0.0,
Gurteen,1475,2017,5,6,1,06-may-2017 01:00:00,5,10,77,7.2,0.0,0.0,
Gurteen,1475,2017,5,6,2,06-may-2017 02:00:00,6,11,79,7.5,0.0,0.0,
Gurteen,1475,2017,5,6,3,06-may-2017 03:00:00,6,11,79,7.5,0.0,0.0,
Gurteen,1475,2017,5,6,4,06-may-2017 04:00:00,6,8,79,7.2,0.0,0.4,
Gurteen,1475,2017,5,6,5,06-may-2017 05:00:00,6,8,81,6.9,0.0,5.9,
Gurteen,1475,2017,5,6,6,06-may-2017 06:00:00,5,11,80,7.6,0.0,11.4,
Gurteen,1475,2017,5,6,7,06-may-2017 07:00:00,6,16,82,8.1,0.0,23.8,
Gurteen,1475,2017,5,6,8,06-may-2017 08:00:00,6,11,85,8.2,0.0,51.7,
Gurteen,1475,2017,5,6,9,06-may-2017 09:00:00,6,14,79,9.1,0.0,55.2,
Gurteen,1475,2017,5,6,10,06-may-2017 10:00:00,6,12,77,9.1,0.0,60.4,
Gurteen,1475,2017,5,6,11,06-may-2017 11:00:00,6,14,80,9.3,0.0,64.6,
Gurteen,1475,2017,5,6,12,06-may-2017 12:00:00,8,11,76,9.7,0.0,73.3,
Gurteen,1475,2017,5,6,13,06-may-2017 13:00:00,6,10,75,10.2,0.0,65.1,
Gurteen,1475,2017,5,6,14,06-may-2017 14:00:00,8,9,72,10.6,0.0,51.3,
Gurteen,1475,2017,5,6,15,06-may-2017 15:00:00,8,9,71,10.7,0.0,43.4,
Gurteen,1475,2017,5,6,16,06-may-2017 16:00:00,10,8,72,10.8,0.0,35.9,
Gurteen,1475,2017,5,6,17,06-may-2017 17:00:00,10,4,73,10.9,0.0,17.1,
Gurteen,1475,2017,5,6,18,06-may-2017 18:00:00,8,4,73,11.0,0.0,9.6,
Gurteen,1475,2017,5,6,19,06-may-2017 19:00:00,8,2,75,10.7,0.0,3.7,
Gurteen,1475,2017,5,6,20,06-may-2017 20:00:00,11,2,81,10.2,0.0,0.3,
Gurteen,1475,2017,5,6,21,06-may-2017 21:00:00,4,1,81,6.7,0.0,0.0,
Gurteen,1475,2017,5,6,22,06-may-2017 22:00:00,4,0,92,6.4,0.0,0.0,
Gurteen,1475,2017,5,6,23,06-may-2017 23:00:00,,,,,,,
This file contains PROVISIONAL hourly synoptic data and is subject to change once fully quality controlled. Contact keith.lambkin@met.ie for queries.
