station_name,station_no,year,month,day,hour,date,dir,speed,rh,temp,rainfall,solar,
Gurteen,1475,2017,11,8,0,08-nov-2017 00:00:00,21,6,98,1.6,0.0,0.0,
Gurteen,1475,2017,11,8,1,08-nov-2017 01:00:00,20,5,97,1.5,0.0,0.0,
Gurteen,1475,2017,11,8,2,08-nov-2017 02:00:00,22,5,97,1.1,0.0,0.0,
Gurteen,1475,2017,11,8,3,08-nov-2017 03:00:00,22,6,97,1.8,0.0,0.0,
Gurteen,1475,2017,11,8,4,08-nov-2017 04:00:00,21,6,98,1.5,0.0,0.0,
Gurteen,1475,2017,11,8,5,08-nov-2017 05:00:00,21,6,96,1.7,0.0,0.0,
Gurteen,1475,2017,11,8,6,08-nov-2017 06:00:00,20,7,95,2.1,0.0,0.0,
Gurteen,1475,2017,11,8,7,08-nov-2017 07:00:00,19,6,93,3.0,0.0,0.9,
Gurteen,1475,2017,11,8,8,08-nov-2017 08:00:00,19,6,92,3.1,0.0,24.6,
Gurteen,1475,2017,11,8,9,08-nov-2017 09:00:00,19,7,89,4.6,0.0,61.1,
Gurteen,1475,2017,11,8,10,08-nov-2017 10:00:00,19,7,86,6.5,0.0,67.3,
Gurteen,1475,2017,11,8,11,08-nov-2017 11:00:00,20,9,87,8.2,0.0,38.8,
Gurteen,1475,2017,11,8,12,08-nov-2017 12:00:00,20,9,89,8.9,0.0,56.2,
Gurteen,1475,2017,11,8,13,08-nov-2017 13:00:00,21,9,91,9.2,0.0,29.5,
Gurteen,1475,2017,11,8,14,08-nov-2017 14:00:00,21,7,94,9.3,0.7,23.2,
Gurteen,1475,2017,11,8,15,08-nov-2017 15:00:00,20,9,95,9.7,0.6,11.3,
Gurteen,1475,2017,11,8,16,08-nov-2017 16:00:00,20,10,96,9.7,0.1,1.0,
Gurteen,1475,2017,11,8,17,08-nov-2017 17:00:00,21,9,96,9.4,0.0,0.0,
Gurteen,1475,2017,11,8,18,08-nov-2017 18:00:00,21,9,98,9.7,0.1,0.0,
Gurteen,1475,2017,11,8,19,08-nov-2017 19:00:00,23,9,97,10.5,0.0,0.0,
Gurteen,1475,2017,11,8,20,08-nov-2017 20:00:00,24,10,97,10.8,0.0,0.0,
Gurteen,1475,2017,11,8,21,08-nov-2017 21:00:00,24,9,96,10.8,0.2,0.0,
Gurteen,1475,2017,11,8,22,08-nov-2017 22:00:00,22,8,96,10.9,0.0,0.0,
Gurteen,1475,2017,11,8,23,08-nov-2017 23:00:00,24,10,94,11.2,0.0,0.0,
Gurteen,1475,2017,11,9,0,09-nov-2017 00:00:00,24,10,93,11.2,0.0,0.0,
Gurteen,1475,2017,11,9,1,09-nov-2017 01:00:00,24,10,92,11.5,0.0,0.0,
Gurteen,1475,2017,11,9,2,09-nov-2017 02:00:00,24,7,97,11.1,0.2,0.0,
Gurteen,1475,2017,11,9,3,09-nov-2017 03:00:00,26,9,95,11.4,0.3,0.0,
Gurteen,1475,2017,11,9,4,09-nov-2017 04:00:00,26,9,93,11.5,0.0,0.0,
Gurteen,1475,2017,11,9,5,09-nov-2017 05:00:00,27,10,92,11.5,0.0,0.0,
Gurteen,1475,2017,11,9,6,09-nov-2017 06:00:00,26,9,95,11.3,0.0,0.0,
Gurteen,1475,2017,11,9,7,09-nov-2017 07:00:00,28,10,93,10.8,0.0,0.6,
Gurteen,1475,2017,11,9,8,09-nov-2017 08:00:00,29,6,96,9.7,0.0,7.9,
Gurteen,1475,2017,11,9,9,09-nov-2017 09:00:00,31,9,89,9.9,0.0,30.6,
Gurteen,1475,2017,11,9,10,09-nov-2017 10:00:00,31,9,82,10.2,0.0,73.8,
Gurteen,1475,2017,11,9,11,09-nov-2017 11:00:00,30,7,74,10.8,0.0,103.2,
Gurteen,1475,2017,11,9,12,09-nov-2017 12:00:00,29,9,72,11.4,0.0,116.6,
Gurteen,1475,2017,11,9,13,09-nov-2017 13:00:00,28,12,66,11.6,0.0,84.7,
Gurteen,1475,2017,11,9,14,09-nov-2017 14:00:00,27,11,70,11.0,0.0,54.4,
Gurteen,1475,2017,11,9,15,09-nov-2017 15:00:00,26,10,73,11.1,0.0,35.7,
Gurteen,1475,2017,11,9,16,09-nov-2017 16:00:00,27,10,75,9.9,0.0,5.8,
Gurteen,1475,2017,11,9,17,09-nov-2017 17:00:00,23,8,81,9.1,0.0,0.0,
Gurteen,1475,2017,11,9,18,09-nov-2017 18:00:00,22,5,86,8.5,0.0,0.0,
Gurteen,1475,2017,11,9,19,09-nov-2017 19:00:00,22,8,90,9.1,0.0,0.0,
Gurteen,1475,2017,11,9,20,09-nov-2017 20:00:00,21,10,97,9.9,0.0,0.0,
Gurteen,1475,2017,11,9,21,09-nov-2017 21:00:00,24,12,97,11.2,0.3,0.0,
Gurteen,1475,2017,11,9,22,09-nov-2017 22:00:00,25,13,97,11.4,0.2,0.0,
Gurteen,1475,2017,11,9,23,09-nov-2017 23:00:00,,,,,,,
This file contains PROVISIONAL hourly synoptic data and is subject to change once fully quality controlled. Contact keith.lambkin@met.ie for queries.
