station_name,station_no,year,month,day,hour,date,dir,speed,rh,temp,rainfall,solar,
Gurteen,1475,2018,8,11,0,11-aug-2018 00:00:00,15,2,92,6.8,0.0,0.0,
Gurteen,1475,2018,8,11,1,11-aug-2018 01:00:00,12,2,94,6.3,0.0,0.0,
Gurteen,1475,2018,8,11,2,11-aug-2018 02:00:00,10,4,87,8.1,0.0,0.0,
Gurteen,1475,2018,8,11,3,11-aug-2018 03:00:00,13,6,84,9.2,0.0,0.0,
Gurteen,1475,2018,8,11,4,11-aug-2018 04:00:00,13,5,82,9.7,0.0,0.1,
Gurteen,1475,2018,8,11,5,11-aug-2018 05:00:00,14,5,79,9.8,0.0,7.5,
Gurteen,1475,2018,8,11,6,11-aug-2018 06:00:00,10,5,81,10.7,0.0,33.7,
Gurteen,1475,2018,8,11,7,11-aug-2018 07:00:00,12,9,85,11.7,0.0,60.1,
Gurteen,1475,2018,8,11,8,11-aug-2018 08:00:00,14,10,85,14.3,0.0,112.1,
Gurteen,1475,2018,8,11,9,11-aug-2018 09:00:00,13,10,84,16.2,0.0,108.4,
Gurteen,1475,2018,8,11,10,11-aug-2018 10:00:00,14,13,80,17.8,0.0,124.6,
Gurteen,1475,2018,8,11,11,11-aug-2018 11:00:00,13,12,83,18.2,0.0,88.9,
Gurteen,1475,2018,8,11,12,11-aug-2018 12:00:00,14,11,79,19.7,0.0,76.6,
Gurteen,1475,2018,8,11,13,11-aug-2018 13:00:00,15,11,81,19.9,0.0,92.5,
Gurteen,1475,2018,8,11,14,11-aug-2018 14:00:00,15,9,84,20.5,0.0,93.2,
Gurteen,1475,2018,8,11,15,11-aug-2018 15:00:00,16,13,76,21.3,0.0,47.9,
Gurteen,1475,2018,8,11,16,11-aug-2018 16:00:00,17,11,86,20.0,0.5,44.9,
Gurteen,1475,2018,8,11,17,11-aug-2018 17:00:00,17,13,87,19.5,1.0,30.4,
Gurteen,1475,2018,8,11,18,11-aug-2018 18:00:00,16,12,87,19.2,0.0,11.8,
Gurteen,1475,2018,8,11,19,11-aug-2018 19:00:00,16,10,88,18.8,0.0,2.9,
Gurteen,1475,2018,8,11,20,11-aug-2018 20:00:00,16,8,91,18.3,0.0,0.0,
Gurteen,1475,2018,8,11,21,11-aug-2018 21:00:00,16,6,93,17.9,0.0,0.0,
Gurteen,1475,2018,8,11,22,11-aug-2018 22:00:00,25,10,94,16.6,0.1,0.0,
Gurteen,1475,2018,8,11,23,11-aug-2018 23:00:00,25,6,94,16.2,0.1,0.0,
Gurteen,1475,2018,8,12,0,12-aug-2018 00:00:00,22,4,95,15.8,0.1,0.0,
Gurteen,1475,2018,8,12,1,12-aug-2018 01:00:00,21,2,95,15.4,0.0,0.0,
Gurteen,1475,2018,8,12,2,12-aug-2018 02:00:00,24,0,95,14.8,0.0,0.0,
Gurteen,1475,2018,8,12,3,12-aug-2018 03:00:00,31,2,96,14.9,0.0,0.0,
Gurteen,1475,2018,8,12,4,12-aug-2018 04:00:00,29,5,97,14.4,0.0,0.0,
Gurteen,1475,2018,8,12,5,12-aug-2018 05:00:00,31,1,96,14.1,0.0,2.2,
Gurteen,1475,2018,8,12,6,12-aug-2018 06:00:00,19,0,96,13.8,0.1,15.6,
Gurteen,1475,2018,8,12,7,12-aug-2018 07:00:00,19,2,95,14.1,0.2,43.8,
Gurteen,1475,2018,8,12,8,12-aug-2018 08:00:00,15,2,92,14.9,0.0,36.9,
Gurteen,1475,2018,8,12,9,12-aug-2018 09:00:00,33,2,87,15.3,0.0,65.9,
Gurteen,1475,2018,8,12,10,12-aug-2018 10:00:00,5,3,82,16.2,0.0,139.7,
Gurteen,1475,2018,8,12,11,12-aug-2018 11:00:00,5,2,74,17.6,0.0,160.7,
Gurteen,1475,2018,8,12,12,12-aug-2018 12:00:00,1,3,71,18.6,0.0,223.8,
Gurteen,1475,2018,8,12,13,12-aug-2018 13:00:00,4,3,61,19.5,0.0,195.8,
Gurteen,1475,2018,8,12,14,12-aug-2018 14:00:00,34,5,61,19.7,0.0,150.5,
Gurteen,1475,2018,8,12,15,12-aug-2018 15:00:00,31,6,63,19.9,0.0,85.3,
Gurteen,1475,2018,8,12,16,12-aug-2018 16:00:00,32,6,59,20.1,0.0,89.4,
Gurteen,1475,2018,8,12,17,12-aug-2018 17:00:00,32,6,61,20.0,0.0,48.2,
Gurteen,1475,2018,8,12,18,12-aug-2018 18:00:00,35,6,67,19.2,0.0,30.0,
Gurteen,1475,2018,8,12,19,12-aug-2018 19:00:00,33,4,72,18.1,0.0,5.7,
Gurteen,1475,2018,8,12,20,12-aug-2018 20:00:00,30,3,82,15.8,0.0,0.1,
Gurteen,1475,2018,8,12,21,12-aug-2018 21:00:00,30,3,88,14.6,0.0,0.0,
Gurteen,1475,2018,8,12,22,12-aug-2018 22:00:00,28,2,91,13.3,0.0,,
Gurteen,1475,2018,8,12,23,12-aug-2018 23:00:00,,,,,,,
This file contains PROVISIONAL hourly synoptic data and is subject to change once fully quality controlled. Contact keith.lambkin@met.ie for queries.
