station_name,station_no,year,month,day,hour,date,dir,speed,rh,temp,rainfall,solar,
GURTEEN,1475,2018,12,19,0,19-dec-2018 00:00:00,18,9,87,4.3,0.0,0.0,
GURTEEN,1475,2018,12,19,1,19-dec-2018 01:00:00,18,8,87,4.2,0.0,0.0,
GURTEEN,1475,2018,12,19,2,19-dec-2018 02:00:00,18,10,87,4.2,0.1,0.0,
GURTEEN,1475,2018,12,19,3,19-dec-2018 03:00:00,17,10,85,4.4,0.0,0.0,
GURTEEN,1475,2018,12,19,4,19-dec-2018 04:00:00,18,10,86,4.5,0.0,0.0,
GURTEEN,1475,2018,12,19,5,19-dec-2018 05:00:00,18,9,85,4.4,0.0,0.0,
GURTEEN,1475,2018,12,19,6,19-dec-2018 06:00:00,18,10,84,4.7,0.0,0.0,
GURTEEN,1475,2018,12,19,7,19-dec-2018 07:00:00,18,12,84,5.3,0.0,0.0,
GURTEEN,1475,2018,12,19,8,19-dec-2018 08:00:00,18,13,84,5.6,0.0,0.4,
GURTEEN,1475,2018,12,19,9,19-dec-2018 09:00:00,19,13,83,5.8,0.0,9.9,
GURTEEN,1475,2018,12,19,10,19-dec-2018 10:00:00,19,14,83,6.1,0.0,32.3,
GURTEEN,1475,2018,12,19,11,19-dec-2018 11:00:00,19,14,83,6.7,0.0,36.9,
GURTEEN,1475,2018,12,19,12,19-dec-2018 12:00:00,19,14,82,6.9,0.0,35.3,
GURTEEN,1475,2018,12,19,13,19-dec-2018 13:00:00,20,14,81,6.7,0.0,23.3,
GURTEEN,1475,2018,12,19,14,19-dec-2018 14:00:00,21,14,81,7.0,0.0,16.3,
GURTEEN,1475,2018,12,19,15,19-dec-2018 15:00:00,20,13,88,6.6,0.2,6.8,
GURTEEN,1475,2018,12,19,16,19-dec-2018 16:00:00,20,12,90,6.5,0.3,0.4,
GURTEEN,1475,2018,12,19,17,19-dec-2018 17:00:00,19,11,90,6.0,0.1,0.0,
GURTEEN,1475,2018,12,19,18,19-dec-2018 18:00:00,20,12,88,6.1,0.5,0.0,
GURTEEN,1475,2018,12,19,19,19-dec-2018 19:00:00,19,14,92,6.2,1.6,0.0,
GURTEEN,1475,2018,12,19,20,19-dec-2018 20:00:00,21,11,92,6.6,1.2,0.0,
GURTEEN,1475,2018,12,19,21,19-dec-2018 21:00:00,21,7,94,6.8,0.1,0.0,
GURTEEN,1475,2018,12,19,22,19-dec-2018 22:00:00,24,14,91,7.3,0.0,0.0,
GURTEEN,1475,2018,12,19,23,19-dec-2018 23:00:00,25,13,88,7.1,0.3,0.0,
GURTEEN,1475,2018,12,20,0,20-dec-2018 00:00:00,25,12,88,7.2,0.0,0.0,
GURTEEN,1475,2018,12,20,1,20-dec-2018 01:00:00,24,10,89,7.0,0.0,0.0,
GURTEEN,1475,2018,12,20,2,20-dec-2018 02:00:00,25,12,90,6.6,0.0,0.0,
GURTEEN,1475,2018,12,20,3,20-dec-2018 03:00:00,22,7,93,5.6,0.0,0.0,
GURTEEN,1475,2018,12,20,4,20-dec-2018 04:00:00,23,9,94,6.4,0.3,0.0,
GURTEEN,1475,2018,12,20,5,20-dec-2018 05:00:00,23,12,93,7.0,0.0,0.0,
GURTEEN,1475,2018,12,20,6,20-dec-2018 06:00:00,23,9,91,6.4,0.2,0.0,
GURTEEN,1475,2018,12,20,7,20-dec-2018 07:00:00,23,11,91,6.6,0.1,0.0,
GURTEEN,1475,2018,12,20,8,20-dec-2018 08:00:00,21,9,92,6.2,0.0,0.4,
GURTEEN,1475,2018,12,20,9,20-dec-2018 09:00:00,21,11,93,6.5,0.0,9.8,
GURTEEN,1475,2018,12,20,10,20-dec-2018 10:00:00,20,10,94,6.6,0.0,19.5,
GURTEEN,1475,2018,12,20,11,20-dec-2018 11:00:00,21,12,93,6.9,0.0,17.3,
GURTEEN,1475,2018,12,20,12,20-dec-2018 12:00:00,20,11,94,7.0,0.1,23.6,
GURTEEN,1475,2018,12,20,13,20-dec-2018 13:00:00,23,14,93,7.6,0.5,22.3,
GURTEEN,1475,2018,12,20,14,20-dec-2018 14:00:00,23,15,93,7.7,0.5,12.6,
GURTEEN,1475,2018,12,20,15,20-dec-2018 15:00:00,24,12,94,7.5,0.1,5.7,
GURTEEN,1475,2018,12,20,16,20-dec-2018 16:00:00,24,12,93,7.3,0.0,0.1,
GURTEEN,1475,2018,12,20,17,20-dec-2018 17:00:00,23,10,94,7.0,0.4,0.0,
GURTEEN,1475,2018,12,20,18,20-dec-2018 18:00:00,22,9,90,6.8,0.0,0.0,
GURTEEN,1475,2018,12,20,19,20-dec-2018 19:00:00,21,8,93,6.4,0.0,0.0,
GURTEEN,1475,2018,12,20,20,20-dec-2018 20:00:00,21,8,92,6.8,0.0,0.0,
GURTEEN,1475,2018,12,20,21,20-dec-2018 21:00:00,19,8,92,6.6,0.0,0.0,
GURTEEN,1475,2018,12,20,22,20-dec-2018 22:00:00,16,8,86,6.8,0.0,0.0,
GURTEEN,1475,2018,12,20,23,20-dec-2018 23:00:00,,,,,,,
This file contains PROVISIONAL hourly synoptic data and is subject to change once fully quality controlled. Contact keith.lambkin@met.ie for queries.
