station_name,station_no,year,month,day,hour,date,dir,speed,rh,temp,rainfall,solar,
Gurteen,1475,2018,1,26,0,26-jan-2018 00:00:00,29,10,87,4.5,0.0,0.0,
Gurteen,1475,2018,1,26,1,26-jan-2018 01:00:00,29,8,90,3.6,0.0,0.0,
Gurteen,1475,2018,1,26,2,26-jan-2018 02:00:00,29,8,91,3.8,0.0,0.0,
Gurteen,1475,2018,1,26,3,26-jan-2018 03:00:00,29,8,91,4.4,0.0,0.0,
Gurteen,1475,2018,1,26,4,26-jan-2018 04:00:00,29,9,92,3.7,0.0,0.0,
Gurteen,1475,2018,1,26,5,26-jan-2018 05:00:00,28,7,92,3.0,0.0,0.0,
Gurteen,1475,2018,1,26,6,26-jan-2018 06:00:00,28,6,94,2.5,0.0,0.0,
Gurteen,1475,2018,1,26,7,26-jan-2018 07:00:00,26,7,95,2.4,0.0,0.0,
Gurteen,1475,2018,1,26,8,26-jan-2018 08:00:00,25,6,95,2.4,0.0,4.6,
Gurteen,1475,2018,1,26,9,26-jan-2018 09:00:00,15,3,95,1.3,0.1,35.8,
Gurteen,1475,2018,1,26,10,26-jan-2018 10:00:00,20,5,94,3.8,0.0,59.6,
Gurteen,1475,2018,1,26,11,26-jan-2018 11:00:00,19,4,89,6.0,0.0,70.2,
Gurteen,1475,2018,1,26,12,26-jan-2018 12:00:00,21,6,89,6.5,0.0,52.5,
Gurteen,1475,2018,1,26,13,26-jan-2018 13:00:00,23,8,90,6.5,0.0,27.9,
Gurteen,1475,2018,1,26,14,26-jan-2018 14:00:00,23,5,91,6.6,0.0,17.8,
Gurteen,1475,2018,1,26,15,26-jan-2018 15:00:00,19,5,92,6.2,0.0,8.7,
Gurteen,1475,2018,1,26,16,26-jan-2018 16:00:00,22,7,90,6.4,0.0,1.1,
Gurteen,1475,2018,1,26,17,26-jan-2018 17:00:00,20,8,90,6.5,0.0,0.0,
Gurteen,1475,2018,1,26,18,26-jan-2018 18:00:00,20,10,89,6.1,0.5,0.0,
Gurteen,1475,2018,1,26,19,26-jan-2018 19:00:00,18,9,91,5.7,0.9,0.0,
Gurteen,1475,2018,1,26,20,26-jan-2018 20:00:00,17,11,89,5.9,0.1,0.0,
Gurteen,1475,2018,1,26,21,26-jan-2018 21:00:00,18,14,88,6.5,0.0,0.0,
Gurteen,1475,2018,1,26,22,26-jan-2018 22:00:00,18,12,89,7.1,0.0,0.0,
Gurteen,1475,2018,1,26,23,26-jan-2018 23:00:00,18,12,89,7.8,0.0,0.0,
Gurteen,1475,2018,1,27,0,27-jan-2018 00:00:00,19,12,89,8.2,0.0,0.0,
Gurteen,1475,2018,1,27,1,27-jan-2018 01:00:00,19,14,93,8.3,0.5,0.0,
Gurteen,1475,2018,1,27,2,27-jan-2018 02:00:00,18,9,94,8.4,0.5,0.0,
Gurteen,1475,2018,1,27,3,27-jan-2018 03:00:00,18,10,95,8.7,1.1,0.0,
Gurteen,1475,2018,1,27,4,27-jan-2018 04:00:00,19,10,95,9.1,0.8,0.0,
Gurteen,1475,2018,1,27,5,27-jan-2018 05:00:00,21,12,96,9.9,1.0,0.0,
Gurteen,1475,2018,1,27,6,27-jan-2018 06:00:00,22,12,97,10.6,1.5,0.0,
Gurteen,1475,2018,1,27,7,27-jan-2018 07:00:00,23,12,96,10.7,0.9,0.0,
Gurteen,1475,2018,1,27,8,27-jan-2018 08:00:00,23,12,96,10.9,0.0,0.4,
Gurteen,1475,2018,1,27,9,27-jan-2018 09:00:00,25,11,95,11.2,0.0,5.4,
Gurteen,1475,2018,1,27,10,27-jan-2018 10:00:00,25,14,94,11.4,0.0,13.5,
Gurteen,1475,2018,1,27,11,27-jan-2018 11:00:00,25,11,96,11.4,0.0,21.3,
Gurteen,1475,2018,1,27,12,27-jan-2018 12:00:00,24,13,95,11.5,0.1,25.1,
Gurteen,1475,2018,1,27,13,27-jan-2018 13:00:00,24,16,91,11.9,0.0,49.8,
Gurteen,1475,2018,1,27,14,27-jan-2018 14:00:00,24,17,89,12.1,0.0,31.4,
Gurteen,1475,2018,1,27,15,27-jan-2018 15:00:00,26,19,90,11.8,0.1,21.0,
Gurteen,1475,2018,1,27,16,27-jan-2018 16:00:00,27,19,84,10.7,0.1,15.4,
Gurteen,1475,2018,1,27,17,27-jan-2018 17:00:00,26,16,83,10.1,0.0,0.5,
Gurteen,1475,2018,1,27,18,27-jan-2018 18:00:00,25,15,83,9.9,0.0,0.0,
Gurteen,1475,2018,1,27,19,27-jan-2018 19:00:00,24,11,85,9.3,0.0,0.0,
Gurteen,1475,2018,1,27,20,27-jan-2018 20:00:00,23,11,86,9.1,0.0,0.0,
Gurteen,1475,2018,1,27,21,27-jan-2018 21:00:00,24,10,86,9.6,0.0,0.0,
Gurteen,1475,2018,1,27,22,27-jan-2018 22:00:00,23,10,89,9.5,0.0,0.0,
Gurteen,1475,2018,1,27,23,27-jan-2018 23:00:00,,,,,,,
This file contains PROVISIONAL hourly synoptic data and is subject to change once fully quality controlled. Contact keith.lambkin@met.ie for queries.
