station_name,station_no,year,month,day,hour,date,dir,speed,rh,temp,rainfall,solar,
GURTEEN,1475,2018,10,10,0,10-oct-2018 00:00:00,17,12,81,13.9,0.0,0.0,
GURTEEN,1475,2018,10,10,1,10-oct-2018 01:00:00,17,10,80,14.1,0.0,0.0,
GURTEEN,1475,2018,10,10,2,10-oct-2018 02:00:00,16,14,83,14.0,0.0,0.0,
GURTEEN,1475,2018,10,10,3,10-oct-2018 03:00:00,14,10,85,13.1,0.0,0.0,
GURTEEN,1475,2018,10,10,4,10-oct-2018 04:00:00,13,9,87,12.4,0.0,0.0,
GURTEEN,1475,2018,10,10,5,10-oct-2018 05:00:00,10,6,88,12.9,0.0,0.0,
GURTEEN,1475,2018,10,10,6,10-oct-2018 06:00:00,13,12,89,12.9,0.0,0.3,
GURTEEN,1475,2018,10,10,7,10-oct-2018 07:00:00,12,8,89,12.5,0.0,5.0,
GURTEEN,1475,2018,10,10,8,10-oct-2018 08:00:00,10,7,90,13.4,0.0,23.6,
GURTEEN,1475,2018,10,10,9,10-oct-2018 09:00:00,11,8,88,14.6,0.0,42.5,
GURTEEN,1475,2018,10,10,10,10-oct-2018 10:00:00,14,12,,16.2,0.0,129.8,
GURTEEN,1475,2018,10,10,11,10-oct-2018 11:00:00,14,16,,17.5,0.0,167.8,
GURTEEN,1475,2018,10,10,12,10-oct-2018 12:00:00,14,17,,18.5,0.0,181.1,
GURTEEN,1475,2018,10,10,13,10-oct-2018 13:00:00,14,18,,19.0,0.0,172.1,
GURTEEN,1475,2018,10,10,14,10-oct-2018 14:00:00,13,18,,19.0,0.0,133.8,
GURTEEN,1475,2018,10,10,15,10-oct-2018 15:00:00,13,19,,18.8,0.0,95.7,
GURTEEN,1475,2018,10,10,16,10-oct-2018 16:00:00,14,18,,18.2,0.0,52.4,
GURTEEN,1475,2018,10,10,17,10-oct-2018 17:00:00,14,17,,17.5,0.0,3.7,
GURTEEN,1475,2018,10,10,18,10-oct-2018 18:00:00,14,19,,17.1,0.0,0.0,
GURTEEN,1475,2018,10,10,19,10-oct-2018 19:00:00,13,14,,16.9,0.0,0.0,
GURTEEN,1475,2018,10,10,20,10-oct-2018 20:00:00,13,14,,16.0,0.2,0.0,
GURTEEN,1475,2018,10,10,21,10-oct-2018 21:00:00,14,17,,15.6,0.2,0.0,
GURTEEN,1475,2018,10,10,22,10-oct-2018 22:00:00,15,18,,15.8,0.2,0.0,
GURTEEN,1475,2018,10,10,23,10-oct-2018 23:00:00,15,17,,15.4,0.0,0.0,
GURTEEN,1475,2018,10,11,0,11-oct-2018 00:00:00,14,15,,14.8,0.0,0.0,
GURTEEN,1475,2018,10,11,1,11-oct-2018 01:00:00,15,15,85,14.4,0.0,0.0,
GURTEEN,1475,2018,10,11,2,11-oct-2018 02:00:00,15,13,86,14.3,0.0,0.0,
GURTEEN,1475,2018,10,11,3,11-oct-2018 03:00:00,13,12,86,14.1,0.0,0.0,
GURTEEN,1475,2018,10,11,4,11-oct-2018 04:00:00,13,11,86,14.3,0.0,0.0,
GURTEEN,1475,2018,10,11,5,11-oct-2018 05:00:00,14,13,84,14.4,0.0,0.0,
GURTEEN,1475,2018,10,11,6,11-oct-2018 06:00:00,15,14,86,13.9,0.0,0.0,
GURTEEN,1475,2018,10,11,7,11-oct-2018 07:00:00,20,8,81,12.0,0.1,3.9,
GURTEEN,1475,2018,10,11,8,11-oct-2018 08:00:00,19,5,87,11.9,0.0,8.6,
GURTEEN,1475,2018,10,11,9,11-oct-2018 09:00:00,19,4,88,11.1,0.5,15.6,
GURTEEN,1475,2018,10,11,10,11-oct-2018 10:00:00,17,7,,10.9,0.3,31.5,
GURTEEN,1475,2018,10,11,11,11-oct-2018 11:00:00,18,9,,11.6,0.1,32.3,
GURTEEN,1475,2018,10,11,12,11-oct-2018 12:00:00,20,6,,11.6,0.2,76.7,
GURTEEN,1475,2018,10,11,13,11-oct-2018 13:00:00,20,9,,13.0,0.0,137.7,
GURTEEN,1475,2018,10,11,14,11-oct-2018 14:00:00,20,9,,14.0,0.0,88.1,
GURTEEN,1475,2018,10,11,15,11-oct-2018 15:00:00,19,9,,14.1,0.0,98.4,
GURTEEN,1475,2018,10,11,16,11-oct-2018 16:00:00,17,6,,14.0,0.0,43.5,
GURTEEN,1475,2018,10,11,17,11-oct-2018 17:00:00,16,6,,12.4,0.0,6.4,
GURTEEN,1475,2018,10,11,18,11-oct-2018 18:00:00,16,11,,11.6,0.0,0.0,
GURTEEN,1475,2018,10,11,19,11-oct-2018 19:00:00,16,12,,10.7,0.0,0.0,
GURTEEN,1475,2018,10,11,20,11-oct-2018 20:00:00,15,12,,10.4,0.0,0.0,
GURTEEN,1475,2018,10,11,21,11-oct-2018 21:00:00,11,10,,9.9,0.0,0.0,
GURTEEN,1475,2018,10,11,22,11-oct-2018 22:00:00,12,13,,11.1,0.0,,
GURTEEN,1475,2018,10,11,23,11-oct-2018 23:00:00,,,,,,,
This file contains PROVISIONAL hourly synoptic data and is subject to change once fully quality controlled. Contact keith.lambkin@met.ie for queries.
