station_name,station_no,year,month,day,hour,date,dir,speed,rh,temp,rainfall,solar,
Gurteen,1475,2018,9,9,0,09-sep-2018 00:00:00,22,10,94,14.8,0.0,0.0,
Gurteen,1475,2018,9,9,1,09-sep-2018 01:00:00,25,12,93,14.8,0.0,0.0,
Gurteen,1475,2018,9,9,2,09-sep-2018 02:00:00,24,10,87,13.2,0.1,0.0,
Gurteen,1475,2018,9,9,3,09-sep-2018 03:00:00,24,9,90,12.5,0.0,0.0,
Gurteen,1475,2018,9,9,4,09-sep-2018 04:00:00,24,8,88,12.8,0.0,0.0,
Gurteen,1475,2018,9,9,5,09-sep-2018 05:00:00,21,11,92,12.3,0.0,0.0,
Gurteen,1475,2018,9,9,6,09-sep-2018 06:00:00,20,10,93,12.7,0.1,6.7,
Gurteen,1475,2018,9,9,7,09-sep-2018 07:00:00,23,9,86,13.3,0.0,44.9,
Gurteen,1475,2018,9,9,8,09-sep-2018 08:00:00,24,13,82,13.2,0.0,59.2,
Gurteen,1475,2018,9,9,9,09-sep-2018 09:00:00,23,12,83,13.2,0.0,141.1,
Gurteen,1475,2018,9,9,10,09-sep-2018 10:00:00,25,13,80,14.1,0.0,202.5,
Gurteen,1475,2018,9,9,11,09-sep-2018 11:00:00,25,15,71,15.6,0.0,182.8,
Gurteen,1475,2018,9,9,12,09-sep-2018 12:00:00,24,15,67,16.1,0.0,144.9,
Gurteen,1475,2018,9,9,13,09-sep-2018 13:00:00,24,17,63,15.1,0.0,159.2,
Gurteen,1475,2018,9,9,14,09-sep-2018 14:00:00,25,15,57,15.9,0.0,157.7,
Gurteen,1475,2018,9,9,15,09-sep-2018 15:00:00,25,12,60,16.4,0.0,76.3,
Gurteen,1475,2018,9,9,16,09-sep-2018 16:00:00,26,16,64,15.0,0.0,32.4,
Gurteen,1475,2018,9,9,17,09-sep-2018 17:00:00,28,14,82,13.0,0.0,53.8,
Gurteen,1475,2018,9,9,18,09-sep-2018 18:00:00,24,15,72,13.6,0.0,7.8,
Gurteen,1475,2018,9,9,19,09-sep-2018 19:00:00,25,11,77,12.6,0.0,0.1,
Gurteen,1475,2018,9,9,20,09-sep-2018 20:00:00,24,11,75,12.4,0.0,0.0,
Gurteen,1475,2018,9,9,21,09-sep-2018 21:00:00,24,12,68,12.9,0.0,0.0,
Gurteen,1475,2018,9,9,22,09-sep-2018 22:00:00,24,14,74,12.6,0.0,0.0,
Gurteen,1475,2018,9,9,23,09-sep-2018 23:00:00,24,10,79,12.2,0.0,0.0,
Gurteen,1475,2018,9,10,0,10-sep-2018 00:00:00,24,9,77,12.5,0.0,0.0,
Gurteen,1475,2018,9,10,1,10-sep-2018 01:00:00,24,9,77,12.5,0.0,0.0,
Gurteen,1475,2018,9,10,2,10-sep-2018 02:00:00,22,6,80,12.4,0.0,0.0,
Gurteen,1475,2018,9,10,3,10-sep-2018 03:00:00,20,8,83,11.1,0.0,0.0,
Gurteen,1475,2018,9,10,4,10-sep-2018 04:00:00,21,9,81,11.6,0.0,0.0,
Gurteen,1475,2018,9,10,5,10-sep-2018 05:00:00,21,10,82,11.6,0.0,0.0,
Gurteen,1475,2018,9,10,6,10-sep-2018 06:00:00,21,8,84,11.7,0.0,2.8,
Gurteen,1475,2018,9,10,7,10-sep-2018 07:00:00,21,8,80,12.2,0.0,12.9,
Gurteen,1475,2018,9,10,8,10-sep-2018 08:00:00,20,12,77,13.0,0.0,34.7,
Gurteen,1475,2018,9,10,9,10-sep-2018 09:00:00,22,9,77,13.6,0.0,73.3,
Gurteen,1475,2018,9,10,10,10-sep-2018 10:00:00,20,11,76,14.5,0.0,83.0,
Gurteen,1475,2018,9,10,11,10-sep-2018 11:00:00,20,10,76,14.7,0.0,55.8,
Gurteen,1475,2018,9,10,12,10-sep-2018 12:00:00,18,9,94,13.1,0.8,57.3,
Gurteen,1475,2018,9,10,13,10-sep-2018 13:00:00,18,9,94,13.7,1.1,47.9,
Gurteen,1475,2018,9,10,14,10-sep-2018 14:00:00,17,11,92,14.2,0.2,39.7,
Gurteen,1475,2018,9,10,15,10-sep-2018 15:00:00,19,15,92,14.8,0.1,41.8,
Gurteen,1475,2018,9,10,16,10-sep-2018 16:00:00,19,11,94,15.3,0.3,32.2,
Gurteen,1475,2018,9,10,17,10-sep-2018 17:00:00,19,11,94,15.7,0.0,9.8,
Gurteen,1475,2018,9,10,18,10-sep-2018 18:00:00,20,11,96,16.0,0.5,1.8,
Gurteen,1475,2018,9,10,19,10-sep-2018 19:00:00,21,12,96,16.1,0.4,0.0,
Gurteen,1475,2018,9,10,20,10-sep-2018 20:00:00,22,8,97,16.1,0.8,0.0,
Gurteen,1475,2018,9,10,21,10-sep-2018 21:00:00,26,12,94,15.3,1.6,0.0,
Gurteen,1475,2018,9,10,22,10-sep-2018 22:00:00,25,10,90,14.5,0.0,,
Gurteen,1475,2018,9,10,23,10-sep-2018 23:00:00,,,,,,,
This file contains PROVISIONAL hourly synoptic data and is subject to change once fully quality controlled. Contact keith.lambkin@met.ie for queries.
