station_name,station_no,year,month,day,hour,date,dir,speed,rh,temp,rainfall,solar,
GURTEEN,1475,2019,4,1,0,01-apr-2019 00:00:00,14,3,88,4.9,0.0,0.0,
GURTEEN,1475,2019,4,1,1,01-apr-2019 01:00:00,16,3,89,2.7,0.0,0.0,
GURTEEN,1475,2019,4,1,2,01-apr-2019 02:00:00,16,4,92,2.3,0.0,0.0,
GURTEEN,1475,2019,4,1,3,01-apr-2019 03:00:00,20,3,92,1.9,0.0,0.0,
GURTEEN,1475,2019,4,1,4,01-apr-2019 04:00:00,17,2,95,3.6,0.0,0.0,
GURTEEN,1475,2019,4,1,5,01-apr-2019 05:00:00,11,2,94,4.6,0.0,0.0,
GURTEEN,1475,2019,4,1,6,01-apr-2019 06:00:00,17,6,93,5.7,0.0,4.2,
GURTEEN,1475,2019,4,1,7,01-apr-2019 07:00:00,18,7,91,6.5,0.0,17.2,
GURTEEN,1475,2019,4,1,8,01-apr-2019 08:00:00,19,6,91,6.7,0.0,44.7,
GURTEEN,1475,2019,4,1,9,01-apr-2019 09:00:00,20,8,88,8.0,0.0,80.1,
GURTEEN,1475,2019,4,1,10,01-apr-2019 10:00:00,23,9,84,8.7,0.0,112.6,
GURTEEN,1475,2019,4,1,11,01-apr-2019 11:00:00,24,10,78,10.1,0.0,155.3,
GURTEEN,1475,2019,4,1,12,01-apr-2019 12:00:00,25,9,75,10.7,0.0,222.1,
GURTEEN,1475,2019,4,1,13,01-apr-2019 13:00:00,22,10,67,11.2,0.0,107.4,
GURTEEN,1475,2019,4,1,14,01-apr-2019 14:00:00,24,9,69,10.4,0.0,106.0,
GURTEEN,1475,2019,4,1,15,01-apr-2019 15:00:00,23,10,71,10.3,0.0,74.3,
GURTEEN,1475,2019,4,1,16,01-apr-2019 16:00:00,25,10,66,10.2,0.0,61.2,
GURTEEN,1475,2019,4,1,17,01-apr-2019 17:00:00,27,11,69,9.2,0.0,13.1,
GURTEEN,1475,2019,4,1,18,01-apr-2019 18:00:00,26,6,83,7.1,0.1,4.9,
GURTEEN,1475,2019,4,1,19,01-apr-2019 19:00:00,22,7,84,7.0,0.2,0.0,
GURTEEN,1475,2019,4,1,20,01-apr-2019 20:00:00,24,11,86,6.7,0.0,0.0,
GURTEEN,1475,2019,4,1,21,01-apr-2019 21:00:00,28,11,87,6.0,0.1,0.0,
GURTEEN,1475,2019,4,1,22,01-apr-2019 22:00:00,29,8,89,4.9,0.0,0.0,
GURTEEN,1475,2019,4,1,23,01-apr-2019 23:00:00,28,6,91,3.4,0.0,0.0,
GURTEEN,1475,2019,4,2,0,02-apr-2019 00:00:00,26,4,92,2.1,0.0,0.0,
GURTEEN,1475,2019,4,2,1,02-apr-2019 01:00:00,25,7,92,2.4,0.0,0.0,
GURTEEN,1475,2019,4,2,2,02-apr-2019 02:00:00,25,7,93,1.7,0.0,0.0,
GURTEEN,1475,2019,4,2,3,02-apr-2019 03:00:00,23,7,93,1.3,0.0,0.0,
GURTEEN,1475,2019,4,2,4,02-apr-2019 04:00:00,23,7,92,1.8,0.0,0.0,
GURTEEN,1475,2019,4,2,5,02-apr-2019 05:00:00,22,5,94,1.0,0.0,0.0,
GURTEEN,1475,2019,4,2,6,02-apr-2019 06:00:00,23,8,93,1.9,0.0,16.1,
GURTEEN,1475,2019,4,2,7,02-apr-2019 07:00:00,24,8,93,2.6,0.0,46.9,
GURTEEN,1475,2019,4,2,8,02-apr-2019 08:00:00,26,9,90,4.0,0.0,103.2,
GURTEEN,1475,2019,4,2,9,02-apr-2019 09:00:00,27,12,81,4.9,0.0,116.7,
GURTEEN,1475,2019,4,2,10,02-apr-2019 10:00:00,29,10,,6.1,0.1,113.3,
GURTEEN,1475,2019,4,2,11,02-apr-2019 11:00:00,29,11,,3.3,0.3,187.4,
GURTEEN,1475,2019,4,2,12,02-apr-2019 12:00:00,29,10,,5.2,0.0,89.4,
GURTEEN,1475,2019,4,2,13,02-apr-2019 13:00:00,30,16,,3.7,1.1,174.3,
GURTEEN,1475,2019,4,2,14,02-apr-2019 14:00:00,32,13,,5.7,0.0,146.0,
GURTEEN,1475,2019,4,2,15,02-apr-2019 15:00:00,28,15,,5.8,0.0,148.7,
GURTEEN,1475,2019,4,2,16,02-apr-2019 16:00:00,32,11,,5.7,0.0,84.2,
GURTEEN,1475,2019,4,2,17,02-apr-2019 17:00:00,29,16,,5.1,0.0,33.9,
GURTEEN,1475,2019,4,2,18,02-apr-2019 18:00:00,30,12,,3.3,0.2,8.9,
GURTEEN,1475,2019,4,2,19,02-apr-2019 19:00:00,28,9,,3.2,0.0,0.1,
GURTEEN,1475,2019,4,2,20,02-apr-2019 20:00:00,29,11,,3.0,0.0,0.0,
GURTEEN,1475,2019,4,2,21,02-apr-2019 21:00:00,31,15,,3.4,0.0,0.0,
GURTEEN,1475,2019,4,2,22,02-apr-2019 22:00:00,32,13,,3.3,0.0,,
GURTEEN,1475,2019,4,2,23,02-apr-2019 23:00:00,,,,,,,
This file contains PROVISIONAL hourly synoptic data and is subject to change once fully quality controlled. Contact keith.lambkin@met.ie for queries.
