station_name,station_no,year,month,day,hour,date,dir,speed,rh,temp,rainfall,solar,
GURTEEN,1475,2019,2,17,0,17-feb-2019 00:00:00,16,17,85,11.0,0.0,0.0,
GURTEEN,1475,2019,2,17,1,17-feb-2019 01:00:00,16,18,86,10.8,0.0,0.0,
GURTEEN,1475,2019,2,17,2,17-feb-2019 02:00:00,17,19,88,10.6,0.1,0.0,
GURTEEN,1475,2019,2,17,3,17-feb-2019 03:00:00,17,18,92,9.8,2.6,0.0,
GURTEEN,1475,2019,2,17,4,17-feb-2019 04:00:00,16,14,89,9.5,0.4,0.0,
GURTEEN,1475,2019,2,17,5,17-feb-2019 05:00:00,16,14,89,8.9,0.0,0.0,
GURTEEN,1475,2019,2,17,6,17-feb-2019 06:00:00,17,12,90,8.4,0.0,0.0,
GURTEEN,1475,2019,2,17,7,17-feb-2019 07:00:00,18,13,90,8.4,0.0,0.3,
GURTEEN,1475,2019,2,17,8,17-feb-2019 08:00:00,19,11,84,8.8,0.0,10.9,
GURTEEN,1475,2019,2,17,9,17-feb-2019 09:00:00,20,11,80,7.8,0.1,60.2,
GURTEEN,1475,2019,2,17,10,17-feb-2019 10:00:00,19,13,78,8.9,0.0,109.8,
GURTEEN,1475,2019,2,17,11,17-feb-2019 11:00:00,19,18,72,9.6,0.0,139.5,
GURTEEN,1475,2019,2,17,12,17-feb-2019 12:00:00,19,20,67,10.3,0.0,144.2,
GURTEEN,1475,2019,2,17,13,17-feb-2019 13:00:00,19,18,62,10.7,0.0,96.7,
GURTEEN,1475,2019,2,17,14,17-feb-2019 14:00:00,18,17,70,9.6,0.0,41.5,
GURTEEN,1475,2019,2,17,15,17-feb-2019 15:00:00,17,15,81,9.0,0.0,46.5,
GURTEEN,1475,2019,2,17,16,17-feb-2019 16:00:00,20,17,75,9.9,0.0,44.0,
GURTEEN,1475,2019,2,17,17,17-feb-2019 17:00:00,19,17,77,9.1,0.0,8.1,
GURTEEN,1475,2019,2,17,18,17-feb-2019 18:00:00,19,12,80,7.9,0.0,0.0,
GURTEEN,1475,2019,2,17,19,17-feb-2019 19:00:00,18,14,79,7.5,0.0,0.0,
GURTEEN,1475,2019,2,17,20,17-feb-2019 20:00:00,19,17,79,7.8,0.0,0.0,
GURTEEN,1475,2019,2,17,21,17-feb-2019 21:00:00,20,14,78,7.6,0.0,0.0,
GURTEEN,1475,2019,2,17,22,17-feb-2019 22:00:00,20,11,81,6.6,0.0,0.0,
GURTEEN,1475,2019,2,17,23,17-feb-2019 23:00:00,21,14,76,7.4,0.0,0.0,
GURTEEN,1475,2019,2,18,0,18-feb-2019 00:00:00,20,14,84,6.7,0.0,0.0,
GURTEEN,1475,2019,2,18,1,18-feb-2019 01:00:00,20,11,86,5.7,0.0,0.0,
GURTEEN,1475,2019,2,18,2,18-feb-2019 02:00:00,21,12,85,5.9,0.0,0.0,
GURTEEN,1475,2019,2,18,3,18-feb-2019 03:00:00,20,11,87,5.2,0.0,0.0,
GURTEEN,1475,2019,2,18,4,18-feb-2019 04:00:00,20,13,83,5.1,0.0,0.0,
GURTEEN,1475,2019,2,18,5,18-feb-2019 05:00:00,20,13,79,5.3,0.0,0.0,
GURTEEN,1475,2019,2,18,6,18-feb-2019 06:00:00,20,15,78,5.4,0.0,0.0,
GURTEEN,1475,2019,2,18,7,18-feb-2019 07:00:00,21,15,80,5.8,0.0,1.0,
GURTEEN,1475,2019,2,18,8,18-feb-2019 08:00:00,21,14,89,5.2,0.0,9.3,
GURTEEN,1475,2019,2,18,9,18-feb-2019 09:00:00,21,13,90,5.3,0.0,22.4,
GURTEEN,1475,2019,2,18,10,18-feb-2019 10:00:00,22,13,93,5.6,0.4,34.5,
GURTEEN,1475,2019,2,18,11,18-feb-2019 11:00:00,22,11,93,6.3,2.4,25.9,
GURTEEN,1475,2019,2,18,12,18-feb-2019 12:00:00,23,10,92,6.8,3.4,147.1,
GURTEEN,1475,2019,2,18,13,18-feb-2019 13:00:00,22,14,85,9.0,0.0,131.7,
GURTEEN,1475,2019,2,18,14,18-feb-2019 14:00:00,23,14,85,8.4,0.5,80.9,
GURTEEN,1475,2019,2,18,15,18-feb-2019 15:00:00,25,16,82,8.7,0.0,85.5,
GURTEEN,1475,2019,2,18,16,18-feb-2019 16:00:00,25,13,83,8.6,0.1,24.5,
GURTEEN,1475,2019,2,18,17,18-feb-2019 17:00:00,25,12,85,8.2,0.0,7.8,
GURTEEN,1475,2019,2,18,18,18-feb-2019 18:00:00,24,12,85,7.7,0.0,0.0,
GURTEEN,1475,2019,2,18,19,18-feb-2019 19:00:00,24,8,89,7.0,0.0,0.0,
GURTEEN,1475,2019,2,18,20,18-feb-2019 20:00:00,23,10,92,6.9,0.1,0.0,
GURTEEN,1475,2019,2,18,21,18-feb-2019 21:00:00,23,9,91,6.4,0.0,0.0,
GURTEEN,1475,2019,2,18,22,18-feb-2019 22:00:00,21,5,92,4.7,0.0,0.0,
GURTEEN,1475,2019,2,18,23,18-feb-2019 23:00:00,,,,,,,
This file contains PROVISIONAL hourly synoptic data and is subject to change once fully quality controlled. Contact keith.lambkin@met.ie for queries.
