station_name,station_no,year,month,day,hour,date,dir,speed,rh,temp,rainfall,solar,
GURTEEN,1475,2019,3,9,0,09-mar-2019 00:00:00,23,8,82,6.0,0.0,0.0,
GURTEEN,1475,2019,3,9,1,09-mar-2019 01:00:00,20,8,86,5.6,0.0,0.0,
GURTEEN,1475,2019,3,9,2,09-mar-2019 02:00:00,20,12,84,6.1,0.0,0.0,
GURTEEN,1475,2019,3,9,3,09-mar-2019 03:00:00,22,13,84,6.8,0.0,0.0,
GURTEEN,1475,2019,3,9,4,09-mar-2019 04:00:00,22,12,88,6.8,0.2,0.0,
GURTEEN,1475,2019,3,9,5,09-mar-2019 05:00:00,26,28,91,6.5,1.0,0.0,
GURTEEN,1475,2019,3,9,6,09-mar-2019 06:00:00,25,13,93,6.1,0.3,0.0,
GURTEEN,1475,2019,3,9,7,09-mar-2019 07:00:00,26,26,79,6.2,0.0,12.7,
GURTEEN,1475,2019,3,9,8,09-mar-2019 08:00:00,26,20,70,6.2,0.0,48.7,
GURTEEN,1475,2019,3,9,9,09-mar-2019 09:00:00,27,20,66,7.1,0.0,65.6,
GURTEEN,1475,2019,3,9,10,09-mar-2019 10:00:00,26,22,70,7.4,0.0,137.9,
GURTEEN,1475,2019,3,9,11,09-mar-2019 11:00:00,27,24,61,8.0,0.0,158.3,
GURTEEN,1475,2019,3,9,12,09-mar-2019 12:00:00,28,19,67,7.6,0.0,88.2,
GURTEEN,1475,2019,3,9,13,09-mar-2019 13:00:00,26,13,73,7.0,0.0,87.5,
GURTEEN,1475,2019,3,9,14,09-mar-2019 14:00:00,26,13,71,7.7,0.0,66.8,
GURTEEN,1475,2019,3,9,15,09-mar-2019 15:00:00,26,12,64,7.8,0.0,66.1,
GURTEEN,1475,2019,3,9,16,09-mar-2019 16:00:00,24,12,64,7.6,0.0,24.4,
GURTEEN,1475,2019,3,9,17,09-mar-2019 17:00:00,23,5,72,7.1,0.0,4.5,
GURTEEN,1475,2019,3,9,18,09-mar-2019 18:00:00,23,6,74,6.7,0.0,0.2,
GURTEEN,1475,2019,3,9,19,09-mar-2019 19:00:00,23,7,75,5.7,0.1,0.0,
GURTEEN,1475,2019,3,9,20,09-mar-2019 20:00:00,3,2,82,4.7,0.3,0.0,
GURTEEN,1475,2019,3,9,21,09-mar-2019 21:00:00,11,5,88,4.2,0.4,0.0,
GURTEEN,1475,2019,3,9,22,09-mar-2019 22:00:00,12,7,90,4.0,1.0,0.0,
GURTEEN,1475,2019,3,9,23,09-mar-2019 23:00:00,7,6,92,3.1,2.0,0.0,
GURTEEN,1475,2019,3,10,0,10-mar-2019 00:00:00,4,7,94,2.7,2.9,0.0,
GURTEEN,1475,2019,3,10,1,10-mar-2019 01:00:00,7,7,95,2.3,3.8,0.0,
GURTEEN,1475,2019,3,10,2,10-mar-2019 02:00:00,24,1,95,2.3,0.4,0.0,
GURTEEN,1475,2019,3,10,3,10-mar-2019 03:00:00,28,6,96,2.3,0.2,0.0,
GURTEEN,1475,2019,3,10,4,10-mar-2019 04:00:00,22,9,96,1.8,0.0,0.0,
GURTEEN,1475,2019,3,10,5,10-mar-2019 05:00:00,24,16,94,3.0,0.4,0.0,
GURTEEN,1475,2019,3,10,6,10-mar-2019 06:00:00,28,14,92,3.8,0.4,0.1,
GURTEEN,1475,2019,3,10,7,10-mar-2019 07:00:00,27,15,88,3.1,0.4,6.3,
GURTEEN,1475,2019,3,10,8,10-mar-2019 08:00:00,25,18,,2.8,0.2,30.5,
GURTEEN,1475,2019,3,10,9,10-mar-2019 09:00:00,27,20,,2.9,0.0,83.8,
GURTEEN,1475,2019,3,10,10,10-mar-2019 10:00:00,26,14,,4.5,0.0,92.4,
GURTEEN,1475,2019,3,10,11,10-mar-2019 11:00:00,26,18,,5.3,0.6,93.5,
GURTEEN,1475,2019,3,10,12,10-mar-2019 12:00:00,26,19,,,0.0,152.1,
GURTEEN,1475,2019,3,10,13,10-mar-2019 13:00:00,25,19,,5.2,0.6,133.3,
GURTEEN,1475,2019,3,10,14,10-mar-2019 14:00:00,26,15,,5.3,0.0,113.3,
GURTEEN,1475,2019,3,10,15,10-mar-2019 15:00:00,27,20,,5.4,0.2,73.1,
GURTEEN,1475,2019,3,10,16,10-mar-2019 16:00:00,29,18,,1.3,0.0,73.1,
GURTEEN,1475,2019,3,10,17,10-mar-2019 17:00:00,27,20,,2.4,1.4,26.5,
GURTEEN,1475,2019,3,10,18,10-mar-2019 18:00:00,26,16,,2.5,0.0,1.4,
GURTEEN,1475,2019,3,10,19,10-mar-2019 19:00:00,25,16,,3.0,0.0,0.0,
GURTEEN,1475,2019,3,10,20,10-mar-2019 20:00:00,27,12,,2.2,0.2,0.0,
GURTEEN,1475,2019,3,10,21,10-mar-2019 21:00:00,26,11,,1.9,0.2,0.0,
GURTEEN,1475,2019,3,10,22,10-mar-2019 22:00:00,26,8,,2.0,0.0,,
GURTEEN,1475,2019,3,10,23,10-mar-2019 23:00:00,,,,,,,
This file contains PROVISIONAL hourly synoptic data and is subject to change once fully quality controlled. Contact keith.lambkin@met.ie for queries.
