station_name,station_no,year,month,day,hour,date,dir,speed,rh,temp,rainfall,solar,
JohnstownII,1775,2017,7,4,0,04-jul-2017 00:00:00,23,9,96,14.8,0.0,0.0,
JohnstownII,1775,2017,7,4,1,04-jul-2017 01:00:00,23,8,96,14.9,0.0,0.0,
JohnstownII,1775,2017,7,4,2,04-jul-2017 02:00:00,22,7,96,14.8,0.0,0.0,
JohnstownII,1775,2017,7,4,3,04-jul-2017 03:00:00,23,8,96,14.6,0.0,0.0,
JohnstownII,1775,2017,7,4,4,04-jul-2017 04:00:00,22,9,96,14.6,0.0,1.6,
JohnstownII,1775,2017,7,4,5,04-jul-2017 05:00:00,22,9,96,14.7,0.0,11.8,
JohnstownII,1775,2017,7,4,6,04-jul-2017 06:00:00,22,9,95,14.8,0.0,41.0,
JohnstownII,1775,2017,7,4,7,04-jul-2017 07:00:00,23,10,92,15.4,0.0,76.4,
JohnstownII,1775,2017,7,4,8,04-jul-2017 08:00:00,22,11,90,15.7,0.0,79.9,
JohnstownII,1775,2017,7,4,9,04-jul-2017 09:00:00,23,9,90,15.8,0.0,100.5,
JohnstownII,1775,2017,7,4,10,04-jul-2017 10:00:00,22,11,88,16.1,0.0,240.7,
JohnstownII,1775,2017,7,4,11,04-jul-2017 11:00:00,23,12,78,17.4,0.0,294.5,
JohnstownII,1775,2017,7,4,12,04-jul-2017 12:00:00,23,14,80,17.5,0.0,294.5,
JohnstownII,1775,2017,7,4,13,04-jul-2017 13:00:00,23,14,81,17.4,0.0,277.5,
JohnstownII,1775,2017,7,4,14,04-jul-2017 14:00:00,23,13,82,17.3,0.0,252.2,
JohnstownII,1775,2017,7,4,15,04-jul-2017 15:00:00,24,13,80,18.0,0.0,238.5,
JohnstownII,1775,2017,7,4,16,04-jul-2017 16:00:00,23,10,83,17.8,0.0,178.9,
JohnstownII,1775,2017,7,4,17,04-jul-2017 17:00:00,22,10,85,17.4,0.0,107.0,
JohnstownII,1775,2017,7,4,18,04-jul-2017 18:00:00,23,10,85,17.5,0.0,91.3,
JohnstownII,1775,2017,7,4,19,04-jul-2017 19:00:00,23,9,88,16.4,0.0,34.6,
JohnstownII,1775,2017,7,4,20,04-jul-2017 20:00:00,23,7,92,15.7,0.0,4.7,
JohnstownII,1775,2017,7,4,21,04-jul-2017 21:00:00,22,8,96,14.6,0.0,0.0,
JohnstownII,1775,2017,7,4,22,04-jul-2017 22:00:00,24,7,97,14.7,0.0,0.0,
JohnstownII,1775,2017,7,4,23,04-jul-2017 23:00:00,25,7,96,15.1,0.0,0.0,
JohnstownII,1775,2017,7,5,0,05-jul-2017 00:00:00,27,4,96,14.7,0.0,0.0,
JohnstownII,1775,2017,7,5,1,05-jul-2017 01:00:00,32,5,93,14.6,0.0,0.0,
JohnstownII,1775,2017,7,5,2,05-jul-2017 02:00:00,30,4,90,14.4,0.0,0.0,
JohnstownII,1775,2017,7,5,3,05-jul-2017 03:00:00,32,4,91,13.8,0.0,0.0,
JohnstownII,1775,2017,7,5,4,05-jul-2017 04:00:00,33,4,92,14.0,0.0,6.1,
JohnstownII,1775,2017,7,5,5,05-jul-2017 05:00:00,36,3,94,13.8,0.0,23.6,
JohnstownII,1775,2017,7,5,6,05-jul-2017 06:00:00,4,4,95,14.6,0.0,49.3,
JohnstownII,1775,2017,7,5,7,05-jul-2017 07:00:00,6,3,94,14.7,0.0,0.9,
JohnstownII,1775,2017,7,5,8,05-jul-2017 08:00:00,,,,,,,
JohnstownII,1775,2017,7,5,9,05-jul-2017 09:00:00,,,,,,,
JohnstownII,1775,2017,7,5,10,05-jul-2017 10:00:00,,,,,,,
JohnstownII,1775,2017,7,5,11,05-jul-2017 11:00:00,,,,,,,
JohnstownII,1775,2017,7,5,12,05-jul-2017 12:00:00,,,,,,,
JohnstownII,1775,2017,7,5,13,05-jul-2017 13:00:00,,,,,,,
JohnstownII,1775,2017,7,5,14,05-jul-2017 14:00:00,,,,,,,
JohnstownII,1775,2017,7,5,15,05-jul-2017 15:00:00,,,,,,,
JohnstownII,1775,2017,7,5,16,05-jul-2017 16:00:00,,,,,,,
JohnstownII,1775,2017,7,5,17,05-jul-2017 17:00:00,,,,,,,
JohnstownII,1775,2017,7,5,18,05-jul-2017 18:00:00,,,,,,,
JohnstownII,1775,2017,7,5,19,05-jul-2017 19:00:00,,,,,,,
JohnstownII,1775,2017,7,5,20,05-jul-2017 20:00:00,,,,,,,
JohnstownII,1775,2017,7,5,21,05-jul-2017 21:00:00,,,,,,,
JohnstownII,1775,2017,7,5,22,05-jul-2017 22:00:00,,,,,,,
JohnstownII,1775,2017,7,5,23,05-jul-2017 23:00:00,,,,,,,
This file contains PROVISIONAL hourly synoptic data and is subject to change once fully quality controlled. Contact keith.lambkin@met.ie for queries.
