station_name,station_no,year,month,day,hour,date,dir,speed,rh,temp,rainfall,solar,
JohnstownII,1775,2017,11,28,0,28-nov-2017 00:00:00,31,14,82,5.4,0.0,0.0,
JohnstownII,1775,2017,11,28,1,28-nov-2017 01:00:00,31,11,84,4.9,0.0,0.0,
JohnstownII,1775,2017,11,28,2,28-nov-2017 02:00:00,31,11,85,4.6,0.0,0.0,
JohnstownII,1775,2017,11,28,3,28-nov-2017 03:00:00,32,8,86,4.1,0.0,0.0,
JohnstownII,1775,2017,11,28,4,28-nov-2017 04:00:00,32,5,85,3.6,0.0,0.0,
JohnstownII,1775,2017,11,28,5,28-nov-2017 05:00:00,31,8,86,3.2,0.0,0.0,
JohnstownII,1775,2017,11,28,6,28-nov-2017 06:00:00,30,10,87,3.1,0.0,0.0,
JohnstownII,1775,2017,11,28,7,28-nov-2017 07:00:00,30,10,86,2.9,0.0,0.0,
JohnstownII,1775,2017,11,28,8,28-nov-2017 08:00:00,31,10,85,2.7,0.0,8.6,
JohnstownII,1775,2017,11,28,9,28-nov-2017 09:00:00,30,12,84,3.0,0.0,39.7,
JohnstownII,1775,2017,11,28,10,28-nov-2017 10:00:00,31,8,83,3.7,0.0,71.0,
JohnstownII,1775,2017,11,28,11,28-nov-2017 11:00:00,31,13,79,5.0,0.0,86.8,
JohnstownII,1775,2017,11,28,12,28-nov-2017 12:00:00,31,16,76,5.9,0.0,87.4,
JohnstownII,1775,2017,11,28,13,28-nov-2017 13:00:00,34,17,72,6.2,0.0,73.1,
JohnstownII,1775,2017,11,28,14,28-nov-2017 14:00:00,32,17,73,6.2,0.0,52.3,
JohnstownII,1775,2017,11,28,15,28-nov-2017 15:00:00,33,12,73,6.0,0.0,18.8,
JohnstownII,1775,2017,11,28,16,28-nov-2017 16:00:00,32,13,76,5.2,0.0,1.2,
JohnstownII,1775,2017,11,28,17,28-nov-2017 17:00:00,33,10,77,4.8,0.0,0.0,
JohnstownII,1775,2017,11,28,18,28-nov-2017 18:00:00,32,8,80,4.1,0.0,0.0,
JohnstownII,1775,2017,11,28,19,28-nov-2017 19:00:00,33,10,79,3.9,0.0,0.0,
JohnstownII,1775,2017,11,28,20,28-nov-2017 20:00:00,33,11,79,3.5,0.0,0.0,
JohnstownII,1775,2017,11,28,21,28-nov-2017 21:00:00,33,12,82,3.5,0.0,0.0,
JohnstownII,1775,2017,11,28,22,28-nov-2017 22:00:00,33,12,86,2.9,0.0,0.0,
JohnstownII,1775,2017,11,28,23,28-nov-2017 23:00:00,34,13,86,3.2,0.0,0.0,
JohnstownII,1775,2017,11,29,0,29-nov-2017 00:00:00,34,11,88,2.9,0.0,0.0,
JohnstownII,1775,2017,11,29,1,29-nov-2017 01:00:00,35,10,88,2.4,0.0,0.0,
JohnstownII,1775,2017,11,29,2,29-nov-2017 02:00:00,34,9,88,2.1,0.0,0.0,
JohnstownII,1775,2017,11,29,3,29-nov-2017 03:00:00,33,13,87,2.4,0.0,0.0,
JohnstownII,1775,2017,11,29,4,29-nov-2017 04:00:00,33,11,86,2.2,0.1,0.0,
JohnstownII,1775,2017,11,29,5,29-nov-2017 05:00:00,33,13,87,2.0,0.0,0.0,
JohnstownII,1775,2017,11,29,6,29-nov-2017 06:00:00,33,14,86,2.0,0.0,0.0,
JohnstownII,1775,2017,11,29,7,29-nov-2017 07:00:00,33,15,86,2.0,0.0,0.0,
JohnstownII,1775,2017,11,29,8,29-nov-2017 08:00:00,34,11,86,1.8,0.0,8.1,
JohnstownII,1775,2017,11,29,9,29-nov-2017 09:00:00,34,12,86,2.1,0.0,38.9,
JohnstownII,1775,2017,11,29,10,29-nov-2017 10:00:00,34,12,84,2.8,0.0,70.6,
JohnstownII,1775,2017,11,29,11,29-nov-2017 11:00:00,33,13,82,3.5,0.0,88.5,
JohnstownII,1775,2017,11,29,12,29-nov-2017 12:00:00,33,15,78,4.1,0.0,90.7,
JohnstownII,1775,2017,11,29,13,29-nov-2017 13:00:00,33,11,79,4.4,0.0,73.8,
JohnstownII,1775,2017,11,29,14,29-nov-2017 14:00:00,33,11,75,4.5,0.0,52.6,
JohnstownII,1775,2017,11,29,15,29-nov-2017 15:00:00,34,13,75,4.2,0.0,21.3,
JohnstownII,1775,2017,11,29,16,29-nov-2017 16:00:00,33,10,77,3.7,0.0,0.9,
JohnstownII,1775,2017,11,29,17,29-nov-2017 17:00:00,33,10,80,2.8,0.0,0.0,
JohnstownII,1775,2017,11,29,18,29-nov-2017 18:00:00,33,9,82,2.3,0.0,0.0,
JohnstownII,1775,2017,11,29,19,29-nov-2017 19:00:00,33,10,83,2.2,0.0,0.0,
JohnstownII,1775,2017,11,29,20,29-nov-2017 20:00:00,33,11,83,1.9,0.0,0.0,
JohnstownII,1775,2017,11,29,21,29-nov-2017 21:00:00,33,9,84,1.5,0.0,0.0,
JohnstownII,1775,2017,11,29,22,29-nov-2017 22:00:00,32,8,83,1.4,0.0,0.0,
JohnstownII,1775,2017,11,29,23,29-nov-2017 23:00:00,,,,,,,
This file contains PROVISIONAL hourly synoptic data and is subject to change once fully quality controlled. Contact keith.lambkin@met.ie for queries.
