station_name,station_no,year,month,day,hour,date,dir,speed,rh,temp,rainfall,solar,
JohnstownII,1775,2017,10,2,0,02-oct-2017 00:00:00,24,10,80,12.8,0.0,0.0,
JohnstownII,1775,2017,10,2,1,02-oct-2017 01:00:00,26,12,73,12.7,0.0,0.0,
JohnstownII,1775,2017,10,2,2,02-oct-2017 02:00:00,25,11,73,12.4,0.0,0.0,
JohnstownII,1775,2017,10,2,3,02-oct-2017 03:00:00,25,11,75,12.1,0.0,0.0,
JohnstownII,1775,2017,10,2,4,02-oct-2017 04:00:00,23,7,75,12.0,0.0,0.0,
JohnstownII,1775,2017,10,2,5,02-oct-2017 05:00:00,25,10,76,11.8,0.0,0.0,
JohnstownII,1775,2017,10,2,6,02-oct-2017 06:00:00,25,9,73,11.5,0.0,3.5,
JohnstownII,1775,2017,10,2,7,02-oct-2017 07:00:00,22,7,73,11.1,0.0,26.9,
JohnstownII,1775,2017,10,2,8,02-oct-2017 08:00:00,27,10,71,12.2,0.0,25.9,
JohnstownII,1775,2017,10,2,9,02-oct-2017 09:00:00,27,13,71,12.2,0.0,41.7,
JohnstownII,1775,2017,10,2,10,02-oct-2017 10:00:00,27,15,75,12.2,0.0,46.0,
JohnstownII,1775,2017,10,2,11,02-oct-2017 11:00:00,25,10,79,12.4,0.0,62.2,
JohnstownII,1775,2017,10,2,12,02-oct-2017 12:00:00,24,13,79,12.6,0.0,82.9,
JohnstownII,1775,2017,10,2,13,02-oct-2017 13:00:00,26,12,75,13.3,0.0,76.3,
JohnstownII,1775,2017,10,2,14,02-oct-2017 14:00:00,25,11,71,13.2,0.0,77.5,
JohnstownII,1775,2017,10,2,15,02-oct-2017 15:00:00,26,11,67,13.5,0.0,52.1,
JohnstownII,1775,2017,10,2,16,02-oct-2017 16:00:00,23,9,75,13.2,0.0,61.2,
JohnstownII,1775,2017,10,2,17,02-oct-2017 17:00:00,27,11,69,13.0,0.0,13.6,
JohnstownII,1775,2017,10,2,18,02-oct-2017 18:00:00,27,5,72,11.7,0.0,0.1,
JohnstownII,1775,2017,10,2,19,02-oct-2017 19:00:00,29,12,72,11.3,0.0,0.0,
JohnstownII,1775,2017,10,2,20,02-oct-2017 20:00:00,28,9,76,10.4,0.0,0.0,
JohnstownII,1775,2017,10,2,21,02-oct-2017 21:00:00,21,5,86,8.5,0.0,0.0,
JohnstownII,1775,2017,10,2,22,02-oct-2017 22:00:00,26,4,79,9.2,0.0,0.0,
JohnstownII,1775,2017,10,2,23,02-oct-2017 23:00:00,18,7,88,7.6,0.0,0.0,
JohnstownII,1775,2017,10,3,0,03-oct-2017 00:00:00,25,9,88,7.1,0.0,0.0,
JohnstownII,1775,2017,10,3,1,03-oct-2017 01:00:00,28,10,82,8.3,0.0,0.0,
JohnstownII,1775,2017,10,3,2,03-oct-2017 02:00:00,26,7,86,7.6,0.0,0.0,
JohnstownII,1775,2017,10,3,3,03-oct-2017 03:00:00,27,7,85,7.9,0.0,0.0,
JohnstownII,1775,2017,10,3,4,03-oct-2017 04:00:00,27,8,83,7.9,0.0,0.0,
JohnstownII,1775,2017,10,3,5,03-oct-2017 05:00:00,28,13,81,8.2,0.0,0.0,
JohnstownII,1775,2017,10,3,6,03-oct-2017 06:00:00,24,6,85,7.3,0.0,2.9,
JohnstownII,1775,2017,10,3,7,03-oct-2017 07:00:00,26,8,87,6.8,0.0,38.0,
JohnstownII,1775,2017,10,3,8,03-oct-2017 08:00:00,25,8,86,7.8,0.0,102.4,
JohnstownII,1775,2017,10,3,9,03-oct-2017 09:00:00,27,10,79,10.2,0.0,93.7,
JohnstownII,1775,2017,10,3,10,03-oct-2017 10:00:00,27,7,70,11.5,0.0,180.5,
JohnstownII,1775,2017,10,3,11,03-oct-2017 11:00:00,29,9,61,12.8,0.0,152.2,
JohnstownII,1775,2017,10,3,12,03-oct-2017 12:00:00,28,8,60,13.0,0.0,104.4,
JohnstownII,1775,2017,10,3,13,03-oct-2017 13:00:00,28,8,60,13.0,0.0,92.2,
JohnstownII,1775,2017,10,3,14,03-oct-2017 14:00:00,28,8,60,13.4,0.0,77.1,
JohnstownII,1775,2017,10,3,15,03-oct-2017 15:00:00,26,11,68,12.7,0.0,58.5,
JohnstownII,1775,2017,10,3,16,03-oct-2017 16:00:00,27,12,70,12.4,0.0,21.5,
JohnstownII,1775,2017,10,3,17,03-oct-2017 17:00:00,26,7,71,11.8,0.0,6.7,
JohnstownII,1775,2017,10,3,18,03-oct-2017 18:00:00,26,5,77,10.8,0.0,0.0,
JohnstownII,1775,2017,10,3,19,03-oct-2017 19:00:00,27,5,79,10.4,0.0,0.0,
JohnstownII,1775,2017,10,3,20,03-oct-2017 20:00:00,26,7,77,10.6,0.0,0.0,
JohnstownII,1775,2017,10,3,21,03-oct-2017 21:00:00,25,7,79,9.8,0.0,0.0,
JohnstownII,1775,2017,10,3,22,03-oct-2017 22:00:00,26,5,75,9.7,0.0,0.0,
JohnstownII,1775,2017,10,3,23,03-oct-2017 23:00:00,,,,,,,
This file contains PROVISIONAL hourly synoptic data and is subject to change once fully quality controlled. Contact keith.lambkin@met.ie for queries.
