station_name,station_no,year,month,day,hour,date,dir,speed,rh,temp,rainfall,solar,
JohnstownII,1775,2018,8,11,0,11-aug-2018 00:00:00,25,6,82,12.7,0.0,0.0,
JohnstownII,1775,2018,8,11,1,11-aug-2018 01:00:00,26,4,87,12.2,0.0,0.0,
JohnstownII,1775,2018,8,11,2,11-aug-2018 02:00:00,24,3,93,10.8,0.0,0.0,
JohnstownII,1775,2018,8,11,3,11-aug-2018 03:00:00,19,4,96,11.8,0.0,0.0,
JohnstownII,1775,2018,8,11,4,11-aug-2018 04:00:00,17,4,96,11.6,0.0,0.2,
JohnstownII,1775,2018,8,11,5,11-aug-2018 05:00:00,16,3,96,12.5,0.0,6.4,
JohnstownII,1775,2018,8,11,6,11-aug-2018 06:00:00,16,6,93,13.9,0.1,11.8,
JohnstownII,1775,2018,8,11,7,11-aug-2018 07:00:00,13,5,96,14.6,0.2,19.2,
JohnstownII,1775,2018,8,11,8,11-aug-2018 08:00:00,14,8,97,15.3,1.1,26.4,
JohnstownII,1775,2018,8,11,9,11-aug-2018 09:00:00,15,12,97,15.9,0.6,38.7,
JohnstownII,1775,2018,8,11,10,11-aug-2018 10:00:00,16,15,97,16.4,0.1,51.7,
JohnstownII,1775,2018,8,11,11,11-aug-2018 11:00:00,16,15,97,16.8,0.1,60.3,
JohnstownII,1775,2018,8,11,12,11-aug-2018 12:00:00,17,11,98,16.9,2.9,58.7,
JohnstownII,1775,2018,8,11,13,11-aug-2018 13:00:00,17,11,98,17.5,0.5,63.6,
JohnstownII,1775,2018,8,11,14,11-aug-2018 14:00:00,19,11,98,17.7,0.7,46.8,
JohnstownII,1775,2018,8,11,15,11-aug-2018 15:00:00,19,11,99,17.6,0.2,47.1,
JohnstownII,1775,2018,8,11,16,11-aug-2018 16:00:00,20,11,98,17.5,0.5,24.9,
JohnstownII,1775,2018,8,11,17,11-aug-2018 17:00:00,20,10,98,17.4,0.7,13.3,
JohnstownII,1775,2018,8,11,18,11-aug-2018 18:00:00,19,10,99,17.2,0.8,6.3,
JohnstownII,1775,2018,8,11,19,11-aug-2018 19:00:00,19,11,98,17.1,0.4,1.8,
JohnstownII,1775,2018,8,11,20,11-aug-2018 20:00:00,19,9,98,17.0,0.3,0.0,
JohnstownII,1775,2018,8,11,21,11-aug-2018 21:00:00,19,8,99,17.1,0.5,0.0,
JohnstownII,1775,2018,8,11,22,11-aug-2018 22:00:00,21,9,99,17.2,0.2,0.0,
JohnstownII,1775,2018,8,11,23,11-aug-2018 23:00:00,22,8,99,17.1,0.1,0.0,
JohnstownII,1775,2018,8,12,0,12-aug-2018 00:00:00,19,6,99,17.0,0.7,0.0,
JohnstownII,1775,2018,8,12,1,12-aug-2018 01:00:00,20,7,99,16.6,0.4,0.0,
JohnstownII,1775,2018,8,12,2,12-aug-2018 02:00:00,22,9,98,15.6,0.2,0.0,
JohnstownII,1775,2018,8,12,3,12-aug-2018 03:00:00,21,6,98,15.1,0.0,0.0,
JohnstownII,1775,2018,8,12,4,12-aug-2018 04:00:00,22,6,98,15.0,0.0,0.0,
JohnstownII,1775,2018,8,12,5,12-aug-2018 05:00:00,23,5,98,14.4,0.0,4.3,
JohnstownII,1775,2018,8,12,6,12-aug-2018 06:00:00,20,3,98,14.5,0.1,23.3,
JohnstownII,1775,2018,8,12,7,12-aug-2018 07:00:00,22,5,98,15.0,0.0,61.1,
JohnstownII,1775,2018,8,12,8,12-aug-2018 08:00:00,22,5,97,15.6,0.0,154.5,
JohnstownII,1775,2018,8,12,9,12-aug-2018 09:00:00,21,6,85,17.1,0.0,220.7,
JohnstownII,1775,2018,8,12,10,12-aug-2018 10:00:00,20,6,77,18.3,0.0,234.4,
JohnstownII,1775,2018,8,12,11,12-aug-2018 11:00:00,20,6,78,18.5,0.0,282.3,
JohnstownII,1775,2018,8,12,12,12-aug-2018 12:00:00,19,5,67,19.7,0.0,295.4,
JohnstownII,1775,2018,8,12,13,12-aug-2018 13:00:00,22,6,69,19.4,0.0,305.8,
JohnstownII,1775,2018,8,12,14,12-aug-2018 14:00:00,20,10,68,19.5,0.0,268.6,
JohnstownII,1775,2018,8,12,15,12-aug-2018 15:00:00,20,9,72,19.2,0.0,222.0,
JohnstownII,1775,2018,8,12,16,12-aug-2018 16:00:00,21,8,71,19.1,0.0,170.4,
JohnstownII,1775,2018,8,12,17,12-aug-2018 17:00:00,21,8,76,18.7,0.0,113.5,
JohnstownII,1775,2018,8,12,18,12-aug-2018 18:00:00,22,8,80,18.3,0.0,55.2,
JohnstownII,1775,2018,8,12,19,12-aug-2018 19:00:00,24,6,82,17.3,0.0,7.0,
JohnstownII,1775,2018,8,12,20,12-aug-2018 20:00:00,24,4,90,15.7,0.0,0.0,
JohnstownII,1775,2018,8,12,21,12-aug-2018 21:00:00,27,6,89,16.1,0.0,0.0,
JohnstownII,1775,2018,8,12,22,12-aug-2018 22:00:00,28,5,88,16.3,0.0,,
JohnstownII,1775,2018,8,12,23,12-aug-2018 23:00:00,,,,,,,
This file contains PROVISIONAL hourly synoptic data and is subject to change once fully quality controlled. Contact keith.lambkin@met.ie for queries.
