station_name,station_no,year,month,day,hour,date,dir,speed,rh,temp,rainfall,solar,
JOHNSTOWNII,1775,2018,12,18,0,18-dec-2018 00:00:00,18,23,92,11.3,0.0,0.0,
JOHNSTOWNII,1775,2018,12,18,1,18-dec-2018 01:00:00,18,25,86,11.7,0.0,0.0,
JOHNSTOWNII,1775,2018,12,18,2,18-dec-2018 02:00:00,17,26,85,11.7,0.0,0.0,
JOHNSTOWNII,1775,2018,12,18,3,18-dec-2018 03:00:00,16,27,90,11.4,0.2,0.0,
JOHNSTOWNII,1775,2018,12,18,4,18-dec-2018 04:00:00,17,29,98,10.8,1.0,0.0,
JOHNSTOWNII,1775,2018,12,18,5,18-dec-2018 05:00:00,17,28,99,10.8,1.0,0.0,
JOHNSTOWNII,1775,2018,12,18,6,18-dec-2018 06:00:00,17,27,98,10.9,1.8,0.0,
JOHNSTOWNII,1775,2018,12,18,7,18-dec-2018 07:00:00,21,14,97,9.7,1.8,0.0,
JOHNSTOWNII,1775,2018,12,18,8,18-dec-2018 08:00:00,20,12,97,9.8,1.2,0.1,
JOHNSTOWNII,1775,2018,12,18,9,18-dec-2018 09:00:00,20,14,95,9.3,0.8,2.8,
JOHNSTOWNII,1775,2018,12,18,10,18-dec-2018 10:00:00,19,13,93,9.6,0.0,8.6,
JOHNSTOWNII,1775,2018,12,18,11,18-dec-2018 11:00:00,20,9,95,8.9,0.2,12.5,
JOHNSTOWNII,1775,2018,12,18,12,18-dec-2018 12:00:00,21,11,83,9.1,0.0,27.7,
JOHNSTOWNII,1775,2018,12,18,13,18-dec-2018 13:00:00,22,11,83,9.5,0.0,25.0,
JOHNSTOWNII,1775,2018,12,18,14,18-dec-2018 14:00:00,22,9,87,9.5,0.2,41.8,
JOHNSTOWNII,1775,2018,12,18,15,18-dec-2018 15:00:00,22,10,81,9.9,0.0,13.0,
JOHNSTOWNII,1775,2018,12,18,16,18-dec-2018 16:00:00,22,11,82,9.1,0.0,0.5,
JOHNSTOWNII,1775,2018,12,18,17,18-dec-2018 17:00:00,23,10,81,8.9,0.0,0.0,
JOHNSTOWNII,1775,2018,12,18,18,18-dec-2018 18:00:00,23,10,83,8.6,0.0,0.0,
JOHNSTOWNII,1775,2018,12,18,19,18-dec-2018 19:00:00,21,6,88,7.8,0.0,0.0,
JOHNSTOWNII,1775,2018,12,18,20,18-dec-2018 20:00:00,26,8,85,8.0,0.0,0.0,
JOHNSTOWNII,1775,2018,12,18,21,18-dec-2018 21:00:00,23,3,92,6.4,0.4,0.0,
JOHNSTOWNII,1775,2018,12,18,22,18-dec-2018 22:00:00,23,6,89,6.8,0.0,0.0,
JOHNSTOWNII,1775,2018,12,18,23,18-dec-2018 23:00:00,26,7,86,6.6,0.2,0.0,
JOHNSTOWNII,1775,2018,12,19,0,19-dec-2018 00:00:00,24,5,88,5.6,0.0,0.0,
JOHNSTOWNII,1775,2018,12,19,1,19-dec-2018 01:00:00,22,5,91,5.7,0.2,0.0,
JOHNSTOWNII,1775,2018,12,19,2,19-dec-2018 02:00:00,25,5,90,5.2,0.4,0.0,
JOHNSTOWNII,1775,2018,12,19,3,19-dec-2018 03:00:00,24,6,90,5.7,0.1,0.0,
JOHNSTOWNII,1775,2018,12,19,4,19-dec-2018 04:00:00,22,6,89,6.0,0.1,0.0,
JOHNSTOWNII,1775,2018,12,19,5,19-dec-2018 05:00:00,22,7,80,6.9,0.0,0.0,
JOHNSTOWNII,1775,2018,12,19,6,19-dec-2018 06:00:00,24,5,81,7.2,0.0,0.0,
JOHNSTOWNII,1775,2018,12,19,7,19-dec-2018 07:00:00,23,7,86,7.5,0.2,0.0,
JOHNSTOWNII,1775,2018,12,19,8,19-dec-2018 08:00:00,21,10,79,7.7,0.1,1.3,
JOHNSTOWNII,1775,2018,12,19,9,19-dec-2018 09:00:00,21,8,86,7.5,0.7,11.7,
JOHNSTOWNII,1775,2018,12,19,10,19-dec-2018 10:00:00,22,12,76,8.3,0.0,22.8,
JOHNSTOWNII,1775,2018,12,19,11,19-dec-2018 11:00:00,20,14,80,8.8,0.0,31.7,
JOHNSTOWNII,1775,2018,12,19,12,19-dec-2018 12:00:00,21,13,84,8.3,0.4,32.5,
JOHNSTOWNII,1775,2018,12,19,13,19-dec-2018 13:00:00,24,15,91,7.0,0.5,24.5,
JOHNSTOWNII,1775,2018,12,19,14,19-dec-2018 14:00:00,22,14,84,7.9,0.2,34.3,
JOHNSTOWNII,1775,2018,12,19,15,19-dec-2018 15:00:00,23,11,80,8.2,0.2,9.8,
JOHNSTOWNII,1775,2018,12,19,16,19-dec-2018 16:00:00,22,14,85,8.1,0.0,0.2,
JOHNSTOWNII,1775,2018,12,19,17,19-dec-2018 17:00:00,24,11,83,7.7,0.1,0.0,
JOHNSTOWNII,1775,2018,12,19,18,19-dec-2018 18:00:00,24,13,82,7.6,0.0,0.0,
JOHNSTOWNII,1775,2018,12,19,19,19-dec-2018 19:00:00,24,10,84,7.4,0.0,0.0,
JOHNSTOWNII,1775,2018,12,19,20,19-dec-2018 20:00:00,24,13,79,7.9,0.0,0.0,
JOHNSTOWNII,1775,2018,12,19,21,19-dec-2018 21:00:00,24,12,86,7.1,0.1,0.0,
JOHNSTOWNII,1775,2018,12,19,22,19-dec-2018 22:00:00,23,13,84,7.7,0.0,,
JOHNSTOWNII,1775,2018,12,19,23,19-dec-2018 23:00:00,,,,,,,
This file contains PROVISIONAL hourly synoptic data and is subject to change once fully quality controlled. Contact keith.lambkin@met.ie for queries.
