station_name,station_no,year,month,day,hour,date,dir,speed,rh,temp,rainfall,solar,
JOHNSTOWNII,1775,2019,4,3,0,03-apr-2019 00:00:00,34,10,88,2.8,0.0,0.0,
JOHNSTOWNII,1775,2019,4,3,1,03-apr-2019 01:00:00,34,12,87,2.9,0.0,0.0,
JOHNSTOWNII,1775,2019,4,3,2,03-apr-2019 02:00:00,33,13,87,2.5,0.0,0.0,
JOHNSTOWNII,1775,2019,4,3,3,03-apr-2019 03:00:00,34,13,86,2.7,0.0,0.0,
JOHNSTOWNII,1775,2019,4,3,4,03-apr-2019 04:00:00,33,13,85,2.9,0.0,0.0,
JOHNSTOWNII,1775,2019,4,3,5,03-apr-2019 05:00:00,34,12,84,2.8,0.0,0.1,
JOHNSTOWNII,1775,2019,4,3,6,03-apr-2019 06:00:00,34,13,82,3.1,0.0,6.5,
JOHNSTOWNII,1775,2019,4,3,7,03-apr-2019 07:00:00,34,15,81,3.4,0.0,65.4,
JOHNSTOWNII,1775,2019,4,3,8,03-apr-2019 08:00:00,33,13,75,4.6,0.0,128.3,
JOHNSTOWNII,1775,2019,4,3,9,03-apr-2019 09:00:00,34,18,66,5.7,0.0,152.5,
JOHNSTOWNII,1775,2019,4,3,10,03-apr-2019 10:00:00,33,17,63,6.2,0.0,206.0,
JOHNSTOWNII,1775,2019,4,3,11,03-apr-2019 11:00:00,33,15,59,7.2,0.0,240.9,
JOHNSTOWNII,1775,2019,4,3,12,03-apr-2019 12:00:00,34,14,59,7.5,0.0,201.9,
JOHNSTOWNII,1775,2019,4,3,13,03-apr-2019 13:00:00,34,13,52,8.6,0.0,139.5,
JOHNSTOWNII,1775,2019,4,3,14,03-apr-2019 14:00:00,33,13,50,8.3,0.0,89.6,
JOHNSTOWNII,1775,2019,4,3,15,03-apr-2019 15:00:00,33,8,68,6.5,0.0,61.0,
JOHNSTOWNII,1775,2019,4,3,16,03-apr-2019 16:00:00,31,12,69,6.7,0.0,18.0,
JOHNSTOWNII,1775,2019,4,3,17,03-apr-2019 17:00:00,30,13,75,5.9,0.0,9.5,
JOHNSTOWNII,1775,2019,4,3,18,03-apr-2019 18:00:00,30,18,85,4.3,0.3,3.5,
JOHNSTOWNII,1775,2019,4,3,19,03-apr-2019 19:00:00,29,16,86,4.4,0.3,0.0,
JOHNSTOWNII,1775,2019,4,3,20,03-apr-2019 20:00:00,29,13,85,4.6,0.0,0.0,
JOHNSTOWNII,1775,2019,4,3,21,03-apr-2019 21:00:00,29,12,85,4.9,0.1,0.0,
JOHNSTOWNII,1775,2019,4,3,22,03-apr-2019 22:00:00,30,13,90,4.5,0.5,0.0,
JOHNSTOWNII,1775,2019,4,3,23,03-apr-2019 23:00:00,31,11,91,4.6,0.4,0.0,
JOHNSTOWNII,1775,2019,4,4,0,04-apr-2019 00:00:00,33,10,91,4.4,0.2,0.0,
JOHNSTOWNII,1775,2019,4,4,1,04-apr-2019 01:00:00,34,10,90,4.3,0.0,0.0,
JOHNSTOWNII,1775,2019,4,4,2,04-apr-2019 02:00:00,34,10,91,4.1,0.0,0.0,
JOHNSTOWNII,1775,2019,4,4,3,04-apr-2019 03:00:00,35,10,94,3.6,0.6,0.0,
JOHNSTOWNII,1775,2019,4,4,4,04-apr-2019 04:00:00,36,8,94,3.4,0.4,0.0,
JOHNSTOWNII,1775,2019,4,4,5,04-apr-2019 05:00:00,36,8,90,4.0,0.0,0.0,
JOHNSTOWNII,1775,2019,4,4,6,04-apr-2019 06:00:00,1,11,87,4.0,0.2,4.3,
JOHNSTOWNII,1775,2019,4,4,7,04-apr-2019 07:00:00,1,9,83,4.5,0.0,20.3,
JOHNSTOWNII,1775,2019,4,4,8,04-apr-2019 08:00:00,3,12,78,5.0,0.0,15.4,
JOHNSTOWNII,1775,2019,4,4,9,04-apr-2019 09:00:00,4,8,92,3.9,2.4,73.8,
JOHNSTOWNII,1775,2019,4,4,10,04-apr-2019 10:00:00,2,11,83,5.0,0.0,96.8,
JOHNSTOWNII,1775,2019,4,4,11,04-apr-2019 11:00:00,2,12,85,5.3,0.4,89.2,
JOHNSTOWNII,1775,2019,4,4,12,04-apr-2019 12:00:00,2,12,76,5.6,0.0,60.5,
JOHNSTOWNII,1775,2019,4,4,13,04-apr-2019 13:00:00,2,10,85,4.6,0.2,50.8,
JOHNSTOWNII,1775,2019,4,4,14,04-apr-2019 14:00:00,1,10,87,4.1,0.0,33.4,
JOHNSTOWNII,1775,2019,4,4,15,04-apr-2019 15:00:00,35,11,90,3.7,0.4,28.8,
JOHNSTOWNII,1775,2019,4,4,16,04-apr-2019 16:00:00,34,9,92,3.3,1.6,31.6,
JOHNSTOWNII,1775,2019,4,4,17,04-apr-2019 17:00:00,33,9,92,3.8,0.8,31.6,
JOHNSTOWNII,1775,2019,4,4,18,04-apr-2019 18:00:00,32,11,88,3.7,0.0,6.0,
JOHNSTOWNII,1775,2019,4,4,19,04-apr-2019 19:00:00,30,8,89,3.4,0.0,0.0,
JOHNSTOWNII,1775,2019,4,4,20,04-apr-2019 20:00:00,27,7,91,3.2,0.2,0.0,
JOHNSTOWNII,1775,2019,4,4,21,04-apr-2019 21:00:00,25,6,92,3.2,0.0,0.0,
JOHNSTOWNII,1775,2019,4,4,22,04-apr-2019 22:00:00,23,6,93,2.5,0.0,,
JOHNSTOWNII,1775,2019,4,4,23,04-apr-2019 23:00:00,,,,,,,
This file contains PROVISIONAL hourly synoptic data and is subject to change once fully quality controlled. Contact keith.lambkin@met.ie for queries.
