station_name,station_no,year,month,day,hour,date,dir,speed,rh,temp,rainfall,solar,
JOHNSTOWNII,1775,2019,2,20,0,20-feb-2019 00:00:00,20,16,97,9.0,0.6,0.0,
JOHNSTOWNII,1775,2019,2,20,1,20-feb-2019 01:00:00,20,15,96,9.0,0.7,0.0,
JOHNSTOWNII,1775,2019,2,20,2,20-feb-2019 02:00:00,20,15,94,9.2,0.2,0.0,
JOHNSTOWNII,1775,2019,2,20,3,20-feb-2019 03:00:00,19,14,93,9.2,0.0,0.0,
JOHNSTOWNII,1775,2019,2,20,4,20-feb-2019 04:00:00,19,14,92,9.3,0.0,0.0,
JOHNSTOWNII,1775,2019,2,20,5,20-feb-2019 05:00:00,20,15,92,9.5,0.0,0.0,
JOHNSTOWNII,1775,2019,2,20,6,20-feb-2019 06:00:00,20,15,94,9.4,0.1,0.0,
JOHNSTOWNII,1775,2019,2,20,7,20-feb-2019 07:00:00,19,14,95,9.4,0.7,0.0,
JOHNSTOWNII,1775,2019,2,20,8,20-feb-2019 08:00:00,19,14,96,9.3,1.6,2.3,
JOHNSTOWNII,1775,2019,2,20,9,20-feb-2019 09:00:00,19,15,97,9.4,2.0,8.8,
JOHNSTOWNII,1775,2019,2,20,10,20-feb-2019 10:00:00,20,16,97,9.6,1.3,11.7,
JOHNSTOWNII,1775,2019,2,20,11,20-feb-2019 11:00:00,20,16,97,9.7,0.1,24.6,
JOHNSTOWNII,1775,2019,2,20,12,20-feb-2019 12:00:00,20,13,98,10.0,0.1,24.0,
JOHNSTOWNII,1775,2019,2,20,13,20-feb-2019 13:00:00,20,16,98,10.1,0.2,27.1,
JOHNSTOWNII,1775,2019,2,20,14,20-feb-2019 14:00:00,20,15,98,10.1,0.1,21.9,
JOHNSTOWNII,1775,2019,2,20,15,20-feb-2019 15:00:00,19,12,98,10.1,0.3,13.1,
JOHNSTOWNII,1775,2019,2,20,16,20-feb-2019 16:00:00,20,14,99,10.1,0.4,4.5,
JOHNSTOWNII,1775,2019,2,20,17,20-feb-2019 17:00:00,19,13,99,9.9,0.1,0.5,
JOHNSTOWNII,1775,2019,2,20,18,20-feb-2019 18:00:00,19,12,99,9.9,0.1,0.0,
JOHNSTOWNII,1775,2019,2,20,19,20-feb-2019 19:00:00,20,13,99,10.0,1.2,0.0,
JOHNSTOWNII,1775,2019,2,20,20,20-feb-2019 20:00:00,20,14,99,10.1,0.2,0.0,
JOHNSTOWNII,1775,2019,2,20,21,20-feb-2019 21:00:00,20,13,99,10.1,0.2,0.0,
JOHNSTOWNII,1775,2019,2,20,22,20-feb-2019 22:00:00,20,14,98,10.2,0.1,0.0,
JOHNSTOWNII,1775,2019,2,20,23,20-feb-2019 23:00:00,21,14,98,10.4,0.8,0.0,
JOHNSTOWNII,1775,2019,2,21,0,21-feb-2019 00:00:00,21,13,98,10.3,2.2,0.0,
JOHNSTOWNII,1775,2019,2,21,1,21-feb-2019 01:00:00,21,13,98,10.4,2.5,0.0,
JOHNSTOWNII,1775,2019,2,21,2,21-feb-2019 02:00:00,21,12,98,10.4,0.4,0.0,
JOHNSTOWNII,1775,2019,2,21,3,21-feb-2019 03:00:00,21,13,98,10.3,0.0,0.0,
JOHNSTOWNII,1775,2019,2,21,4,21-feb-2019 04:00:00,21,15,96,10.1,0.1,0.0,
JOHNSTOWNII,1775,2019,2,21,5,21-feb-2019 05:00:00,21,14,97,10.0,0.0,0.0,
JOHNSTOWNII,1775,2019,2,21,6,21-feb-2019 06:00:00,21,13,96,10.0,0.0,0.0,
JOHNSTOWNII,1775,2019,2,21,7,21-feb-2019 07:00:00,20,10,95,10.0,0.1,0.4,
JOHNSTOWNII,1775,2019,2,21,8,21-feb-2019 08:00:00,19,12,93,10.1,0.0,4.1,
JOHNSTOWNII,1775,2019,2,21,9,21-feb-2019 09:00:00,20,10,92,10.1,0.0,11.0,
JOHNSTOWNII,1775,2019,2,21,10,21-feb-2019 10:00:00,20,10,92,10.3,0.0,22.0,
JOHNSTOWNII,1775,2019,2,21,11,21-feb-2019 11:00:00,20,10,90,10.5,0.0,51.8,
JOHNSTOWNII,1775,2019,2,21,12,21-feb-2019 12:00:00,19,11,87,10.9,0.0,77.0,
JOHNSTOWNII,1775,2019,2,21,13,21-feb-2019 13:00:00,18,13,89,11.0,0.0,70.7,
JOHNSTOWNII,1775,2019,2,21,14,21-feb-2019 14:00:00,17,13,93,10.7,0.0,26.8,
JOHNSTOWNII,1775,2019,2,21,15,21-feb-2019 15:00:00,17,13,93,10.3,0.0,32.9,
JOHNSTOWNII,1775,2019,2,21,16,21-feb-2019 16:00:00,17,13,91,10.4,0.0,24.8,
JOHNSTOWNII,1775,2019,2,21,17,21-feb-2019 17:00:00,17,12,92,10.0,0.0,3.8,
JOHNSTOWNII,1775,2019,2,21,18,21-feb-2019 18:00:00,17,12,94,9.7,0.0,0.0,
JOHNSTOWNII,1775,2019,2,21,19,21-feb-2019 19:00:00,17,11,95,9.4,0.0,0.0,
JOHNSTOWNII,1775,2019,2,21,20,21-feb-2019 20:00:00,17,12,94,9.4,0.0,0.0,
JOHNSTOWNII,1775,2019,2,21,21,21-feb-2019 21:00:00,17,12,93,9.5,0.0,0.0,
JOHNSTOWNII,1775,2019,2,21,22,21-feb-2019 22:00:00,17,12,91,9.6,0.0,,
JOHNSTOWNII,1775,2019,2,21,23,21-feb-2019 23:00:00,,,,,,,
This file contains PROVISIONAL hourly synoptic data and is subject to change once fully quality controlled. Contact keith.lambkin@met.ie for queries.
