station_name,station_no,year,month,day,hour,date,dir,speed,rh,temp,rainfall,solar,
JOHNSTOWNII,1775,2019,1,13,0,13-jan-2019 00:00:00,27,18,85,9.6,0.0,0.0,
JOHNSTOWNII,1775,2019,1,13,1,13-jan-2019 01:00:00,28,19,83,9.2,0.0,0.0,
JOHNSTOWNII,1775,2019,1,13,2,13-jan-2019 02:00:00,28,20,82,9.1,0.0,0.0,
JOHNSTOWNII,1775,2019,1,13,3,13-jan-2019 03:00:00,27,19,83,9.2,0.0,0.0,
JOHNSTOWNII,1775,2019,1,13,4,13-jan-2019 04:00:00,27,16,83,9.0,0.0,0.0,
JOHNSTOWNII,1775,2019,1,13,5,13-jan-2019 05:00:00,27,15,84,8.9,0.0,0.0,
JOHNSTOWNII,1775,2019,1,13,6,13-jan-2019 06:00:00,29,16,81,8.7,0.0,0.0,
JOHNSTOWNII,1775,2019,1,13,7,13-jan-2019 07:00:00,28,14,83,8.6,0.0,0.0,
JOHNSTOWNII,1775,2019,1,13,8,13-jan-2019 08:00:00,27,12,85,8.7,0.0,0.6,
JOHNSTOWNII,1775,2019,1,13,9,13-jan-2019 09:00:00,25,9,85,9.0,0.0,4.9,
JOHNSTOWNII,1775,2019,1,13,10,13-jan-2019 10:00:00,28,12,85,9.4,0.0,19.6,
JOHNSTOWNII,1775,2019,1,13,11,13-jan-2019 11:00:00,27,10,83,10.2,0.0,48.7,
JOHNSTOWNII,1775,2019,1,13,12,13-jan-2019 12:00:00,28,24,80,11.0,0.0,55.9,
JOHNSTOWNII,1775,2019,1,13,13,13-jan-2019 13:00:00,28,26,79,11.3,0.0,46.1,
JOHNSTOWNII,1775,2019,1,13,14,13-jan-2019 14:00:00,28,23,81,11.3,0.0,36.9,
JOHNSTOWNII,1775,2019,1,13,15,13-jan-2019 15:00:00,28,17,82,11.1,0.0,10.3,
JOHNSTOWNII,1775,2019,1,13,16,13-jan-2019 16:00:00,28,17,77,10.9,0.0,2.1,
JOHNSTOWNII,1775,2019,1,13,17,13-jan-2019 17:00:00,28,13,74,10.7,0.0,0.0,
JOHNSTOWNII,1775,2019,1,13,18,13-jan-2019 18:00:00,28,7,75,10.4,0.0,0.0,
JOHNSTOWNII,1775,2019,1,13,19,13-jan-2019 19:00:00,31,17,68,10.0,0.0,0.0,
JOHNSTOWNII,1775,2019,1,13,20,13-jan-2019 20:00:00,31,12,70,9.3,0.0,0.0,
JOHNSTOWNII,1775,2019,1,13,21,13-jan-2019 21:00:00,31,10,63,8.9,0.0,0.0,
JOHNSTOWNII,1775,2019,1,13,22,13-jan-2019 22:00:00,30,9,65,8.6,0.0,0.0,
JOHNSTOWNII,1775,2019,1,13,23,13-jan-2019 23:00:00,30,12,65,8.4,0.0,0.0,
JOHNSTOWNII,1775,2019,1,14,0,14-jan-2019 00:00:00,30,13,68,8.0,0.0,0.0,
JOHNSTOWNII,1775,2019,1,14,1,14-jan-2019 01:00:00,31,12,67,8.2,0.0,0.0,
JOHNSTOWNII,1775,2019,1,14,2,14-jan-2019 02:00:00,31,9,65,8.2,0.0,0.0,
JOHNSTOWNII,1775,2019,1,14,3,14-jan-2019 03:00:00,31,7,65,7.8,0.0,0.0,
JOHNSTOWNII,1775,2019,1,14,4,14-jan-2019 04:00:00,29,7,67,7.8,0.0,0.0,
JOHNSTOWNII,1775,2019,1,14,5,14-jan-2019 05:00:00,29,5,66,7.7,0.0,0.0,
JOHNSTOWNII,1775,2019,1,14,6,14-jan-2019 06:00:00,29,7,66,7.6,0.0,0.0,
JOHNSTOWNII,1775,2019,1,14,7,14-jan-2019 07:00:00,24,4,66,7.2,0.0,0.0,
JOHNSTOWNII,1775,2019,1,14,8,14-jan-2019 08:00:00,28,4,67,7.2,0.0,1.3,
JOHNSTOWNII,1775,2019,1,14,9,14-jan-2019 09:00:00,27,3,67,7.0,0.0,13.9,
JOHNSTOWNII,1775,2019,1,14,10,14-jan-2019 10:00:00,18,2,69,7.1,0.0,35.3,
JOHNSTOWNII,1775,2019,1,14,11,14-jan-2019 11:00:00,22,5,68,7.6,0.0,48.9,
JOHNSTOWNII,1775,2019,1,14,12,14-jan-2019 12:00:00,28,5,69,8.3,0.0,57.1,
JOHNSTOWNII,1775,2019,1,14,13,14-jan-2019 13:00:00,27,6,72,8.3,0.0,34.8,
JOHNSTOWNII,1775,2019,1,14,14,14-jan-2019 14:00:00,30,7,68,8.4,0.0,21.5,
JOHNSTOWNII,1775,2019,1,14,15,14-jan-2019 15:00:00,28,4,70,8.4,0.0,10.3,
JOHNSTOWNII,1775,2019,1,14,16,14-jan-2019 16:00:00,26,6,78,8.1,0.0,2.0,
JOHNSTOWNII,1775,2019,1,14,17,14-jan-2019 17:00:00,21,4,83,7.7,0.0,0.0,
JOHNSTOWNII,1775,2019,1,14,18,14-jan-2019 18:00:00,24,5,81,7.7,0.0,0.0,
JOHNSTOWNII,1775,2019,1,14,19,14-jan-2019 19:00:00,24,8,85,7.1,0.0,0.0,
JOHNSTOWNII,1775,2019,1,14,20,14-jan-2019 20:00:00,24,7,87,6.6,0.0,0.0,
JOHNSTOWNII,1775,2019,1,14,21,14-jan-2019 21:00:00,24,7,86,7.6,0.0,0.0,
JOHNSTOWNII,1775,2019,1,14,22,14-jan-2019 22:00:00,24,7,86,8.4,0.0,,
JOHNSTOWNII,1775,2019,1,14,23,14-jan-2019 23:00:00,,,,,,,
This file contains PROVISIONAL hourly synoptic data and is subject to change once fully quality controlled. Contact keith.lambkin@met.ie for queries.
