station_name,station_no,year,month,day,hour,date,dir,speed,rh,temp,rainfall,solar,
JOHNSTOWNII,1775,2019,6,19,0,19-jun-2019 00:00:00,24,5,90,11.2,0.0,0.0,
JOHNSTOWNII,1775,2019,6,19,1,19-jun-2019 01:00:00,25,4,92,10.2,0.0,0.0,
JOHNSTOWNII,1775,2019,6,19,2,19-jun-2019 02:00:00,32,4,88,11.0,0.0,0.0,
JOHNSTOWNII,1775,2019,6,19,3,19-jun-2019 03:00:00,33,6,88,10.7,0.0,0.0,
JOHNSTOWNII,1775,2019,6,19,4,19-jun-2019 04:00:00,33,7,83,10.6,0.0,7.7,
JOHNSTOWNII,1775,2019,6,19,5,19-jun-2019 05:00:00,32,7,83,10.8,0.0,42.0,
JOHNSTOWNII,1775,2019,6,19,6,19-jun-2019 06:00:00,33,6,82,11.7,0.0,53.4,
JOHNSTOWNII,1775,2019,6,19,7,19-jun-2019 07:00:00,33,8,82,12.1,0.0,79.3,
JOHNSTOWNII,1775,2019,6,19,8,19-jun-2019 08:00:00,32,4,78,13.2,0.0,156.1,
JOHNSTOWNII,1775,2019,6,19,9,19-jun-2019 09:00:00,35,4,69,14.9,0.0,210.9,
JOHNSTOWNII,1775,2019,6,19,10,19-jun-2019 10:00:00,31,3,64,16.3,0.0,207.2,
JOHNSTOWNII,1775,2019,6,19,11,19-jun-2019 11:00:00,26,4,59,16.7,0.0,242.7,
JOHNSTOWNII,1775,2019,6,19,12,19-jun-2019 12:00:00,29,7,53,16.6,0.0,314.9,
JOHNSTOWNII,1775,2019,6,19,13,19-jun-2019 13:00:00,22,11,69,17.0,0.0,241.9,
JOHNSTOWNII,1775,2019,6,19,14,19-jun-2019 14:00:00,22,11,68,16.0,0.0,272.5,
JOHNSTOWNII,1775,2019,6,19,15,19-jun-2019 15:00:00,22,11,69,16.3,0.0,183.5,
JOHNSTOWNII,1775,2019,6,19,16,19-jun-2019 16:00:00,23,13,73,14.9,0.0,181.7,
JOHNSTOWNII,1775,2019,6,19,17,19-jun-2019 17:00:00,22,10,73,15.1,0.0,46.1,
JOHNSTOWNII,1775,2019,6,19,18,19-jun-2019 18:00:00,25,6,86,13.3,0.1,22.1,
JOHNSTOWNII,1775,2019,6,19,19,19-jun-2019 19:00:00,29,8,76,13.2,0.0,15.4,
JOHNSTOWNII,1775,2019,6,19,20,19-jun-2019 20:00:00,27,5,73,13.7,0.0,2.2,
JOHNSTOWNII,1775,2019,6,19,21,19-jun-2019 21:00:00,26,8,81,12.2,0.0,0.0,
JOHNSTOWNII,1775,2019,6,19,22,19-jun-2019 22:00:00,25,6,88,11.8,0.1,0.0,
JOHNSTOWNII,1775,2019,6,19,23,19-jun-2019 23:00:00,26,7,84,11.5,0.0,0.0,
JOHNSTOWNII,1775,2019,6,20,0,20-jun-2019 00:00:00,27,6,84,10.8,0.0,0.0,
JOHNSTOWNII,1775,2019,6,20,1,20-jun-2019 01:00:00,25,7,85,10.2,0.0,0.0,
JOHNSTOWNII,1775,2019,6,20,2,20-jun-2019 02:00:00,25,6,83,10.7,0.0,0.0,
JOHNSTOWNII,1775,2019,6,20,3,20-jun-2019 03:00:00,25,7,85,10.1,0.0,0.0,
JOHNSTOWNII,1775,2019,6,20,4,20-jun-2019 04:00:00,26,6,86,10.0,0.0,5.2,
JOHNSTOWNII,1775,2019,6,20,5,20-jun-2019 05:00:00,26,6,86,10.0,0.0,36.7,
JOHNSTOWNII,1775,2019,6,20,6,20-jun-2019 06:00:00,25,7,85,10.3,0.0,87.5,
JOHNSTOWNII,1775,2019,6,20,7,20-jun-2019 07:00:00,25,6,79,11.8,0.0,,
JOHNSTOWNII,1775,2019,6,20,8,20-jun-2019 08:00:00,,,,,,,
JOHNSTOWNII,1775,2019,6,20,9,20-jun-2019 09:00:00,,,,,,,
JOHNSTOWNII,1775,2019,6,20,10,20-jun-2019 10:00:00,,,,,,,
JOHNSTOWNII,1775,2019,6,20,11,20-jun-2019 11:00:00,,,,,,,
JOHNSTOWNII,1775,2019,6,20,12,20-jun-2019 12:00:00,,,,,,,
JOHNSTOWNII,1775,2019,6,20,13,20-jun-2019 13:00:00,,,,,,,
JOHNSTOWNII,1775,2019,6,20,14,20-jun-2019 14:00:00,,,,,,,
JOHNSTOWNII,1775,2019,6,20,15,20-jun-2019 15:00:00,,,,,,,
JOHNSTOWNII,1775,2019,6,20,16,20-jun-2019 16:00:00,,,,,,,
JOHNSTOWNII,1775,2019,6,20,17,20-jun-2019 17:00:00,,,,,,,
JOHNSTOWNII,1775,2019,6,20,18,20-jun-2019 18:00:00,,,,,,,
JOHNSTOWNII,1775,2019,6,20,19,20-jun-2019 19:00:00,,,,,,,
JOHNSTOWNII,1775,2019,6,20,20,20-jun-2019 20:00:00,,,,,,,
JOHNSTOWNII,1775,2019,6,20,21,20-jun-2019 21:00:00,,,,,,,
JOHNSTOWNII,1775,2019,6,20,22,20-jun-2019 22:00:00,,,,,,,
JOHNSTOWNII,1775,2019,6,20,23,20-jun-2019 23:00:00,,,,,,,
This file contains PROVISIONAL hourly synoptic data and is subject to change once fully quality controlled. Contact keith.lambkin@met.ie for queries.
