station_name,station_no,year,month,day,hour,date,dir,speed,rh,temp,rainfall,solar,
JOHNSTOWNII,1775,2019,3,7,0,07-mar-2019 00:00:00,27,14,86,5.2,0.0,0.0,
JOHNSTOWNII,1775,2019,3,7,1,07-mar-2019 01:00:00,26,13,85,5.2,0.0,0.0,
JOHNSTOWNII,1775,2019,3,7,2,07-mar-2019 02:00:00,25,14,86,5.3,0.0,0.0,
JOHNSTOWNII,1775,2019,3,7,3,07-mar-2019 03:00:00,25,10,86,5.2,0.0,0.0,
JOHNSTOWNII,1775,2019,3,7,4,07-mar-2019 04:00:00,26,9,86,4.5,0.0,0.0,
JOHNSTOWNII,1775,2019,3,7,5,07-mar-2019 05:00:00,24,8,88,4.0,0.0,0.0,
JOHNSTOWNII,1775,2019,3,7,6,07-mar-2019 06:00:00,27,12,83,4.5,0.0,0.1,
JOHNSTOWNII,1775,2019,3,7,7,07-mar-2019 07:00:00,28,15,81,4.8,0.0,16.4,
JOHNSTOWNII,1775,2019,3,7,8,07-mar-2019 08:00:00,27,16,79,5.6,0.0,62.4,
JOHNSTOWNII,1775,2019,3,7,9,07-mar-2019 09:00:00,28,16,74,6.8,0.0,125.0,
JOHNSTOWNII,1775,2019,3,7,10,07-mar-2019 10:00:00,28,20,72,7.5,0.0,160.2,
JOHNSTOWNII,1775,2019,3,7,11,07-mar-2019 11:00:00,30,17,67,8.9,0.0,188.8,
JOHNSTOWNII,1775,2019,3,7,12,07-mar-2019 12:00:00,29,19,64,9.3,0.0,194.3,
JOHNSTOWNII,1775,2019,3,7,13,07-mar-2019 13:00:00,29,20,61,9.8,0.0,77.1,
JOHNSTOWNII,1775,2019,3,7,14,07-mar-2019 14:00:00,29,17,85,6.9,1.3,136.9,
JOHNSTOWNII,1775,2019,3,7,15,07-mar-2019 15:00:00,28,18,66,9.3,0.0,120.8,
JOHNSTOWNII,1775,2019,3,7,16,07-mar-2019 16:00:00,29,16,63,9.9,0.0,68.7,
JOHNSTOWNII,1775,2019,3,7,17,07-mar-2019 17:00:00,31,15,64,8.7,0.0,22.2,
JOHNSTOWNII,1775,2019,3,7,18,07-mar-2019 18:00:00,30,13,64,8.0,0.0,0.6,
JOHNSTOWNII,1775,2019,3,7,19,07-mar-2019 19:00:00,30,12,63,7.3,0.0,0.0,
JOHNSTOWNII,1775,2019,3,7,20,07-mar-2019 20:00:00,30,13,69,6.7,0.0,0.0,
JOHNSTOWNII,1775,2019,3,7,21,07-mar-2019 21:00:00,30,12,71,6.0,0.0,0.0,
JOHNSTOWNII,1775,2019,3,7,22,07-mar-2019 22:00:00,31,10,71,5.7,0.0,0.0,
JOHNSTOWNII,1775,2019,3,7,23,07-mar-2019 23:00:00,28,6,74,4.8,0.0,0.0,
JOHNSTOWNII,1775,2019,3,8,0,08-mar-2019 00:00:00,23,7,83,3.1,0.0,0.0,
JOHNSTOWNII,1775,2019,3,8,1,08-mar-2019 01:00:00,26,8,83,3.4,0.0,0.0,
JOHNSTOWNII,1775,2019,3,8,2,08-mar-2019 02:00:00,24,7,85,2.7,0.0,0.0,
JOHNSTOWNII,1775,2019,3,8,3,08-mar-2019 03:00:00,25,6,86,2.5,0.0,0.0,
JOHNSTOWNII,1775,2019,3,8,4,08-mar-2019 04:00:00,26,6,85,3.9,0.0,0.0,
JOHNSTOWNII,1775,2019,3,8,5,08-mar-2019 05:00:00,23,5,90,4.3,0.0,0.0,
JOHNSTOWNII,1775,2019,3,8,6,08-mar-2019 06:00:00,23,5,89,4.5,0.0,0.1,
JOHNSTOWNII,1775,2019,3,8,7,08-mar-2019 07:00:00,21,5,90,5.4,0.0,6.4,
JOHNSTOWNII,1775,2019,3,8,8,08-mar-2019 08:00:00,21,6,88,6.4,0.0,15.6,
JOHNSTOWNII,1775,2019,3,8,9,08-mar-2019 09:00:00,21,8,85,7.7,0.0,27.1,
JOHNSTOWNII,1775,2019,3,8,10,08-mar-2019 10:00:00,21,10,83,8.1,0.1,44.5,
JOHNSTOWNII,1775,2019,3,8,11,08-mar-2019 11:00:00,21,12,85,8.0,0.2,47.2,
JOHNSTOWNII,1775,2019,3,8,12,08-mar-2019 12:00:00,20,16,93,7.8,0.5,40.7,
JOHNSTOWNII,1775,2019,3,8,13,08-mar-2019 13:00:00,21,13,96,8.1,0.5,52.1,
JOHNSTOWNII,1775,2019,3,8,14,08-mar-2019 14:00:00,21,13,97,8.8,0.9,55.0,
JOHNSTOWNII,1775,2019,3,8,15,08-mar-2019 15:00:00,22,13,98,9.2,0.6,60.1,
JOHNSTOWNII,1775,2019,3,8,16,08-mar-2019 16:00:00,24,11,97,9.6,0.1,56.1,
JOHNSTOWNII,1775,2019,3,8,17,08-mar-2019 17:00:00,24,10,95,10.2,0.0,21.4,
JOHNSTOWNII,1775,2019,3,8,18,08-mar-2019 18:00:00,28,14,76,9.9,0.0,0.8,
JOHNSTOWNII,1775,2019,3,8,19,08-mar-2019 19:00:00,28,16,73,8.8,0.0,0.0,
JOHNSTOWNII,1775,2019,3,8,20,08-mar-2019 20:00:00,27,16,74,7.9,0.0,0.0,
JOHNSTOWNII,1775,2019,3,8,21,08-mar-2019 21:00:00,27,15,76,7.6,0.0,0.0,
JOHNSTOWNII,1775,2019,3,8,22,08-mar-2019 22:00:00,27,14,76,7.6,0.0,,
JOHNSTOWNII,1775,2019,3,8,23,08-mar-2019 23:00:00,,,,,,,
This file contains PROVISIONAL hourly synoptic data and is subject to change once fully quality controlled. Contact keith.lambkin@met.ie for queries.
