station_name,station_no,year,month,day,hour,date,dir,speed,rh,temp,rainfall,solar,
MALIN HEAD,1575,2016,12,31,0,31-dec-2016 00:00:00,21,21,78,11.4,0.0,0.0,
MALIN HEAD,1575,2016,12,31,1,31-dec-2016 01:00:00,21,28,74,11.5,0.0,0.0,
MALIN HEAD,1575,2016,12,31,2,31-dec-2016 02:00:00,22,26,76,11.2,0.0,0.0,
MALIN HEAD,1575,2016,12,31,3,31-dec-2016 03:00:00,22,25,75,11.1,0.0,0.0,
MALIN HEAD,1575,2016,12,31,4,31-dec-2016 04:00:00,22,27,75,11.3,0.0,0.0,
MALIN HEAD,1575,2016,12,31,5,31-dec-2016 05:00:00,22,28,72,11.3,0.0,0.0,
MALIN HEAD,1575,2016,12,31,6,31-dec-2016 06:00:00,22,26,74,10.9,0.0,0.0,
MALIN HEAD,1575,2016,12,31,7,31-dec-2016 07:00:00,22,24,78,10.5,0.0,0.0,
MALIN HEAD,1575,2016,12,31,8,31-dec-2016 08:00:00,22,26,75,10.8,0.0,0.0,
MALIN HEAD,1575,2016,12,31,9,31-dec-2016 09:00:00,21,26,75,10.7,0.0,1.7,
MALIN HEAD,1575,2016,12,31,10,31-dec-2016 10:00:00,22,26,76,10.7,0.0,5.7,
MALIN HEAD,1575,2016,12,31,11,31-dec-2016 11:00:00,22,27,76,10.8,0.0,3.4,
MALIN HEAD,1575,2016,12,31,12,31-dec-2016 12:00:00,22,22,81,10.4,0.0,2.5,
MALIN HEAD,1575,2016,12,31,13,31-dec-2016 13:00:00,22,20,87,10.0,1.1,3.5,
MALIN HEAD,1575,2016,12,31,14,31-dec-2016 14:00:00,23,26,90,10.1,1.0,3.4,
MALIN HEAD,1575,2016,12,31,15,31-dec-2016 15:00:00,29,16,92,8.6,1.8,1.3,
MALIN HEAD,1575,2016,12,31,16,31-dec-2016 16:00:00,30,17,92,7.5,1.7,0.0,
MALIN HEAD,1575,2016,12,31,17,31-dec-2016 17:00:00,30,14,90,7.2,0.7,0.0,
MALIN HEAD,1575,2016,12,31,18,31-dec-2016 18:00:00,29,12,86,6.9,1.1,0.0,
MALIN HEAD,1575,2016,12,31,19,31-dec-2016 19:00:00,31,22,80,7.0,0.1,0.0,
MALIN HEAD,1575,2016,12,31,20,31-dec-2016 20:00:00,33,19,74,7.1,0.0,0.0,
MALIN HEAD,1575,2016,12,31,21,31-dec-2016 21:00:00,32,19,69,7.0,0.0,0.0,
MALIN HEAD,1575,2016,12,31,22,31-dec-2016 22:00:00,34,22,70,6.2,0.0,0.0,
MALIN HEAD,1575,2016,12,31,23,31-dec-2016 23:00:00,34,18,76,5.9,1.1,0.0,
MALIN HEAD,1575,2017,1,1,0,01-jan-2017 00:00:00,34,20,70,6.3,0.0,0.0,
MALIN HEAD,1575,2017,1,1,1,01-jan-2017 01:00:00,34,21,80,5.3,0.3,0.0,
MALIN HEAD,1575,2017,1,1,2,01-jan-2017 02:00:00,,27,69,6.1,0.1,0.0,
MALIN HEAD,1575,2017,1,1,3,01-jan-2017 03:00:00,1,22,70,6.5,0.0,0.0,
MALIN HEAD,1575,2017,1,1,4,01-jan-2017 04:00:00,1,26,71,6.6,0.1,0.0,
MALIN HEAD,1575,2017,1,1,5,01-jan-2017 05:00:00,1,28,71,6.4,0.1,0.0,
MALIN HEAD,1575,2017,1,1,6,01-jan-2017 06:00:00,1,32,75,5.9,0.0,0.0,
MALIN HEAD,1575,2017,1,1,7,01-jan-2017 07:00:00,1,28,65,6.6,0.0,0.0,
MALIN HEAD,1575,2017,1,1,8,01-jan-2017 08:00:00,1,29,61,6.6,0.0,0.0,
MALIN HEAD,1575,2017,1,1,9,01-jan-2017 09:00:00,1,28,65,7.0,0.0,3.5,
MALIN HEAD,1575,2017,1,1,10,01-jan-2017 10:00:00,1,28,67,7.0,0.0,11.7,
MALIN HEAD,1575,2017,1,1,11,01-jan-2017 11:00:00,1,26,67,7.2,0.0,23.1,
MALIN HEAD,1575,2017,1,1,12,01-jan-2017 12:00:00,1,29,73,6.8,0.0,30.9,
MALIN HEAD,1575,2017,1,1,13,01-jan-2017 13:00:00,1,29,66,7.0,0.0,17.6,
MALIN HEAD,1575,2017,1,1,14,01-jan-2017 14:00:00,1,28,71,6.6,0.0,16.6,
MALIN HEAD,1575,2017,1,1,15,01-jan-2017 15:00:00,1,30,66,6.8,0.0,8.8,
MALIN HEAD,1575,2017,1,1,16,01-jan-2017 16:00:00,1,29,63,7.3,0.0,0.3,
MALIN HEAD,1575,2017,1,1,17,01-jan-2017 17:00:00,1,25,62,7.2,0.0,0.0,
MALIN HEAD,1575,2017,1,1,18,01-jan-2017 18:00:00,2,25,63,7.4,0.0,0.0,
MALIN HEAD,1575,2017,1,1,19,01-jan-2017 19:00:00,2,24,60,6.9,0.0,0.0,
MALIN HEAD,1575,2017,1,1,20,01-jan-2017 20:00:00,3,25,56,6.8,0.0,0.0,
MALIN HEAD,1575,2017,1,1,21,01-jan-2017 21:00:00,3,26,51,6.7,0.0,0.0,
MALIN HEAD,1575,2017,1,1,22,01-jan-2017 22:00:00,3,23,58,6.5,0.0,0.0,
MALIN HEAD,1575,2017,1,1,23,01-jan-2017 23:00:00,3,18,57,6.3,0.0,0.0,
MALIN HEAD,1575,2017,1,2,0,02-jan-2017 00:00:00,4,14,62,6.2,0.0,0.0,
MALIN HEAD,1575,2017,1,2,1,02-jan-2017 01:00:00,2,13,56,6.4,0.0,0.0,
MALIN HEAD,1575,2017,1,2,2,02-jan-2017 02:00:00,1,10,63,6.6,0.0,0.0,
MALIN HEAD,1575,2017,1,2,3,02-jan-2017 03:00:00,1,13,69,5.8,0.0,0.0,
MALIN HEAD,1575,2017,1,2,4,02-jan-2017 04:00:00,3,13,72,5.6,0.0,0.0,
MALIN HEAD,1575,2017,1,2,5,02-jan-2017 05:00:00,1,12,72,5.5,0.0,0.0,
MALIN HEAD,1575,2017,1,2,6,02-jan-2017 06:00:00,35,20,75,5.6,0.0,0.0,
MALIN HEAD,1575,2017,1,2,7,02-jan-2017 07:00:00,35,15,68,6.1,0.0,0.0,
MALIN HEAD,1575,2017,1,2,8,02-jan-2017 08:00:00,35,14,73,5.6,0.0,0.1,
MALIN HEAD,1575,2017,1,2,9,02-jan-2017 09:00:00,33,17,71,6.7,0.0,4.9,
MALIN HEAD,1575,2017,1,2,10,02-jan-2017 10:00:00,33,19,68,6.4,0.0,22.5,
MALIN HEAD,1575,2017,1,2,11,02-jan-2017 11:00:00,34,14,63,7.3,0.0,37.5,
MALIN HEAD,1575,2017,1,2,12,02-jan-2017 12:00:00,33,16,61,7.0,0.0,55.2,
MALIN HEAD,1575,2017,1,2,13,02-jan-2017 13:00:00,31,15,64,7.3,0.0,53.3,
MALIN HEAD,1575,2017,1,2,14,02-jan-2017 14:00:00,31,15,61,7.0,0.0,31.6,
MALIN HEAD,1575,2017,1,2,15,02-jan-2017 15:00:00,31,17,65,7.1,0.0,9.4,
MALIN HEAD,1575,2017,1,2,16,02-jan-2017 16:00:00,31,17,70,6.8,0.0,0.5,
MALIN HEAD,1575,2017,1,2,17,02-jan-2017 17:00:00,30,17,79,6.5,0.0,0.0,
MALIN HEAD,1575,2017,1,2,18,02-jan-2017 18:00:00,31,19,83,6.4,0.3,0.0,
MALIN HEAD,1575,2017,1,2,19,02-jan-2017 19:00:00,32,22,83,6.3,0.0,0.0,
MALIN HEAD,1575,2017,1,2,20,02-jan-2017 20:00:00,28,14,79,6.4,0.1,0.0,
MALIN HEAD,1575,2017,1,2,21,02-jan-2017 21:00:00,32,18,76,7.2,0.0,0.0,
MALIN HEAD,1575,2017,1,2,22,02-jan-2017 22:00:00,30,16,72,7.4,0.0,0.0,
MALIN HEAD,1575,2017,1,2,23,02-jan-2017 23:00:00,30,15,75,7.4,0.0,0.0,
MALIN HEAD,1575,2017,1,3,0,03-jan-2017 00:00:00,29,15,78,6.9,0.0,0.0,
MALIN HEAD,1575,2017,1,3,1,03-jan-2017 01:00:00,29,16,85,6.6,0.0,0.0,
MALIN HEAD,1575,2017,1,3,2,03-jan-2017 02:00:00,28,14,77,7.2,0.0,0.0,
