station_name,station_no,year,month,day,hour,date,dir,speed,rh,temp,rainfall,solar,
MOORE PARK,575,2018,12,10,0,10-dec-2018 00:00:00,11,1,92,4.0,0.0,0.0,
MOORE PARK,575,2018,12,10,1,10-dec-2018 01:00:00,3,1,96,3.0,0.0,0.0,
MOORE PARK,575,2018,12,10,2,10-dec-2018 02:00:00,4,1,96,2.4,0.0,0.0,
MOORE PARK,575,2018,12,10,3,10-dec-2018 03:00:00,3,1,96,1.9,0.0,0.0,
MOORE PARK,575,2018,12,10,4,10-dec-2018 04:00:00,7,2,96,1.7,0.0,0.0,
MOORE PARK,575,2018,12,10,5,10-dec-2018 05:00:00,8,3,97,2.6,0.0,0.0,
MOORE PARK,575,2018,12,10,6,10-dec-2018 06:00:00,9,2,96,3.7,0.0,0.0,
MOORE PARK,575,2018,12,10,7,10-dec-2018 07:00:00,11,3,95,4.2,0.0,0.0,
MOORE PARK,575,2018,12,10,8,10-dec-2018 08:00:00,11,4,93,4.8,0.0,2.1,
MOORE PARK,575,2018,12,10,9,10-dec-2018 09:00:00,10,4,93,4.7,0.0,10.5,
MOORE PARK,575,2018,12,10,10,10-dec-2018 10:00:00,10,4,92,5.6,0.0,20.3,
MOORE PARK,575,2018,12,10,11,10-dec-2018 11:00:00,5,2,91,6.7,0.0,19.3,
MOORE PARK,575,2018,12,10,12,10-dec-2018 12:00:00,8,4,90,7.6,0.0,15.5,
MOORE PARK,575,2018,12,10,13,10-dec-2018 13:00:00,11,5,93,8.0,0.0,10.5,
MOORE PARK,575,2018,12,10,14,10-dec-2018 14:00:00,9,4,95,9.2,0.0,7.7,
MOORE PARK,575,2018,12,10,15,10-dec-2018 15:00:00,14,3,94,10.3,0.0,10.3,
MOORE PARK,575,2018,12,10,16,10-dec-2018 16:00:00,18,5,91,11.0,0.0,0.5,
MOORE PARK,575,2018,12,10,17,10-dec-2018 17:00:00,12,3,92,10.1,0.0,0.0,
MOORE PARK,575,2018,12,10,18,10-dec-2018 18:00:00,15,4,90,10.8,0.0,0.0,
MOORE PARK,575,2018,12,10,19,10-dec-2018 19:00:00,14,5,90,10.6,0.0,0.0,
MOORE PARK,575,2018,12,10,20,10-dec-2018 20:00:00,15,5,90,10.6,0.0,0.0,
MOORE PARK,575,2018,12,10,21,10-dec-2018 21:00:00,15,6,89,10.6,0.0,0.0,
MOORE PARK,575,2018,12,10,22,10-dec-2018 22:00:00,16,6,91,10.2,0.0,0.0,
MOORE PARK,575,2018,12,10,23,10-dec-2018 23:00:00,15,6,92,9.9,0.0,0.0,
MOORE PARK,575,2018,12,11,0,11-dec-2018 00:00:00,13,6,94,9.8,0.1,0.0,
MOORE PARK,575,2018,12,11,1,11-dec-2018 01:00:00,13,6,95,9.7,0.1,0.0,
MOORE PARK,575,2018,12,11,2,11-dec-2018 02:00:00,12,6,94,9.6,0.1,0.0,
MOORE PARK,575,2018,12,11,3,11-dec-2018 03:00:00,10,5,94,9.5,0.1,0.0,
MOORE PARK,575,2018,12,11,4,11-dec-2018 04:00:00,12,5,93,9.6,0.0,0.0,
MOORE PARK,575,2018,12,11,5,11-dec-2018 05:00:00,13,8,92,9.6,0.1,0.0,
MOORE PARK,575,2018,12,11,6,11-dec-2018 06:00:00,12,7,92,9.6,0.1,0.0,
MOORE PARK,575,2018,12,11,7,11-dec-2018 07:00:00,13,10,91,9.6,0.0,0.0,
MOORE PARK,575,2018,12,11,8,11-dec-2018 08:00:00,14,12,92,9.5,0.0,0.0,
MOORE PARK,575,2018,12,11,9,11-dec-2018 09:00:00,13,11,92,9.5,0.0,1.8,
MOORE PARK,575,2018,12,11,10,11-dec-2018 10:00:00,14,12,89,9.9,0.0,5.8,
MOORE PARK,575,2018,12,11,11,11-dec-2018 11:00:00,14,14,89,10.1,0.0,12.3,
MOORE PARK,575,2018,12,11,12,11-dec-2018 12:00:00,14,12,87,10.4,0.0,17.0,
MOORE PARK,575,2018,12,11,13,11-dec-2018 13:00:00,15,14,84,10.5,0.1,8.5,
MOORE PARK,575,2018,12,11,14,11-dec-2018 14:00:00,14,15,87,10.2,0.0,3.8,
MOORE PARK,575,2018,12,11,15,11-dec-2018 15:00:00,14,13,90,10.2,1.1,1.4,
MOORE PARK,575,2018,12,11,16,11-dec-2018 16:00:00,14,14,90,10.5,0.7,0.0,
MOORE PARK,575,2018,12,11,17,11-dec-2018 17:00:00,17,10,91,10.7,1.5,0.0,
MOORE PARK,575,2018,12,11,18,11-dec-2018 18:00:00,13,4,89,9.9,0.4,0.0,
MOORE PARK,575,2018,12,11,19,11-dec-2018 19:00:00,13,5,91,9.4,0.1,0.0,
MOORE PARK,575,2018,12,11,20,11-dec-2018 20:00:00,7,3,91,9.2,0.0,0.0,
MOORE PARK,575,2018,12,11,21,11-dec-2018 21:00:00,27,4,92,9.3,0.0,0.0,
MOORE PARK,575,2018,12,11,22,11-dec-2018 22:00:00,28,8,90,8.9,0.0,0.0,
MOORE PARK,575,2018,12,11,23,11-dec-2018 23:00:00,,,,,,,
This file contains PROVISIONAL hourly synoptic data and is subject to change once fully quality controlled. Contact keith.lambkin@met.ie for queries.
