station_name,station_no,year,month,day,hour,date,dir,speed,rh,temp,rainfall,solar,
MOORE PARK,575,2018,11,8,0,08-nov-2018 00:00:00,10,3,88,6.3,0.2,0.0,
MOORE PARK,575,2018,11,8,1,08-nov-2018 01:00:00,11,5,92,5.2,0.0,0.0,
MOORE PARK,575,2018,11,8,2,08-nov-2018 02:00:00,11,3,89,5.3,0.0,0.0,
MOORE PARK,575,2018,11,8,3,08-nov-2018 03:00:00,16,5,87,5.1,0.1,0.0,
MOORE PARK,575,2018,11,8,4,08-nov-2018 04:00:00,5,2,91,4.3,0.0,0.0,
MOORE PARK,575,2018,11,8,5,08-nov-2018 05:00:00,9,5,88,4.6,0.0,0.0,
MOORE PARK,575,2018,11,8,6,08-nov-2018 06:00:00,8,2,92,3.4,0.0,0.0,
MOORE PARK,575,2018,11,8,7,08-nov-2018 07:00:00,7,5,94,4.1,0.0,0.5,
MOORE PARK,575,2018,11,8,8,08-nov-2018 08:00:00,10,5,88,5.9,0.1,7.9,
MOORE PARK,575,2018,11,8,9,08-nov-2018 09:00:00,7,5,87,6.1,0.0,30.5,
MOORE PARK,575,2018,11,8,10,08-nov-2018 10:00:00,3,2,87,7.3,0.0,36.1,
MOORE PARK,575,2018,11,8,11,08-nov-2018 11:00:00,11,4,82,9.1,0.0,30.5,
MOORE PARK,575,2018,11,8,12,08-nov-2018 12:00:00,15,8,84,10.0,0.1,19.7,
MOORE PARK,575,2018,11,8,13,08-nov-2018 13:00:00,17,8,87,10.4,0.4,36.7,
MOORE PARK,575,2018,11,8,14,08-nov-2018 14:00:00,13,4,85,10.5,0.1,51.2,
MOORE PARK,575,2018,11,8,15,08-nov-2018 15:00:00,14,3,77,10.9,0.0,25.4,
MOORE PARK,575,2018,11,8,16,08-nov-2018 16:00:00,8,5,81,9.9,0.0,8.5,
MOORE PARK,575,2018,11,8,17,08-nov-2018 17:00:00,10,4,85,9.5,0.0,0.0,
MOORE PARK,575,2018,11,8,18,08-nov-2018 18:00:00,12,3,90,8.3,0.0,0.0,
MOORE PARK,575,2018,11,8,19,08-nov-2018 19:00:00,13,3,91,7.6,0.0,0.0,
MOORE PARK,575,2018,11,8,20,08-nov-2018 20:00:00,11,3,93,6.8,0.0,0.0,
MOORE PARK,575,2018,11,8,21,08-nov-2018 21:00:00,12,3,95,6.3,0.0,0.0,
MOORE PARK,575,2018,11,8,22,08-nov-2018 22:00:00,12,4,95,6.7,0.0,0.0,
MOORE PARK,575,2018,11,8,23,08-nov-2018 23:00:00,11,5,95,5.9,0.0,0.0,
MOORE PARK,575,2018,11,9,0,09-nov-2018 00:00:00,11,4,96,5.1,0.1,0.0,
MOORE PARK,575,2018,11,9,1,09-nov-2018 01:00:00,11,4,97,4.8,0.2,0.0,
MOORE PARK,575,2018,11,9,2,09-nov-2018 02:00:00,11,6,96,4.8,0.0,0.0,
MOORE PARK,575,2018,11,9,3,09-nov-2018 03:00:00,8,5,92,5.8,0.0,0.0,
MOORE PARK,575,2018,11,9,4,09-nov-2018 04:00:00,15,5,88,8.0,0.0,0.0,
MOORE PARK,575,2018,11,9,5,09-nov-2018 05:00:00,15,8,81,9.1,0.0,0.0,
MOORE PARK,575,2018,11,9,6,09-nov-2018 06:00:00,15,10,77,9.7,0.2,0.0,
MOORE PARK,575,2018,11,9,7,09-nov-2018 07:00:00,15,15,79,10.2,0.0,0.1,
MOORE PARK,575,2018,11,9,8,09-nov-2018 08:00:00,15,14,76,10.7,0.0,5.0,
MOORE PARK,575,2018,11,9,9,09-nov-2018 09:00:00,14,16,76,11.0,0.0,13.7,
MOORE PARK,575,2018,11,9,10,09-nov-2018 10:00:00,15,17,81,11.0,0.2,3.6,
MOORE PARK,575,2018,11,9,11,09-nov-2018 11:00:00,14,17,90,10.4,3.2,6.2,
MOORE PARK,575,2018,11,9,12,09-nov-2018 12:00:00,15,20,91,10.9,4.6,9.7,
MOORE PARK,575,2018,11,9,13,09-nov-2018 13:00:00,16,22,92,11.6,5.2,17.9,
MOORE PARK,575,2018,11,9,14,09-nov-2018 14:00:00,18,20,89,12.5,0.8,17.5,
MOORE PARK,575,2018,11,9,15,09-nov-2018 15:00:00,18,12,89,12.8,0.2,19.7,
MOORE PARK,575,2018,11,9,16,09-nov-2018 16:00:00,23,12,79,11.6,0.2,9.9,
MOORE PARK,575,2018,11,9,17,09-nov-2018 17:00:00,22,6,79,11.2,0.2,0.0,
MOORE PARK,575,2018,11,9,18,09-nov-2018 18:00:00,20,4,77,10.6,0.0,0.0,
MOORE PARK,575,2018,11,9,19,09-nov-2018 19:00:00,19,6,83,10.0,0.0,0.0,
MOORE PARK,575,2018,11,9,20,09-nov-2018 20:00:00,23,5,77,9.8,0.0,0.0,
MOORE PARK,575,2018,11,9,21,09-nov-2018 21:00:00,15,4,81,8.4,0.0,0.0,
MOORE PARK,575,2018,11,9,22,09-nov-2018 22:00:00,17,3,84,7.9,0.0,0.0,
MOORE PARK,575,2018,11,9,23,09-nov-2018 23:00:00,,,,,,,
This file contains PROVISIONAL hourly synoptic data and is subject to change once fully quality controlled. Contact keith.lambkin@met.ie for queries.
