station_name,station_no,year,month,day,hour,date,dir,speed,rh,temp,rainfall,solar,
MOORE PARK,575,2018,10,17,0,17-oct-2018 00:00:00,5,2,96,6.4,0.0,0.0,
MOORE PARK,575,2018,10,17,1,17-oct-2018 01:00:00,7,2,96,6.0,0.0,0.0,
MOORE PARK,575,2018,10,17,2,17-oct-2018 02:00:00,7,2,97,6.3,0.0,0.0,
MOORE PARK,575,2018,10,17,3,17-oct-2018 03:00:00,5,2,97,7.0,0.1,0.0,
MOORE PARK,575,2018,10,17,4,17-oct-2018 04:00:00,11,1,97,5.9,0.0,0.0,
MOORE PARK,575,2018,10,17,5,17-oct-2018 05:00:00,27,2,98,5.0,0.0,0.0,
MOORE PARK,575,2018,10,17,6,17-oct-2018 06:00:00,28,4,98,4.5,0.0,0.0,
MOORE PARK,575,2018,10,17,7,17-oct-2018 07:00:00,23,2,98,4.6,0.0,3.8,
MOORE PARK,575,2018,10,17,8,17-oct-2018 08:00:00,26,2,96,5.4,0.1,22.1,
MOORE PARK,575,2018,10,17,9,17-oct-2018 09:00:00,28,5,96,6.8,0.0,84.6,
MOORE PARK,575,2018,10,17,10,17-oct-2018 10:00:00,30,4,91,10.2,0.0,121.6,
MOORE PARK,575,2018,10,17,11,17-oct-2018 11:00:00,34,8,69,11.8,0.0,142.8,
MOORE PARK,575,2018,10,17,12,17-oct-2018 12:00:00,34,7,61,12.9,0.0,164.5,
MOORE PARK,575,2018,10,17,13,17-oct-2018 13:00:00,36,7,57,13.4,0.0,132.7,
MOORE PARK,575,2018,10,17,14,17-oct-2018 14:00:00,33,6,58,12.3,0.0,79.4,
MOORE PARK,575,2018,10,17,15,17-oct-2018 15:00:00,34,6,59,12.2,0.0,97.5,
MOORE PARK,575,2018,10,17,16,17-oct-2018 16:00:00,35,8,53,12.8,0.0,19.1,
MOORE PARK,575,2018,10,17,17,17-oct-2018 17:00:00,33,5,57,11.7,0.0,2.6,
MOORE PARK,575,2018,10,17,18,17-oct-2018 18:00:00,33,4,63,10.9,0.0,0.0,
MOORE PARK,575,2018,10,17,19,17-oct-2018 19:00:00,33,5,69,9.9,0.0,0.0,
MOORE PARK,575,2018,10,17,20,17-oct-2018 20:00:00,28,3,79,7.5,0.0,0.0,
MOORE PARK,575,2018,10,17,21,17-oct-2018 21:00:00,26,2,86,5.7,0.0,0.0,
MOORE PARK,575,2018,10,17,22,17-oct-2018 22:00:00,27,2,88,4.6,0.0,0.0,
MOORE PARK,575,2018,10,17,23,17-oct-2018 23:00:00,26,1,94,3.8,0.0,0.0,
MOORE PARK,575,2018,10,18,0,18-oct-2018 00:00:00,5,1,95,2.7,0.0,0.0,
MOORE PARK,575,2018,10,18,1,18-oct-2018 01:00:00,6,1,95,2.2,0.0,0.0,
MOORE PARK,575,2018,10,18,2,18-oct-2018 02:00:00,35,1,95,1.2,0.0,0.0,
MOORE PARK,575,2018,10,18,3,18-oct-2018 03:00:00,12,1,95,0.8,0.0,0.0,
MOORE PARK,575,2018,10,18,4,18-oct-2018 04:00:00,29,3,96,0.3,0.0,0.0,
MOORE PARK,575,2018,10,18,5,18-oct-2018 05:00:00,31,2,96,-0.1,0.0,0.0,
MOORE PARK,575,2018,10,18,6,18-oct-2018 06:00:00,1,1,97,-0.5,0.0,0.0,
MOORE PARK,575,2018,10,18,7,18-oct-2018 07:00:00,18,0,97,-0.6,0.0,8.2,
MOORE PARK,575,2018,10,18,8,18-oct-2018 08:00:00,28,2,97,0.0,0.0,45.2,
MOORE PARK,575,2018,10,18,9,18-oct-2018 09:00:00,26,2,96,1.9,0.0,105.0,
MOORE PARK,575,2018,10,18,10,18-oct-2018 10:00:00,33,1,94,4.9,0.0,146.0,
MOORE PARK,575,2018,10,18,11,18-oct-2018 11:00:00,34,1,84,8.2,0.0,169.3,
MOORE PARK,575,2018,10,18,12,18-oct-2018 12:00:00,31,1,70,11.2,0.0,174.3,
MOORE PARK,575,2018,10,18,13,18-oct-2018 13:00:00,11,4,59,12.8,0.0,147.2,
MOORE PARK,575,2018,10,18,14,18-oct-2018 14:00:00,11,5,58,13.5,0.0,143.9,
MOORE PARK,575,2018,10,18,15,18-oct-2018 15:00:00,11,4,59,13.8,0.0,99.6,
MOORE PARK,575,2018,10,18,16,18-oct-2018 16:00:00,16,7,60,13.0,0.0,14.6,
MOORE PARK,575,2018,10,18,17,18-oct-2018 17:00:00,18,3,69,11.7,0.0,0.4,
MOORE PARK,575,2018,10,18,18,18-oct-2018 18:00:00,16,1,76,11.2,0.0,0.0,
MOORE PARK,575,2018,10,18,19,18-oct-2018 19:00:00,10,2,76,10.6,0.0,0.0,
MOORE PARK,575,2018,10,18,20,18-oct-2018 20:00:00,10,3,84,9.8,0.0,0.0,
MOORE PARK,575,2018,10,18,21,18-oct-2018 21:00:00,11,2,85,9.2,0.0,0.0,
MOORE PARK,575,2018,10,18,22,18-oct-2018 22:00:00,11,4,86,9.2,0.0,0.0,
MOORE PARK,575,2018,10,18,23,18-oct-2018 23:00:00,,,,,,,
This file contains PROVISIONAL hourly synoptic data and is subject to change once fully quality controlled. Contact keith.lambkin@met.ie for queries.
