station_name,station_no,year,month,day,hour,date,dir,speed,rh,temp,rainfall,solar,
MOORE PARK,575,2019,8,25,0,25-aug-2019 00:00:00,28,5,90,15.7,0.0,0.0,
MOORE PARK,575,2019,8,25,1,25-aug-2019 01:00:00,28,8,90,15.6,0.0,0.0,
MOORE PARK,575,2019,8,25,2,25-aug-2019 02:00:00,29,7,90,15.2,0.0,0.0,
MOORE PARK,575,2019,8,25,3,25-aug-2019 03:00:00,29,7,86,14.9,0.0,0.0,
MOORE PARK,575,2019,8,25,4,25-aug-2019 04:00:00,28,5,87,14.1,0.0,0.0,
MOORE PARK,575,2019,8,25,5,25-aug-2019 05:00:00,29,5,89,13.6,0.0,2.2,
MOORE PARK,575,2019,8,25,6,25-aug-2019 06:00:00,29,5,89,13.7,0.0,33.6,
MOORE PARK,575,2019,8,25,7,25-aug-2019 07:00:00,28,6,84,14.4,0.0,82.1,
MOORE PARK,575,2019,8,25,8,25-aug-2019 08:00:00,28,6,80,15.3,0.0,130.3,
MOORE PARK,575,2019,8,25,9,25-aug-2019 09:00:00,29,6,77,16.6,0.0,189.6,
MOORE PARK,575,2019,8,25,10,25-aug-2019 10:00:00,32,8,69,17.5,0.0,228.4,
MOORE PARK,575,2019,8,25,11,25-aug-2019 11:00:00,32,7,67,18.4,0.0,252.5,
MOORE PARK,575,2019,8,25,12,25-aug-2019 12:00:00,30,7,65,18.7,0.0,243.0,
MOORE PARK,575,2019,8,25,13,25-aug-2019 13:00:00,28,8,60,19.3,0.0,179.7,
MOORE PARK,575,2019,8,25,14,25-aug-2019 14:00:00,31,6,61,19.3,0.0,182.1,
MOORE PARK,575,2019,8,25,15,25-aug-2019 15:00:00,33,5,60,19.3,0.0,111.6,
MOORE PARK,575,2019,8,25,16,25-aug-2019 16:00:00,32,6,66,18.8,0.0,85.7,
MOORE PARK,575,2019,8,25,17,25-aug-2019 17:00:00,32,5,65,18.9,0.0,83.0,
MOORE PARK,575,2019,8,25,18,25-aug-2019 18:00:00,31,5,67,18.4,0.0,40.7,
MOORE PARK,575,2019,8,25,19,25-aug-2019 19:00:00,30,4,71,17.5,0.0,3.7,
MOORE PARK,575,2019,8,25,20,25-aug-2019 20:00:00,29,4,81,15.0,0.0,0.0,
MOORE PARK,575,2019,8,25,21,25-aug-2019 21:00:00,31,2,84,13.7,0.0,0.0,
MOORE PARK,575,2019,8,25,22,25-aug-2019 22:00:00,35,3,90,12.3,0.0,0.0,
MOORE PARK,575,2019,8,25,23,25-aug-2019 23:00:00,28,3,92,11.8,0.0,0.0,
MOORE PARK,575,2019,8,26,0,26-aug-2019 00:00:00,31,2,94,10.2,0.0,0.0,
MOORE PARK,575,2019,8,26,1,26-aug-2019 01:00:00,29,3,95,10.2,0.0,0.0,
MOORE PARK,575,2019,8,26,2,26-aug-2019 02:00:00,33,0,95,9.6,0.0,0.0,
MOORE PARK,575,2019,8,26,3,26-aug-2019 03:00:00,34,1,96,8.7,0.0,0.0,
MOORE PARK,575,2019,8,26,4,26-aug-2019 04:00:00,22,1,97,8.1,0.0,0.0,
MOORE PARK,575,2019,8,26,5,26-aug-2019 05:00:00,33,1,97,8.1,0.0,1.0,
MOORE PARK,575,2019,8,26,6,26-aug-2019 06:00:00,19,1,97,8.6,0.0,12.8,
MOORE PARK,575,2019,8,26,7,26-aug-2019 07:00:00,35,1,97,9.5,0.0,,
MOORE PARK,575,2019,8,26,8,26-aug-2019 08:00:00,,,,,,,
MOORE PARK,575,2019,8,26,9,26-aug-2019 09:00:00,,,,,,,
MOORE PARK,575,2019,8,26,10,26-aug-2019 10:00:00,,,,,,,
MOORE PARK,575,2019,8,26,11,26-aug-2019 11:00:00,,,,,,,
MOORE PARK,575,2019,8,26,12,26-aug-2019 12:00:00,,,,,,,
MOORE PARK,575,2019,8,26,13,26-aug-2019 13:00:00,,,,,,,
MOORE PARK,575,2019,8,26,14,26-aug-2019 14:00:00,,,,,,,
MOORE PARK,575,2019,8,26,15,26-aug-2019 15:00:00,,,,,,,
MOORE PARK,575,2019,8,26,16,26-aug-2019 16:00:00,,,,,,,
MOORE PARK,575,2019,8,26,17,26-aug-2019 17:00:00,,,,,,,
MOORE PARK,575,2019,8,26,18,26-aug-2019 18:00:00,,,,,,,
MOORE PARK,575,2019,8,26,19,26-aug-2019 19:00:00,,,,,,,
MOORE PARK,575,2019,8,26,20,26-aug-2019 20:00:00,,,,,,,
MOORE PARK,575,2019,8,26,21,26-aug-2019 21:00:00,,,,,,,
MOORE PARK,575,2019,8,26,22,26-aug-2019 22:00:00,,,,,,,
MOORE PARK,575,2019,8,26,23,26-aug-2019 23:00:00,,,,,,,
This file contains PROVISIONAL hourly synoptic data and is subject to change once fully quality controlled. Contact keith.lambkin@met.ie for queries.
