station_name,station_no,year,month,day,hour,date,dir,speed,rh,temp,rainfall,solar,
MOORE PARK,575,2019,2,1,0,01-feb-2019 00:00:00,7,12,86,2.5,0.7,0.0,
MOORE PARK,575,2019,2,1,1,01-feb-2019 01:00:00,7,13,80,2.6,0.0,0.0,
MOORE PARK,575,2019,2,1,2,01-feb-2019 02:00:00,6,9,87,1.9,0.0,0.0,
MOORE PARK,575,2019,2,1,3,01-feb-2019 03:00:00,5,11,85,2.0,0.0,0.0,
MOORE PARK,575,2019,2,1,4,01-feb-2019 04:00:00,4,6,86,1.8,0.0,0.0,
MOORE PARK,575,2019,2,1,5,01-feb-2019 05:00:00,3,11,82,1.8,0.0,0.0,
MOORE PARK,575,2019,2,1,6,01-feb-2019 06:00:00,4,11,76,1.8,0.0,0.0,
MOORE PARK,575,2019,2,1,7,01-feb-2019 07:00:00,10,7,77,1.5,0.0,0.0,
MOORE PARK,575,2019,2,1,8,01-feb-2019 08:00:00,28,4,76,1.5,0.0,5.8,
MOORE PARK,575,2019,2,1,9,01-feb-2019 09:00:00,1,4,73,1.4,0.0,31.1,
MOORE PARK,575,2019,2,1,10,01-feb-2019 10:00:00,1,9,71,1.8,0.0,58.7,
MOORE PARK,575,2019,2,1,11,01-feb-2019 11:00:00,34,4,77,1.7,0.0,60.0,
MOORE PARK,575,2019,2,1,12,01-feb-2019 12:00:00,32,4,79,1.9,0.0,110.4,
MOORE PARK,575,2019,2,1,13,01-feb-2019 13:00:00,33,7,73,3.4,0.0,126.4,
MOORE PARK,575,2019,2,1,14,01-feb-2019 14:00:00,35,9,69,3.9,0.0,102.7,
MOORE PARK,575,2019,2,1,15,01-feb-2019 15:00:00,35,8,68,3.8,0.0,66.8,
MOORE PARK,575,2019,2,1,16,01-feb-2019 16:00:00,34,9,67,3.3,0.0,21.6,
MOORE PARK,575,2019,2,1,17,01-feb-2019 17:00:00,31,5,69,2.4,0.0,0.5,
MOORE PARK,575,2019,2,1,18,01-feb-2019 18:00:00,33,7,70,1.9,0.0,0.0,
MOORE PARK,575,2019,2,1,19,01-feb-2019 19:00:00,33,8,71,2.1,0.0,0.0,
MOORE PARK,575,2019,2,1,20,01-feb-2019 20:00:00,30,6,78,1.3,0.0,0.0,
MOORE PARK,575,2019,2,1,21,01-feb-2019 21:00:00,29,7,78,1.1,0.0,0.0,
MOORE PARK,575,2019,2,1,22,01-feb-2019 22:00:00,32,3,82,0.1,0.0,0.0,
MOORE PARK,575,2019,2,1,23,01-feb-2019 23:00:00,20,3,85,-0.6,0.0,0.0,
MOORE PARK,575,2019,2,2,0,02-feb-2019 00:00:00,30,6,82,-0.2,0.0,0.0,
MOORE PARK,575,2019,2,2,1,02-feb-2019 01:00:00,31,8,78,0.7,0.0,0.0,
MOORE PARK,575,2019,2,2,2,02-feb-2019 02:00:00,33,7,75,1.1,0.0,0.0,
MOORE PARK,575,2019,2,2,3,02-feb-2019 03:00:00,21,5,86,-0.8,0.0,0.0,
MOORE PARK,575,2019,2,2,4,02-feb-2019 04:00:00,22,6,86,-1.4,0.0,0.0,
MOORE PARK,575,2019,2,2,5,02-feb-2019 05:00:00,25,4,86,-1.4,0.0,0.0,
MOORE PARK,575,2019,2,2,6,02-feb-2019 06:00:00,29,6,84,-0.6,0.0,0.0,
MOORE PARK,575,2019,2,2,7,02-feb-2019 07:00:00,28,4,87,-1.6,0.0,0.0,
MOORE PARK,575,2019,2,2,8,02-feb-2019 08:00:00,25,7,87,-1.6,0.0,5.1,
MOORE PARK,575,2019,2,2,9,02-feb-2019 09:00:00,24,6,80,-0.2,0.0,46.6,
MOORE PARK,575,2019,2,2,10,02-feb-2019 10:00:00,27,3,78,0.7,0.0,86.1,
MOORE PARK,575,2019,2,2,11,02-feb-2019 11:00:00,28,6,75,2.3,0.0,115.3,
MOORE PARK,575,2019,2,2,12,02-feb-2019 12:00:00,28,8,73,4.3,0.0,127.5,
MOORE PARK,575,2019,2,2,13,02-feb-2019 13:00:00,30,10,70,5.2,0.0,111.9,
MOORE PARK,575,2019,2,2,14,02-feb-2019 14:00:00,27,8,71,5.6,0.0,92.2,
MOORE PARK,575,2019,2,2,15,02-feb-2019 15:00:00,28,9,74,4.9,0.0,28.3,
MOORE PARK,575,2019,2,2,16,02-feb-2019 16:00:00,28,10,83,3.1,0.0,24.7,
MOORE PARK,575,2019,2,2,17,02-feb-2019 17:00:00,28,4,86,2.6,0.0,1.3,
MOORE PARK,575,2019,2,2,18,02-feb-2019 18:00:00,28,4,90,1.6,0.0,0.0,
MOORE PARK,575,2019,2,2,19,02-feb-2019 19:00:00,2,1,92,0.0,0.0,0.0,
MOORE PARK,575,2019,2,2,20,02-feb-2019 20:00:00,11,2,95,-1.0,0.0,0.0,
MOORE PARK,575,2019,2,2,21,02-feb-2019 21:00:00,11,2,95,-1.6,0.0,0.0,
MOORE PARK,575,2019,2,2,22,02-feb-2019 22:00:00,14,1,97,-2.1,0.0,,
MOORE PARK,575,2019,2,2,23,02-feb-2019 23:00:00,,,,,,,
This file contains PROVISIONAL hourly synoptic data and is subject to change once fully quality controlled. Contact keith.lambkin@met.ie for queries.
