station_name,station_no,year,month,day,hour,date,dir,speed,rh,temp,rainfall,solar,
MOORE PARK,575,2019,1,2,0,02-jan-2019 00:00:00,24,3,93,8.1,0.0,0.0,
MOORE PARK,575,2019,1,2,1,02-jan-2019 01:00:00,15,2,92,7.7,0.0,0.0,
MOORE PARK,575,2019,1,2,2,02-jan-2019 02:00:00,20,3,94,7.7,0.0,0.0,
MOORE PARK,575,2019,1,2,3,02-jan-2019 03:00:00,9,2,95,7.7,0.0,0.0,
MOORE PARK,575,2019,1,2,4,02-jan-2019 04:00:00,10,5,95,7.6,0.2,0.0,
MOORE PARK,575,2019,1,2,5,02-jan-2019 05:00:00,10,6,95,7.0,0.2,0.0,
MOORE PARK,575,2019,1,2,6,02-jan-2019 06:00:00,11,3,93,6.9,0.0,0.0,
MOORE PARK,575,2019,1,2,7,02-jan-2019 07:00:00,13,5,89,6.8,0.0,0.0,
MOORE PARK,575,2019,1,2,8,02-jan-2019 08:00:00,9,5,88,6.8,0.0,0.7,
MOORE PARK,575,2019,1,2,9,02-jan-2019 09:00:00,15,2,88,6.8,0.0,13.6,
MOORE PARK,575,2019,1,2,10,02-jan-2019 10:00:00,14,4,88,7.3,0.0,24.5,
MOORE PARK,575,2019,1,2,11,02-jan-2019 11:00:00,11,5,86,7.6,0.0,35.8,
MOORE PARK,575,2019,1,2,12,02-jan-2019 12:00:00,11,7,87,7.7,0.0,43.0,
MOORE PARK,575,2019,1,2,13,02-jan-2019 13:00:00,11,7,85,7.9,0.0,33.8,
MOORE PARK,575,2019,1,2,14,02-jan-2019 14:00:00,10,5,82,8.1,0.0,25.6,
MOORE PARK,575,2019,1,2,15,02-jan-2019 15:00:00,10,5,79,8.3,0.0,14.2,
MOORE PARK,575,2019,1,2,16,02-jan-2019 16:00:00,12,5,77,8.2,0.0,1.6,
MOORE PARK,575,2019,1,2,17,02-jan-2019 17:00:00,12,4,80,7.8,0.0,0.0,
MOORE PARK,575,2019,1,2,18,02-jan-2019 18:00:00,11,5,84,7.5,0.0,0.0,
MOORE PARK,575,2019,1,2,19,02-jan-2019 19:00:00,11,4,86,7.4,0.0,0.0,
MOORE PARK,575,2019,1,2,20,02-jan-2019 20:00:00,10,3,85,7.5,0.0,0.0,
MOORE PARK,575,2019,1,2,21,02-jan-2019 21:00:00,11,3,86,7.4,0.0,0.0,
MOORE PARK,575,2019,1,2,22,02-jan-2019 22:00:00,9,4,86,7.4,0.0,0.0,
MOORE PARK,575,2019,1,2,23,02-jan-2019 23:00:00,10,5,87,7.1,0.0,0.0,
MOORE PARK,575,2019,1,3,0,03-jan-2019 00:00:00,11,4,89,7.1,0.0,0.0,
MOORE PARK,575,2019,1,3,1,03-jan-2019 01:00:00,11,3,89,7.0,0.0,0.0,
MOORE PARK,575,2019,1,3,2,03-jan-2019 02:00:00,11,4,89,6.9,0.0,0.0,
MOORE PARK,575,2019,1,3,3,03-jan-2019 03:00:00,8,3,87,7.0,0.0,0.0,
MOORE PARK,575,2019,1,3,4,03-jan-2019 04:00:00,12,2,87,6.9,0.0,0.0,
MOORE PARK,575,2019,1,3,5,03-jan-2019 05:00:00,12,3,90,6.7,0.1,0.0,
MOORE PARK,575,2019,1,3,6,03-jan-2019 06:00:00,11,5,94,6.7,0.2,0.0,
MOORE PARK,575,2019,1,3,7,03-jan-2019 07:00:00,10,4,95,6.8,0.4,0.0,
MOORE PARK,575,2019,1,3,8,03-jan-2019 08:00:00,12,3,95,6.9,0.1,0.1,
MOORE PARK,575,2019,1,3,9,03-jan-2019 09:00:00,10,3,95,7.2,0.1,2.1,
MOORE PARK,575,2019,1,3,10,03-jan-2019 10:00:00,13,3,95,7.5,0.2,11.8,
MOORE PARK,575,2019,1,3,11,03-jan-2019 11:00:00,10,3,95,7.8,0.1,20.2,
MOORE PARK,575,2019,1,3,12,03-jan-2019 12:00:00,17,5,80,8.5,0.0,21.9,
MOORE PARK,575,2019,1,3,13,03-jan-2019 13:00:00,14,5,78,8.4,0.0,18.8,
MOORE PARK,575,2019,1,3,14,03-jan-2019 14:00:00,17,7,74,8.2,0.0,15.6,
MOORE PARK,575,2019,1,3,15,03-jan-2019 15:00:00,15,7,71,7.8,0.0,8.8,
MOORE PARK,575,2019,1,3,16,03-jan-2019 16:00:00,14,6,67,7.5,0.0,0.6,
MOORE PARK,575,2019,1,3,17,03-jan-2019 17:00:00,12,5,69,7.3,0.0,0.0,
MOORE PARK,575,2019,1,3,18,03-jan-2019 18:00:00,12,5,70,7.2,0.0,0.0,
MOORE PARK,575,2019,1,3,19,03-jan-2019 19:00:00,12,5,71,7.2,0.0,0.0,
MOORE PARK,575,2019,1,3,20,03-jan-2019 20:00:00,12,6,67,7.3,0.0,0.0,
MOORE PARK,575,2019,1,3,21,03-jan-2019 21:00:00,14,7,66,7.2,0.0,0.0,
MOORE PARK,575,2019,1,3,22,03-jan-2019 22:00:00,12,6,68,7.1,0.0,0.0,
MOORE PARK,575,2019,1,3,23,03-jan-2019 23:00:00,,,,,,,
This file contains PROVISIONAL hourly synoptic data and is subject to change once fully quality controlled. Contact keith.lambkin@met.ie for queries.
