station_name,station_no,year,month,day,hour,date,dir,speed,rh,temp,rainfall,solar,
MOORE PARK,575,2019,6,15,0,15-jun-2019 00:00:00,29,4,87,8.9,0.0,0.0,
MOORE PARK,575,2019,6,15,1,15-jun-2019 01:00:00,28,3,87,8.2,0.0,0.0,
MOORE PARK,575,2019,6,15,2,15-jun-2019 02:00:00,31,3,90,6.7,0.0,0.0,
MOORE PARK,575,2019,6,15,3,15-jun-2019 03:00:00,30,3,92,5.9,0.0,0.0,
MOORE PARK,575,2019,6,15,4,15-jun-2019 04:00:00,29,3,93,5.2,0.0,6.7,
MOORE PARK,575,2019,6,15,5,15-jun-2019 05:00:00,28,3,93,5.8,0.0,41.9,
MOORE PARK,575,2019,6,15,6,15-jun-2019 06:00:00,7,2,88,7.5,0.0,96.2,
MOORE PARK,575,2019,6,15,7,15-jun-2019 07:00:00,28,3,84,9.2,0.0,155.6,
MOORE PARK,575,2019,6,15,8,15-jun-2019 08:00:00,26,4,75,11.4,0.0,203.5,
MOORE PARK,575,2019,6,15,9,15-jun-2019 09:00:00,30,6,61,12.4,0.0,126.0,
MOORE PARK,575,2019,6,15,10,15-jun-2019 10:00:00,24,5,66,12.0,0.0,153.9,
MOORE PARK,575,2019,6,15,11,15-jun-2019 11:00:00,24,4,58,13.1,0.0,195.6,
MOORE PARK,575,2019,6,15,12,15-jun-2019 12:00:00,22,5,51,14.9,0.0,79.4,
MOORE PARK,575,2019,6,15,13,15-jun-2019 13:00:00,27,6,56,13.8,0.0,81.1,
MOORE PARK,575,2019,6,15,14,15-jun-2019 14:00:00,23,7,62,12.8,0.0,100.8,
MOORE PARK,575,2019,6,15,15,15-jun-2019 15:00:00,20,5,63,13.1,0.0,80.3,
MOORE PARK,575,2019,6,15,16,15-jun-2019 16:00:00,18,6,70,12.5,0.1,30.8,
MOORE PARK,575,2019,6,15,17,15-jun-2019 17:00:00,7,2,85,10.6,2.9,102.3,
MOORE PARK,575,2019,6,15,18,15-jun-2019 18:00:00,10,3,79,11.9,0.0,65.5,
MOORE PARK,575,2019,6,15,19,15-jun-2019 19:00:00,19,3,68,12.9,0.0,32.8,
MOORE PARK,575,2019,6,15,20,15-jun-2019 20:00:00,20,4,69,12.6,0.0,5.5,
MOORE PARK,575,2019,6,15,21,15-jun-2019 21:00:00,19,4,75,10.8,0.0,0.0,
MOORE PARK,575,2019,6,15,22,15-jun-2019 22:00:00,20,5,81,9.9,0.0,0.0,
MOORE PARK,575,2019,6,15,23,15-jun-2019 23:00:00,19,1,83,9.2,0.0,0.0,
MOORE PARK,575,2019,6,16,0,16-jun-2019 00:00:00,3,3,93,7.3,0.0,0.0,
MOORE PARK,575,2019,6,16,1,16-jun-2019 01:00:00,10,3,92,7.7,0.0,0.0,
MOORE PARK,575,2019,6,16,2,16-jun-2019 02:00:00,9,3,93,7.7,0.0,0.0,
MOORE PARK,575,2019,6,16,3,16-jun-2019 03:00:00,7,3,93,7.9,0.0,0.0,
MOORE PARK,575,2019,6,16,4,16-jun-2019 04:00:00,9,3,93,8.1,0.0,0.9,
MOORE PARK,575,2019,6,16,5,16-jun-2019 05:00:00,11,1,93,8.3,0.0,12.6,
MOORE PARK,575,2019,6,16,6,16-jun-2019 06:00:00,11,5,92,9.0,0.0,41.5,
MOORE PARK,575,2019,6,16,7,16-jun-2019 07:00:00,23,1,90,10.5,0.0,1.0,
MOORE PARK,575,2019,6,16,8,16-jun-2019 08:00:00,,,,,,,
MOORE PARK,575,2019,6,16,9,16-jun-2019 09:00:00,,,,,,,
MOORE PARK,575,2019,6,16,10,16-jun-2019 10:00:00,,,,,,,
MOORE PARK,575,2019,6,16,11,16-jun-2019 11:00:00,,,,,,,
MOORE PARK,575,2019,6,16,12,16-jun-2019 12:00:00,,,,,,,
MOORE PARK,575,2019,6,16,13,16-jun-2019 13:00:00,,,,,,,
MOORE PARK,575,2019,6,16,14,16-jun-2019 14:00:00,,,,,,,
MOORE PARK,575,2019,6,16,15,16-jun-2019 15:00:00,,,,,,,
MOORE PARK,575,2019,6,16,16,16-jun-2019 16:00:00,,,,,,,
MOORE PARK,575,2019,6,16,17,16-jun-2019 17:00:00,,,,,,,
MOORE PARK,575,2019,6,16,18,16-jun-2019 18:00:00,,,,,,,
MOORE PARK,575,2019,6,16,19,16-jun-2019 19:00:00,,,,,,,
MOORE PARK,575,2019,6,16,20,16-jun-2019 20:00:00,,,,,,,
MOORE PARK,575,2019,6,16,21,16-jun-2019 21:00:00,,,,,,,
MOORE PARK,575,2019,6,16,22,16-jun-2019 22:00:00,,,,,,,
MOORE PARK,575,2019,6,16,23,16-jun-2019 23:00:00,,,,,,,
This file contains PROVISIONAL hourly synoptic data and is subject to change once fully quality controlled. Contact keith.lambkin@met.ie for queries.
