station_name,station_no,year,month,day,hour,date,dir,speed,rh,temp,rainfall,solar,
MOORE PARK,575,2019,9,1,0,01-sep-2019 00:00:00,29,2,89,9.9,0.0,0.0,
MOORE PARK,575,2019,9,1,1,01-sep-2019 01:00:00,32,2,91,9.4,0.0,0.0,
MOORE PARK,575,2019,9,1,2,01-sep-2019 02:00:00,30,3,92,9.4,0.0,0.0,
MOORE PARK,575,2019,9,1,3,01-sep-2019 03:00:00,31,3,90,9.2,0.0,0.0,
MOORE PARK,575,2019,9,1,4,01-sep-2019 04:00:00,30,3,88,9.0,0.0,0.0,
MOORE PARK,575,2019,9,1,5,01-sep-2019 05:00:00,27,3,89,8.4,0.0,0.6,
MOORE PARK,575,2019,9,1,6,01-sep-2019 06:00:00,27,3,91,7.9,0.0,22.6,
MOORE PARK,575,2019,9,1,7,01-sep-2019 07:00:00,27,3,91,8.9,0.0,82.5,
MOORE PARK,575,2019,9,1,8,01-sep-2019 08:00:00,28,4,79,11.7,0.0,137.3,
MOORE PARK,575,2019,9,1,9,01-sep-2019 09:00:00,28,8,74,13.4,0.0,188.1,
MOORE PARK,575,2019,9,1,10,01-sep-2019 10:00:00,27,8,70,14.4,0.0,142.5,
MOORE PARK,575,2019,9,1,11,01-sep-2019 11:00:00,26,10,68,14.4,0.0,131.8,
MOORE PARK,575,2019,9,1,12,01-sep-2019 12:00:00,27,6,65,15.4,0.0,131.1,
MOORE PARK,575,2019,9,1,13,01-sep-2019 13:00:00,26,11,58,15.8,0.0,130.5,
MOORE PARK,575,2019,9,1,14,01-sep-2019 14:00:00,27,10,63,16.0,0.0,141.7,
MOORE PARK,575,2019,9,1,15,01-sep-2019 15:00:00,26,9,61,16.3,0.0,100.0,
MOORE PARK,575,2019,9,1,16,01-sep-2019 16:00:00,26,9,65,16.7,0.0,86.2,
MOORE PARK,575,2019,9,1,17,01-sep-2019 17:00:00,28,11,59,16.4,0.0,42.1,
MOORE PARK,575,2019,9,1,18,01-sep-2019 18:00:00,26,8,66,15.6,0.0,15.6,
MOORE PARK,575,2019,9,1,19,01-sep-2019 19:00:00,26,7,71,14.7,0.0,0.6,
MOORE PARK,575,2019,9,1,20,01-sep-2019 20:00:00,27,7,75,13.9,0.0,0.0,
MOORE PARK,575,2019,9,1,21,01-sep-2019 21:00:00,29,2,81,13.0,0.0,0.0,
MOORE PARK,575,2019,9,1,22,01-sep-2019 22:00:00,3,2,88,11.6,0.0,0.0,
MOORE PARK,575,2019,9,1,23,01-sep-2019 23:00:00,20,0,91,11.3,0.0,0.0,
MOORE PARK,575,2019,9,2,0,02-sep-2019 00:00:00,22,3,92,10.9,0.0,0.0,
MOORE PARK,575,2019,9,2,1,02-sep-2019 01:00:00,23,1,91,9.9,0.0,0.0,
MOORE PARK,575,2019,9,2,2,02-sep-2019 02:00:00,8,2,94,10.1,0.0,0.0,
MOORE PARK,575,2019,9,2,3,02-sep-2019 03:00:00,10,2,94,10.4,0.0,0.0,
MOORE PARK,575,2019,9,2,4,02-sep-2019 04:00:00,1,1,93,9.8,0.0,0.0,
MOORE PARK,575,2019,9,2,5,02-sep-2019 05:00:00,32,1,95,9.6,0.0,0.3,
MOORE PARK,575,2019,9,2,6,02-sep-2019 06:00:00,8,3,95,10.2,0.0,12.9,
MOORE PARK,575,2019,9,2,7,02-sep-2019 07:00:00,8,2,94,11.3,0.0,,
MOORE PARK,575,2019,9,2,8,02-sep-2019 08:00:00,,,,,,,
MOORE PARK,575,2019,9,2,9,02-sep-2019 09:00:00,,,,,,,
MOORE PARK,575,2019,9,2,10,02-sep-2019 10:00:00,,,,,,,
MOORE PARK,575,2019,9,2,11,02-sep-2019 11:00:00,,,,,,,
MOORE PARK,575,2019,9,2,12,02-sep-2019 12:00:00,,,,,,,
MOORE PARK,575,2019,9,2,13,02-sep-2019 13:00:00,,,,,,,
MOORE PARK,575,2019,9,2,14,02-sep-2019 14:00:00,,,,,,,
MOORE PARK,575,2019,9,2,15,02-sep-2019 15:00:00,,,,,,,
MOORE PARK,575,2019,9,2,16,02-sep-2019 16:00:00,,,,,,,
MOORE PARK,575,2019,9,2,17,02-sep-2019 17:00:00,,,,,,,
MOORE PARK,575,2019,9,2,18,02-sep-2019 18:00:00,,,,,,,
MOORE PARK,575,2019,9,2,19,02-sep-2019 19:00:00,,,,,,,
MOORE PARK,575,2019,9,2,20,02-sep-2019 20:00:00,,,,,,,
MOORE PARK,575,2019,9,2,21,02-sep-2019 21:00:00,,,,,,,
MOORE PARK,575,2019,9,2,22,02-sep-2019 22:00:00,,,,,,,
MOORE PARK,575,2019,9,2,23,02-sep-2019 23:00:00,,,,,,,
This file contains PROVISIONAL hourly synoptic data and is subject to change once fully quality controlled. Contact keith.lambkin@met.ie for queries.
