station_name,station_no,year,month,day,hour,date,dir,speed,rh,temp,rainfall,solar,
MULLINGAR,875,2016,12,31,0,31-dec-2016 00:00:00,23,10,82,10.1,0.0,0.0,
MULLINGAR,875,2016,12,31,1,31-dec-2016 01:00:00,21,9,85,9.4,0.0,0.0,
MULLINGAR,875,2016,12,31,2,31-dec-2016 02:00:00,21,6,87,8.1,0.0,0.0,
MULLINGAR,875,2016,12,31,3,31-dec-2016 03:00:00,22,9,86,8.5,0.0,0.0,
MULLINGAR,875,2016,12,31,4,31-dec-2016 04:00:00,22,6,86,8.8,0.0,0.0,
MULLINGAR,875,2016,12,31,5,31-dec-2016 05:00:00,22,9,83,9.1,0.0,0.0,
MULLINGAR,875,2016,12,31,6,31-dec-2016 06:00:00,22,9,84,8.9,0.0,0.0,
MULLINGAR,875,2016,12,31,7,31-dec-2016 07:00:00,22,8,84,8.9,0.0,0.0,
MULLINGAR,875,2016,12,31,8,31-dec-2016 08:00:00,22,9,81,9.1,0.0,0.3,
MULLINGAR,875,2016,12,31,9,31-dec-2016 09:00:00,21,10,82,9.1,0.0,5.5,
MULLINGAR,875,2016,12,31,10,31-dec-2016 10:00:00,22,10,83,9.1,0.0,9.1,
MULLINGAR,875,2016,12,31,11,31-dec-2016 11:00:00,22,11,82,9.2,0.0,13.5,
MULLINGAR,875,2016,12,31,12,31-dec-2016 12:00:00,23,10,80,9.3,0.0,15.1,
MULLINGAR,875,2016,12,31,13,31-dec-2016 13:00:00,22,10,80,9.4,0.0,13.1,
MULLINGAR,875,2016,12,31,14,31-dec-2016 14:00:00,22,11,82,9.3,0.0,19.4,
MULLINGAR,875,2016,12,31,15,31-dec-2016 15:00:00,22,10,83,9.1,0.0,16.6,
MULLINGAR,875,2016,12,31,16,31-dec-2016 16:00:00,21,11,82,8.9,0.0,1.3,
MULLINGAR,875,2016,12,31,17,31-dec-2016 17:00:00,21,9,81,8.9,0.0,0.0,
MULLINGAR,875,2016,12,31,18,31-dec-2016 18:00:00,22,10,81,9.2,0.0,0.0,
MULLINGAR,875,2016,12,31,19,31-dec-2016 19:00:00,22,9,82,9.1,0.0,0.0,
MULLINGAR,875,2016,12,31,20,31-dec-2016 20:00:00,21,8,93,8.2,1.5,0.0,
MULLINGAR,875,2016,12,31,21,31-dec-2016 21:00:00,27,10,94,8.1,2.1,0.0,
MULLINGAR,875,2016,12,31,22,31-dec-2016 22:00:00,32,9,91,5.9,2.2,0.0,
MULLINGAR,875,2016,12,31,23,31-dec-2016 23:00:00,33,4,92,5.2,0.9,0.0,
MULLINGAR,875,2017,1,1,0,01-jan-2017 00:00:00,32,4,93,5.2,0.2,0.0,
MULLINGAR,875,2017,1,1,1,01-jan-2017 01:00:00,32,5,90,4.3,0.1,0.0,
MULLINGAR,875,2017,1,1,2,01-jan-2017 02:00:00,32,5,92,3.5,0.0,0.0,
MULLINGAR,875,2017,1,1,3,01-jan-2017 03:00:00,32,4,90,3.1,0.0,0.0,
MULLINGAR,875,2017,1,1,4,01-jan-2017 04:00:00,33,4,90,2.4,0.0,0.0,
MULLINGAR,875,2017,1,1,5,01-jan-2017 05:00:00,34,6,92,1.9,0.0,0.0,
MULLINGAR,875,2017,1,1,6,01-jan-2017 06:00:00,33,7,92,1.8,0.0,0.0,
MULLINGAR,875,2017,1,1,7,01-jan-2017 07:00:00,34,8,92,1.9,0.0,0.0,
MULLINGAR,875,2017,1,1,8,01-jan-2017 08:00:00,34,7,91,1.9,0.0,0.3,
MULLINGAR,875,2017,1,1,9,01-jan-2017 09:00:00,35,7,89,1.8,0.0,17.1,
MULLINGAR,875,2017,1,1,10,01-jan-2017 10:00:00,35,9,87,2.5,0.0,47.1,
MULLINGAR,875,2017,1,1,11,01-jan-2017 11:00:00,36,7,83,3.5,0.0,69.5,
MULLINGAR,875,2017,1,1,12,01-jan-2017 12:00:00,35,6,76,4.4,0.0,78.3,
MULLINGAR,875,2017,1,1,13,01-jan-2017 13:00:00,1,8,66,5.1,0.0,69.8,
MULLINGAR,875,2017,1,1,14,01-jan-2017 14:00:00,35,7,72,5.2,0.0,36.3,
MULLINGAR,875,2017,1,1,15,01-jan-2017 15:00:00,1,8,72,5.2,0.0,15.2,
MULLINGAR,875,2017,1,1,16,01-jan-2017 16:00:00,35,7,75,4.7,0.0,0.9,
MULLINGAR,875,2017,1,1,17,01-jan-2017 17:00:00,1,9,74,4.3,0.0,0.0,
MULLINGAR,875,2017,1,1,18,01-jan-2017 18:00:00,36,5,78,3.3,0.0,0.0,
MULLINGAR,875,2017,1,1,19,01-jan-2017 19:00:00,35,7,76,3.3,0.0,0.0,
MULLINGAR,875,2017,1,1,20,01-jan-2017 20:00:00,1,5,72,3.2,0.0,0.0,
MULLINGAR,875,2017,1,1,21,01-jan-2017 21:00:00,35,5,75,2.3,0.0,0.0,
MULLINGAR,875,2017,1,1,22,01-jan-2017 22:00:00,35,5,79,2.0,0.0,0.0,
MULLINGAR,875,2017,1,1,23,01-jan-2017 23:00:00,35,4,80,1.6,0.0,0.0,
MULLINGAR,875,2017,1,2,0,02-jan-2017 00:00:00,36,5,82,1.2,0.0,0.0,
MULLINGAR,875,2017,1,2,1,02-jan-2017 01:00:00,1,5,78,1.4,0.0,0.0,
MULLINGAR,875,2017,1,2,2,02-jan-2017 02:00:00,36,5,78,1.1,0.0,0.0,
MULLINGAR,875,2017,1,2,3,02-jan-2017 03:00:00,34,4,80,0.5,0.0,0.0,
MULLINGAR,875,2017,1,2,4,02-jan-2017 04:00:00,36,5,82,0.3,0.0,0.0,
MULLINGAR,875,2017,1,2,5,02-jan-2017 05:00:00,34,2,83,-0.4,0.0,0.0,
MULLINGAR,875,2017,1,2,6,02-jan-2017 06:00:00,32,1,89,-1.7,0.0,0.0,
MULLINGAR,875,2017,1,2,7,02-jan-2017 07:00:00,34,2,90,-1.8,0.0,0.0,
MULLINGAR,875,2017,1,2,8,02-jan-2017 08:00:00,30,2,92,-3.7,0.0,0.7,
MULLINGAR,875,2017,1,2,9,02-jan-2017 09:00:00,33,2,90,-1.3,0.0,16.7,
MULLINGAR,875,2017,1,2,10,02-jan-2017 10:00:00,33,3,87,0.4,0.0,45.8,
MULLINGAR,875,2017,1,2,11,02-jan-2017 11:00:00,32,3,80,2.0,0.0,69.6,
MULLINGAR,875,2017,1,2,12,02-jan-2017 12:00:00,30,3,77,3.1,0.0,74.4,
MULLINGAR,875,2017,1,2,13,02-jan-2017 13:00:00,30,4,78,3.4,0.0,71.6,
MULLINGAR,875,2017,1,2,14,02-jan-2017 14:00:00,30,5,78,4.0,0.0,50.0,
MULLINGAR,875,2017,1,2,15,02-jan-2017 15:00:00,29,4,77,4.1,0.0,17.2,
MULLINGAR,875,2017,1,2,16,02-jan-2017 16:00:00,28,3,82,2.5,0.0,0.9,
MULLINGAR,875,2017,1,2,17,02-jan-2017 17:00:00,30,4,87,1.1,0.0,0.0,
MULLINGAR,875,2017,1,2,18,02-jan-2017 18:00:00,29,5,90,0.4,0.0,0.0,
MULLINGAR,875,2017,1,2,19,02-jan-2017 19:00:00,28,2,92,-0.4,0.0,0.0,
MULLINGAR,875,2017,1,2,20,02-jan-2017 20:00:00,30,4,93,0.0,0.0,0.0,
MULLINGAR,875,2017,1,2,21,02-jan-2017 21:00:00,27,3,94,-1.0,0.0,0.0,
MULLINGAR,875,2017,1,2,22,02-jan-2017 22:00:00,16,1,94,-1.7,0.0,0.0,
MULLINGAR,875,2017,1,2,23,02-jan-2017 23:00:00,28,5,96,0.2,0.0,0.0,
MULLINGAR,875,2017,1,3,0,03-jan-2017 00:00:00,32,3,96,-0.3,0.0,0.0,
MULLINGAR,875,2017,1,3,1,03-jan-2017 01:00:00,16,1,95,-1.7,0.0,0.0,
MULLINGAR,875,2017,1,3,2,03-jan-2017 02:00:00,22,1,97,-1.2,0.0,0.0,
MULLINGAR,875,2017,1,3,3,03-jan-2017 03:00:00,18,2,97,-0.9,0.0,0.0,
MULLINGAR,875,2017,1,3,4,03-jan-2017 04:00:00,26,3,96,1.3,0.0,0.0,
MULLINGAR,875,2017,1,3,5,03-jan-2017 05:00:00,27,4,95,2.1,0.0,0.0,
MULLINGAR,875,2017,1,3,6,03-jan-2017 06:00:00,26,2,94,2.2,0.0,0.0,
MULLINGAR,875,2017,1,3,7,03-jan-2017 07:00:00,25,3,94,1.5,0.0,0.0,
MULLINGAR,875,2017,1,3,8,03-jan-2017 08:00:00,28,4,91,2.6,0.0,0.6,
MULLINGAR,875,2017,1,3,9,03-jan-2017 09:00:00,26,3,88,3.1,0.0,8.0,
MULLINGAR,875,2017,1,3,10,03-jan-2017 10:00:00,27,5,84,3.7,0.0,17.1,
MULLINGAR,875,2017,1,3,11,03-jan-2017 11:00:00,27,4,82,4.3,0.0,20.5,
MULLINGAR,875,2017,1,3,12,03-jan-2017 12:00:00,26,5,80,4.7,0.0,30.7,
MULLINGAR,875,2017,1,3,13,03-jan-2017 13:00:00,26,6,79,5.0,0.0,32.6,
MULLINGAR,875,2017,1,3,14,03-jan-2017 14:00:00,25,7,77,5.2,0.0,23.7,
MULLINGAR,875,2017,1,3,15,03-jan-2017 15:00:00,26,7,77,5.3,0.0,8.7,
MULLINGAR,875,2017,1,3,16,03-jan-2017 16:00:00,26,5,80,5.2,0.0,0.7,
MULLINGAR,875,2017,1,3,17,03-jan-2017 17:00:00,28,6,81,5.2,0.0,0.0,
MULLINGAR,875,2017,1,3,18,03-jan-2017 18:00:00,27,6,83,5.2,0.0,0.0,
MULLINGAR,875,2017,1,3,19,03-jan-2017 19:00:00,26,6,85,5.2,0.0,0.0,
MULLINGAR,875,2017,1,3,20,03-jan-2017 20:00:00,28,6,91,4.8,0.0,0.0,
MULLINGAR,875,2017,1,3,21,03-jan-2017 21:00:00,26,5,94,4.6,0.0,0.0,
MULLINGAR,875,2017,1,3,22,03-jan-2017 22:00:00,28,5,95,4.6,0.1,0.0,
