station_name,station_no,year,month,day,hour,date,dir,speed,rh,temp,rainfall,solar,
Oak_Park,375,2018,8,16,0,16-aug-2018 00:00:00,24,7,81,14.0,0.0,0.0,
Oak_Park,375,2018,8,16,1,16-aug-2018 01:00:00,27,5,79,12.3,0.0,0.0,
Oak_Park,375,2018,8,16,2,16-aug-2018 02:00:00,22,7,78,12.8,0.0,0.0,
Oak_Park,375,2018,8,16,3,16-aug-2018 03:00:00,20,7,86,11.4,0.0,0.0,
Oak_Park,375,2018,8,16,4,16-aug-2018 04:00:00,21,8,85,11.3,0.0,0.0,
Oak_Park,375,2018,8,16,5,16-aug-2018 05:00:00,19,8,88,10.5,0.0,6.0,
Oak_Park,375,2018,8,16,6,16-aug-2018 06:00:00,20,9,87,10.4,0.0,46.8,
Oak_Park,375,2018,8,16,7,16-aug-2018 07:00:00,20,11,81,12.4,0.0,79.8,
Oak_Park,375,2018,8,16,8,16-aug-2018 08:00:00,23,14,72,14.2,0.0,152.7,
Oak_Park,375,2018,8,16,9,16-aug-2018 09:00:00,25,16,67,15.3,0.0,228.5,
Oak_Park,375,2018,8,16,10,16-aug-2018 10:00:00,23,16,57,17.2,0.0,92.9,
Oak_Park,375,2018,8,16,11,16-aug-2018 11:00:00,26,13,64,16.0,0.0,178.3,
Oak_Park,375,2018,8,16,12,16-aug-2018 12:00:00,25,13,62,17.5,0.0,217.5,
Oak_Park,375,2018,8,16,13,16-aug-2018 13:00:00,26,15,56,17.9,0.0,244.9,
Oak_Park,375,2018,8,16,14,16-aug-2018 14:00:00,27,19,53,18.6,0.0,134.1,
Oak_Park,375,2018,8,16,15,16-aug-2018 15:00:00,25,13,79,16.1,1.5,198.5,
Oak_Park,375,2018,8,16,16,16-aug-2018 16:00:00,26,17,63,17.3,0.0,158.6,
Oak_Park,375,2018,8,16,17,16-aug-2018 17:00:00,28,15,62,17.5,0.0,55.9,
Oak_Park,375,2018,8,16,18,16-aug-2018 18:00:00,26,14,68,16.0,0.0,47.3,
Oak_Park,375,2018,8,16,19,16-aug-2018 19:00:00,26,9,72,15.4,0.0,5.1,
Oak_Park,375,2018,8,16,20,16-aug-2018 20:00:00,27,11,71,14.5,0.0,0.0,
Oak_Park,375,2018,8,16,21,16-aug-2018 21:00:00,27,10,79,13.4,0.0,0.0,
Oak_Park,375,2018,8,16,22,16-aug-2018 22:00:00,27,8,85,12.3,0.0,0.0,
Oak_Park,375,2018,8,16,23,16-aug-2018 23:00:00,26,6,86,12.3,0.0,0.0,
Oak_Park,375,2018,8,17,0,17-aug-2018 00:00:00,24,8,82,13.1,0.0,0.0,
Oak_Park,375,2018,8,17,1,17-aug-2018 01:00:00,21,6,84,12.8,0.0,0.0,
Oak_Park,375,2018,8,17,2,17-aug-2018 02:00:00,23,7,82,12.6,0.0,0.0,
Oak_Park,375,2018,8,17,3,17-aug-2018 03:00:00,22,6,84,12.4,0.0,0.0,
Oak_Park,375,2018,8,17,4,17-aug-2018 04:00:00,22,9,85,12.1,0.0,0.0,
Oak_Park,375,2018,8,17,5,17-aug-2018 05:00:00,20,8,86,11.9,0.0,2.3,
Oak_Park,375,2018,8,17,6,17-aug-2018 06:00:00,19,8,87,12.0,0.0,9.8,
Oak_Park,375,2018,8,17,7,17-aug-2018 07:00:00,19,9,90,12.0,0.3,12.0,
Oak_Park,375,2018,8,17,8,17-aug-2018 08:00:00,18,10,92,12.2,0.5,17.5,
Oak_Park,375,2018,8,17,9,17-aug-2018 09:00:00,18,7,93,12.6,0.7,25.2,
Oak_Park,375,2018,8,17,10,17-aug-2018 10:00:00,20,9,91,13.4,0.1,47.2,
Oak_Park,375,2018,8,17,11,17-aug-2018 11:00:00,20,11,91,13.9,0.1,85.8,
Oak_Park,375,2018,8,17,12,17-aug-2018 12:00:00,20,12,85,15.2,0.2,67.2,
Oak_Park,375,2018,8,17,13,17-aug-2018 13:00:00,21,11,84,15.6,0.0,56.4,
Oak_Park,375,2018,8,17,14,17-aug-2018 14:00:00,22,13,81,16.6,0.0,44.3,
Oak_Park,375,2018,8,17,15,17-aug-2018 15:00:00,22,14,80,16.9,0.0,24.3,
Oak_Park,375,2018,8,17,16,17-aug-2018 16:00:00,24,12,83,16.8,0.0,24.2,
Oak_Park,375,2018,8,17,17,17-aug-2018 17:00:00,23,12,82,17.0,0.0,26.6,
Oak_Park,375,2018,8,17,18,17-aug-2018 18:00:00,22,9,78,17.5,0.0,17.1,
Oak_Park,375,2018,8,17,19,17-aug-2018 19:00:00,19,8,76,17.6,0.0,1.4,
Oak_Park,375,2018,8,17,20,17-aug-2018 20:00:00,23,8,79,17.5,0.0,0.0,
Oak_Park,375,2018,8,17,21,17-aug-2018 21:00:00,24,11,81,17.0,0.0,0.0,
Oak_Park,375,2018,8,17,22,17-aug-2018 22:00:00,23,11,75,16.8,0.0,,
Oak_Park,375,2018,8,17,23,17-aug-2018 23:00:00,,,,,,,
This file contains PROVISIONAL hourly synoptic data and is subject to change once fully quality controlled. Contact keith.lambkin@met.ie for queries.
