station_name,station_no,year,month,day,hour,date,dir,speed,rh,temp,rainfall,solar,
OAK PARK,375,2018,12,12,0,12-dec-2018 00:00:00,17,4,95,8.9,0.0,0.0,
OAK PARK,375,2018,12,12,1,12-dec-2018 01:00:00,12,2,95,8.6,0.0,0.0,
OAK PARK,375,2018,12,12,2,12-dec-2018 02:00:00,15,2,95,8.3,0.1,0.0,
OAK PARK,375,2018,12,12,3,12-dec-2018 03:00:00,10,2,98,8.4,0.2,0.0,
OAK PARK,375,2018,12,12,4,12-dec-2018 04:00:00,30,4,97,8.0,0.1,0.0,
OAK PARK,375,2018,12,12,5,12-dec-2018 05:00:00,35,3,97,7.5,0.0,0.0,
OAK PARK,375,2018,12,12,6,12-dec-2018 06:00:00,36,1,97,7.4,0.0,0.0,
OAK PARK,375,2018,12,12,7,12-dec-2018 07:00:00,21,0,98,7.4,0.0,0.0,
OAK PARK,375,2018,12,12,8,12-dec-2018 08:00:00,18,4,98,7.5,0.0,1.0,
OAK PARK,375,2018,12,12,9,12-dec-2018 09:00:00,18,6,96,7.0,0.0,21.8,
OAK PARK,375,2018,12,12,10,12-dec-2018 10:00:00,13,3,95,6.7,0.0,49.2,
OAK PARK,375,2018,12,12,11,12-dec-2018 11:00:00,15,3,92,7.2,0.0,47.2,
OAK PARK,375,2018,12,12,12,12-dec-2018 12:00:00,13,5,93,7.2,0.0,61.7,
OAK PARK,375,2018,12,12,13,12-dec-2018 13:00:00,13,7,84,8.4,0.0,41.1,
OAK PARK,375,2018,12,12,14,12-dec-2018 14:00:00,14,10,87,8.1,0.0,34.1,
OAK PARK,375,2018,12,12,15,12-dec-2018 15:00:00,14,7,87,8.3,0.0,8.6,
OAK PARK,375,2018,12,12,16,12-dec-2018 16:00:00,14,6,87,7.0,0.0,0.1,
OAK PARK,375,2018,12,12,17,12-dec-2018 17:00:00,14,9,87,7.7,0.0,0.0,
OAK PARK,375,2018,12,12,18,12-dec-2018 18:00:00,15,12,81,8.6,0.0,0.0,
OAK PARK,375,2018,12,12,19,12-dec-2018 19:00:00,14,10,83,8.6,0.0,0.0,
OAK PARK,375,2018,12,12,20,12-dec-2018 20:00:00,13,11,83,8.7,0.1,0.0,
OAK PARK,375,2018,12,12,21,12-dec-2018 21:00:00,14,15,88,8.8,0.3,0.0,
OAK PARK,375,2018,12,12,22,12-dec-2018 22:00:00,16,12,91,8.1,1.4,0.0,
OAK PARK,375,2018,12,12,23,12-dec-2018 23:00:00,14,15,89,8.0,0.9,0.0,
OAK PARK,375,2018,12,13,0,13-dec-2018 00:00:00,13,20,91,7.8,0.4,0.0,
OAK PARK,375,2018,12,13,1,13-dec-2018 01:00:00,13,20,89,7.7,0.4,0.0,
OAK PARK,375,2018,12,13,2,13-dec-2018 02:00:00,12,18,88,7.5,0.2,0.0,
OAK PARK,375,2018,12,13,3,13-dec-2018 03:00:00,13,17,86,6.7,0.2,0.0,
OAK PARK,375,2018,12,13,4,13-dec-2018 04:00:00,13,19,80,6.8,0.0,0.0,
OAK PARK,375,2018,12,13,5,13-dec-2018 05:00:00,13,14,86,6.0,0.1,0.0,
OAK PARK,375,2018,12,13,6,13-dec-2018 06:00:00,13,15,85,5.9,0.4,0.0,
OAK PARK,375,2018,12,13,7,13-dec-2018 07:00:00,12,13,87,5.6,0.7,0.0,
OAK PARK,375,2018,12,13,8,13-dec-2018 08:00:00,13,15,87,5.6,0.4,0.0,
OAK PARK,375,2018,12,13,9,13-dec-2018 09:00:00,13,14,87,5.7,0.1,2.7,
OAK PARK,375,2018,12,13,10,13-dec-2018 10:00:00,14,16,85,5.3,0.1,10.0,
OAK PARK,375,2018,12,13,11,13-dec-2018 11:00:00,13,16,86,5.5,0.0,17.8,
OAK PARK,375,2018,12,13,12,13-dec-2018 12:00:00,13,13,83,5.7,0.0,9.4,
OAK PARK,375,2018,12,13,13,13-dec-2018 13:00:00,13,11,84,5.8,0.0,9.7,
OAK PARK,375,2018,12,13,14,13-dec-2018 14:00:00,13,13,86,5.7,0.1,7.4,
OAK PARK,375,2018,12,13,15,13-dec-2018 15:00:00,12,12,85,5.7,0.0,1.9,
OAK PARK,375,2018,12,13,16,13-dec-2018 16:00:00,12,11,88,5.6,0.0,0.0,
OAK PARK,375,2018,12,13,17,13-dec-2018 17:00:00,14,11,91,5.6,0.0,0.0,
OAK PARK,375,2018,12,13,18,13-dec-2018 18:00:00,14,13,90,5.7,0.1,0.0,
OAK PARK,375,2018,12,13,19,13-dec-2018 19:00:00,13,12,87,5.9,0.0,0.0,
OAK PARK,375,2018,12,13,20,13-dec-2018 20:00:00,14,12,90,5.5,0.0,0.0,
OAK PARK,375,2018,12,13,21,13-dec-2018 21:00:00,14,10,92,5.4,0.0,0.0,
OAK PARK,375,2018,12,13,22,13-dec-2018 22:00:00,13,9,90,5.6,0.0,0.0,
OAK PARK,375,2018,12,13,23,13-dec-2018 23:00:00,,,,,,,
This file contains PROVISIONAL hourly synoptic data and is subject to change once fully quality controlled. Contact keith.lambkin@met.ie for queries.
