station_name,station_no,year,month,day,hour,date,dir,speed,rh,temp,rainfall,solar,
Oak_Park,375,2018,3,19,0,19-mar-2018 00:00:00,6,5,70,0.8,0.0,0.0,
Oak_Park,375,2018,3,19,1,19-mar-2018 01:00:00,5,7,74,0.6,0.0,0.0,
Oak_Park,375,2018,3,19,2,19-mar-2018 02:00:00,6,6,73,0.6,0.0,0.0,
Oak_Park,375,2018,3,19,3,19-mar-2018 03:00:00,4,4,74,0.7,0.0,0.0,
Oak_Park,375,2018,3,19,4,19-mar-2018 04:00:00,4,8,72,0.9,0.0,0.0,
Oak_Park,375,2018,3,19,5,19-mar-2018 05:00:00,4,6,71,1.1,0.0,0.0,
Oak_Park,375,2018,3,19,6,19-mar-2018 06:00:00,4,8,69,1.4,0.0,0.1,
Oak_Park,375,2018,3,19,7,19-mar-2018 07:00:00,5,9,67,1.6,0.0,5.4,
Oak_Park,375,2018,3,19,8,19-mar-2018 08:00:00,4,9,62,1.8,0.0,39.1,
Oak_Park,375,2018,3,19,9,19-mar-2018 09:00:00,5,12,61,2.1,0.0,52.6,
Oak_Park,375,2018,3,19,10,19-mar-2018 10:00:00,5,11,60,2.4,0.0,75.9,
Oak_Park,375,2018,3,19,11,19-mar-2018 11:00:00,5,10,59,3.0,0.0,154.7,
Oak_Park,375,2018,3,19,12,19-mar-2018 12:00:00,6,11,57,3.6,0.0,127.6,
Oak_Park,375,2018,3,19,13,19-mar-2018 13:00:00,5,12,55,4.5,0.0,157.3,
Oak_Park,375,2018,3,19,14,19-mar-2018 14:00:00,5,13,55,5.0,0.0,167.0,
Oak_Park,375,2018,3,19,15,19-mar-2018 15:00:00,5,13,53,5.4,0.0,133.1,
Oak_Park,375,2018,3,19,16,19-mar-2018 16:00:00,4,12,56,4.9,0.0,96.8,
Oak_Park,375,2018,3,19,17,19-mar-2018 17:00:00,4,12,51,5.2,0.0,48.1,
Oak_Park,375,2018,3,19,18,19-mar-2018 18:00:00,4,9,57,4.8,0.0,4.1,
Oak_Park,375,2018,3,19,19,19-mar-2018 19:00:00,1,5,69,3.5,0.0,0.0,
Oak_Park,375,2018,3,19,20,19-mar-2018 20:00:00,4,6,66,3.4,0.0,0.0,
Oak_Park,375,2018,3,19,21,19-mar-2018 21:00:00,30,2,70,2.4,0.0,0.0,
Oak_Park,375,2018,3,19,22,19-mar-2018 22:00:00,36,6,75,1.3,0.0,0.0,
Oak_Park,375,2018,3,19,23,19-mar-2018 23:00:00,35,3,80,0.4,0.0,0.0,
Oak_Park,375,2018,3,20,0,20-mar-2018 00:00:00,34,6,80,0.9,0.0,0.0,
Oak_Park,375,2018,3,20,1,20-mar-2018 01:00:00,35,7,86,-0.0,0.0,0.0,
Oak_Park,375,2018,3,20,2,20-mar-2018 02:00:00,32,4,88,-0.7,0.0,0.0,
Oak_Park,375,2018,3,20,3,20-mar-2018 03:00:00,34,6,89,-0.8,0.0,0.0,
Oak_Park,375,2018,3,20,4,20-mar-2018 04:00:00,35,5,90,-1.5,0.0,0.0,
Oak_Park,375,2018,3,20,5,20-mar-2018 05:00:00,33,6,89,-1.3,0.0,0.0,
Oak_Park,375,2018,3,20,6,20-mar-2018 06:00:00,31,3,91,-1.9,0.0,2.5,
Oak_Park,375,2018,3,20,7,20-mar-2018 07:00:00,32,3,91,-1.9,0.0,37.1,
Oak_Park,375,2018,3,20,8,20-mar-2018 08:00:00,35,3,87,-0.6,0.0,94.5,
Oak_Park,375,2018,3,20,9,20-mar-2018 09:00:00,1,3,82,1.0,0.0,150.9,
Oak_Park,375,2018,3,20,10,20-mar-2018 10:00:00,31,5,78,2.9,0.0,195.1,
Oak_Park,375,2018,3,20,11,20-mar-2018 11:00:00,36,5,72,4.8,0.0,224.4,
Oak_Park,375,2018,3,20,12,20-mar-2018 12:00:00,34,6,62,5.8,0.0,232.6,
Oak_Park,375,2018,3,20,13,20-mar-2018 13:00:00,1,5,54,6.7,0.0,227.6,
Oak_Park,375,2018,3,20,14,20-mar-2018 14:00:00,34,5,48,7.8,0.0,202.5,
Oak_Park,375,2018,3,20,15,20-mar-2018 15:00:00,28,5,37,8.4,0.0,158.1,
Oak_Park,375,2018,3,20,16,20-mar-2018 16:00:00,30,4,43,8.6,0.0,97.2,
Oak_Park,375,2018,3,20,17,20-mar-2018 17:00:00,36,4,41,8.1,0.0,36.7,
Oak_Park,375,2018,3,20,18,20-mar-2018 18:00:00,1,2,44,7.0,0.0,4.0,
Oak_Park,375,2018,3,20,19,20-mar-2018 19:00:00,17,2,61,4.8,0.0,0.0,
Oak_Park,375,2018,3,20,20,20-mar-2018 20:00:00,23,1,70,3.2,0.0,0.0,
Oak_Park,375,2018,3,20,21,20-mar-2018 21:00:00,30,2,73,2.0,0.0,0.0,
Oak_Park,375,2018,3,20,22,20-mar-2018 22:00:00,27,1,81,0.6,0.0,,
Oak_Park,375,2018,3,20,23,20-mar-2018 23:00:00,,,,,,,
This file contains PROVISIONAL hourly synoptic data and is subject to change once fully quality controlled. Contact keith.lambkin@met.ie for queries.
