station_name,station_no,year,month,day,hour,date,dir,speed,rh,temp,rainfall,solar,
OAK PARK,375,2018,11,22,0,22-nov-2018 00:00:00,7,3,93,5.6,0.8,0.0,
OAK PARK,375,2018,11,22,1,22-nov-2018 01:00:00,16,7,92,5.4,1.1,0.0,
OAK PARK,375,2018,11,22,2,22-nov-2018 02:00:00,11,6,94,5.4,2.0,0.0,
OAK PARK,375,2018,11,22,3,22-nov-2018 03:00:00,10,3,93,4.8,0.4,0.0,
OAK PARK,375,2018,11,22,4,22-nov-2018 04:00:00,19,4,93,5.0,0.6,0.0,
OAK PARK,375,2018,11,22,5,22-nov-2018 05:00:00,25,3,96,4.8,0.2,0.0,
OAK PARK,375,2018,11,22,6,22-nov-2018 06:00:00,6,2,97,3.9,0.0,0.0,
OAK PARK,375,2018,11,22,7,22-nov-2018 07:00:00,10,5,91,6.3,0.0,0.1,
OAK PARK,375,2018,11,22,8,22-nov-2018 08:00:00,13,3,91,5.2,0.0,8.6,
OAK PARK,375,2018,11,22,9,22-nov-2018 09:00:00,11,5,84,5.6,0.0,33.5,
OAK PARK,375,2018,11,22,10,22-nov-2018 10:00:00,13,7,79,6.8,0.1,44.3,
OAK PARK,375,2018,11,22,11,22-nov-2018 11:00:00,11,6,77,6.8,0.0,116.0,
OAK PARK,375,2018,11,22,12,22-nov-2018 12:00:00,10,9,72,7.5,0.0,44.6,
OAK PARK,375,2018,11,22,13,22-nov-2018 13:00:00,12,10,75,6.6,0.0,65.2,
OAK PARK,375,2018,11,22,14,22-nov-2018 14:00:00,11,6,73,6.8,0.0,44.2,
OAK PARK,375,2018,11,22,15,22-nov-2018 15:00:00,11,8,74,6.1,0.0,14.4,
OAK PARK,375,2018,11,22,16,22-nov-2018 16:00:00,10,4,76,5.3,0.0,1.6,
OAK PARK,375,2018,11,22,17,22-nov-2018 17:00:00,10,4,77,4.4,0.0,0.0,
OAK PARK,375,2018,11,22,18,22-nov-2018 18:00:00,4,5,80,3.5,0.0,0.0,
OAK PARK,375,2018,11,22,19,22-nov-2018 19:00:00,9,5,80,3.1,0.0,0.0,
OAK PARK,375,2018,11,22,20,22-nov-2018 20:00:00,6,4,80,3.4,0.0,0.0,
OAK PARK,375,2018,11,22,21,22-nov-2018 21:00:00,1,4,87,2.1,0.0,0.0,
OAK PARK,375,2018,11,22,22,22-nov-2018 22:00:00,1,2,90,1.5,0.0,0.0,
OAK PARK,375,2018,11,22,23,22-nov-2018 23:00:00,33,2,93,1.7,0.0,0.0,
OAK PARK,375,2018,11,23,0,23-nov-2018 00:00:00,2,4,92,3.8,0.0,0.0,
OAK PARK,375,2018,11,23,1,23-nov-2018 01:00:00,8,4,84,5.7,0.0,0.0,
OAK PARK,375,2018,11,23,2,23-nov-2018 02:00:00,9,5,80,5.9,0.0,0.0,
OAK PARK,375,2018,11,23,3,23-nov-2018 03:00:00,1,3,82,5.6,0.0,0.0,
OAK PARK,375,2018,11,23,4,23-nov-2018 04:00:00,8,4,81,5.8,0.0,0.0,
OAK PARK,375,2018,11,23,5,23-nov-2018 05:00:00,6,4,83,5.5,0.0,0.0,
OAK PARK,375,2018,11,23,6,23-nov-2018 06:00:00,2,5,85,4.6,0.0,0.0,
OAK PARK,375,2018,11,23,7,23-nov-2018 07:00:00,2,4,84,4.8,0.0,0.0,
OAK PARK,375,2018,11,23,8,23-nov-2018 08:00:00,4,4,83,5.7,0.0,3.2,
OAK PARK,375,2018,11,23,9,23-nov-2018 09:00:00,7,6,83,6.3,0.0,14.9,
OAK PARK,375,2018,11,23,10,23-nov-2018 10:00:00,7,8,81,6.9,0.0,11.3,
OAK PARK,375,2018,11,23,11,23-nov-2018 11:00:00,7,6,85,7.0,0.0,17.0,
OAK PARK,375,2018,11,23,12,23-nov-2018 12:00:00,7,6,89,7.4,0.0,20.0,
OAK PARK,375,2018,11,23,13,23-nov-2018 13:00:00,7,8,90,7.9,0.0,9.7,
OAK PARK,375,2018,11,23,14,23-nov-2018 14:00:00,8,7,90,7.9,0.0,7.1,
OAK PARK,375,2018,11,23,15,23-nov-2018 15:00:00,8,8,89,8.1,0.0,5.3,
OAK PARK,375,2018,11,23,16,23-nov-2018 16:00:00,7,6,92,7.9,0.0,0.6,
OAK PARK,375,2018,11,23,17,23-nov-2018 17:00:00,9,6,91,8.3,0.0,0.0,
OAK PARK,375,2018,11,23,18,23-nov-2018 18:00:00,7,6,92,8.3,0.0,0.0,
OAK PARK,375,2018,11,23,19,23-nov-2018 19:00:00,8,6,89,8.5,0.0,0.0,
OAK PARK,375,2018,11,23,20,23-nov-2018 20:00:00,9,6,88,8.6,0.0,0.0,
OAK PARK,375,2018,11,23,21,23-nov-2018 21:00:00,9,6,88,8.5,0.0,0.0,
OAK PARK,375,2018,11,23,22,23-nov-2018 22:00:00,8,6,86,8.4,0.0,0.0,
OAK PARK,375,2018,11,23,23,23-nov-2018 23:00:00,,,,,,,
This file contains PROVISIONAL hourly synoptic data and is subject to change once fully quality controlled. Contact keith.lambkin@met.ie for queries.
