station_name,station_no,year,month,day,hour,date,dir,speed,rh,temp,rainfall,solar,
OAK PARK,375,2019,4,13,0,13-apr-2019 00:00:00,12,5,87,4.0,0.0,0.0,
OAK PARK,375,2019,4,13,1,13-apr-2019 01:00:00,12,5,90,4.3,0.0,0.0,
OAK PARK,375,2019,4,13,2,13-apr-2019 02:00:00,13,8,85,5.8,0.0,0.0,
OAK PARK,375,2019,4,13,3,13-apr-2019 03:00:00,14,7,82,6.0,0.0,0.0,
OAK PARK,375,2019,4,13,4,13-apr-2019 04:00:00,13,9,82,6.0,0.0,0.0,
OAK PARK,375,2019,4,13,5,13-apr-2019 05:00:00,13,9,84,6.4,0.0,1.7,
OAK PARK,375,2019,4,13,6,13-apr-2019 06:00:00,14,11,81,6.8,0.0,14.5,
OAK PARK,375,2019,4,13,7,13-apr-2019 07:00:00,14,11,80,6.8,0.0,55.1,
OAK PARK,375,2019,4,13,8,13-apr-2019 08:00:00,14,15,76,7.8,0.0,106.5,
OAK PARK,375,2019,4,13,9,13-apr-2019 09:00:00,14,17,68,8.3,0.0,143.6,
OAK PARK,375,2019,4,13,10,13-apr-2019 10:00:00,14,18,66,8.3,0.0,183.5,
OAK PARK,375,2019,4,13,11,13-apr-2019 11:00:00,14,17,65,8.8,0.0,191.4,
OAK PARK,375,2019,4,13,12,13-apr-2019 12:00:00,14,17,53,9.2,0.0,272.3,
OAK PARK,375,2019,4,13,13,13-apr-2019 13:00:00,14,19,52,10.1,0.0,247.6,
OAK PARK,375,2019,4,13,14,13-apr-2019 14:00:00,14,19,50,9.5,0.0,202.7,
OAK PARK,375,2019,4,13,15,13-apr-2019 15:00:00,14,18,54,9.5,0.0,144.1,
OAK PARK,375,2019,4,13,16,13-apr-2019 16:00:00,13,18,58,8.9,0.0,57.8,
OAK PARK,375,2019,4,13,17,13-apr-2019 17:00:00,14,17,62,8.5,0.0,26.8,
OAK PARK,375,2019,4,13,18,13-apr-2019 18:00:00,13,18,63,8.3,0.0,7.2,
OAK PARK,375,2019,4,13,19,13-apr-2019 19:00:00,13,16,61,8.1,0.0,0.2,
OAK PARK,375,2019,4,13,20,13-apr-2019 20:00:00,13,17,60,8.2,0.0,0.0,
OAK PARK,375,2019,4,13,21,13-apr-2019 21:00:00,13,17,62,8.2,0.0,0.0,
OAK PARK,375,2019,4,13,22,13-apr-2019 22:00:00,14,15,70,7.3,0.0,0.0,
OAK PARK,375,2019,4,13,23,13-apr-2019 23:00:00,15,14,63,7.5,0.2,0.0,
OAK PARK,375,2019,4,14,0,14-apr-2019 00:00:00,14,13,64,7.4,0.0,0.0,
OAK PARK,375,2019,4,14,1,14-apr-2019 01:00:00,14,14,65,7.3,0.0,0.0,
OAK PARK,375,2019,4,14,2,14-apr-2019 02:00:00,14,18,65,7.1,0.0,0.0,
OAK PARK,375,2019,4,14,3,14-apr-2019 03:00:00,13,17,64,6.9,0.0,0.0,
OAK PARK,375,2019,4,14,4,14-apr-2019 04:00:00,15,11,71,6.5,0.0,0.0,
OAK PARK,375,2019,4,14,5,14-apr-2019 05:00:00,13,15,70,6.6,0.0,0.0,
OAK PARK,375,2019,4,14,6,14-apr-2019 06:00:00,13,16,83,5.6,0.6,3.2,
OAK PARK,375,2019,4,14,7,14-apr-2019 07:00:00,14,16,77,5.2,0.8,8.1,
OAK PARK,375,2019,4,14,8,14-apr-2019 08:00:00,13,14,75,5.1,0.2,20.5,
OAK PARK,375,2019,4,14,9,14-apr-2019 09:00:00,14,16,72,5.4,0.2,25.3,
OAK PARK,375,2019,4,14,10,14-apr-2019 10:00:00,14,13,71,5.4,0.0,48.2,
OAK PARK,375,2019,4,14,11,14-apr-2019 11:00:00,13,14,72,5.6,0.0,42.5,
OAK PARK,375,2019,4,14,12,14-apr-2019 12:00:00,13,12,74,5.7,0.0,49.2,
OAK PARK,375,2019,4,14,13,14-apr-2019 13:00:00,14,13,78,5.7,0.2,55.0,
OAK PARK,375,2019,4,14,14,14-apr-2019 14:00:00,14,13,78,5.5,0.2,44.7,
OAK PARK,375,2019,4,14,15,14-apr-2019 15:00:00,13,12,78,6.1,0.0,42.1,
OAK PARK,375,2019,4,14,16,14-apr-2019 16:00:00,14,12,80,6.3,0.2,25.3,
OAK PARK,375,2019,4,14,17,14-apr-2019 17:00:00,14,10,78,6.4,0.0,12.2,
OAK PARK,375,2019,4,14,18,14-apr-2019 18:00:00,14,10,76,6.5,0.0,6.5,
OAK PARK,375,2019,4,14,19,14-apr-2019 19:00:00,14,6,78,6.2,0.0,0.5,
OAK PARK,375,2019,4,14,20,14-apr-2019 20:00:00,14,4,77,6.2,0.0,0.0,
OAK PARK,375,2019,4,14,21,14-apr-2019 21:00:00,13,9,66,6.8,0.0,0.0,
OAK PARK,375,2019,4,14,22,14-apr-2019 22:00:00,12,11,59,6.9,0.0,,
OAK PARK,375,2019,4,14,23,14-apr-2019 23:00:00,,,,,,,
This file contains PROVISIONAL hourly synoptic data and is subject to change once fully quality controlled. Contact keith.lambkin@met.ie for queries.
