station_name,station_no,year,month,day,hour,date,dir,speed,rh,temp,rainfall,solar,
OAK PARK,375,2019,2,17,0,17-feb-2019 00:00:00,17,22,85,10.9,0.0,0.0,
OAK PARK,375,2019,2,17,1,17-feb-2019 01:00:00,17,20,83,11.0,0.0,0.0,
OAK PARK,375,2019,2,17,2,17-feb-2019 02:00:00,16,18,83,10.9,0.0,0.0,
OAK PARK,375,2019,2,17,3,17-feb-2019 03:00:00,17,19,82,10.9,0.0,0.0,
OAK PARK,375,2019,2,17,4,17-feb-2019 04:00:00,17,18,92,10.2,0.0,0.0,
OAK PARK,375,2019,2,17,5,17-feb-2019 05:00:00,17,23,92,10.3,0.5,0.0,
OAK PARK,375,2019,2,17,6,17-feb-2019 06:00:00,17,12,90,9.0,0.2,0.0,
OAK PARK,375,2019,2,17,7,17-feb-2019 07:00:00,18,12,94,8.7,1.7,0.6,
OAK PARK,375,2019,2,17,8,17-feb-2019 08:00:00,18,12,91,8.6,0.6,17.9,
OAK PARK,375,2019,2,17,9,17-feb-2019 09:00:00,22,16,84,8.7,0.2,37.6,
OAK PARK,375,2019,2,17,10,17-feb-2019 10:00:00,20,9,87,9.0,0.3,113.3,
OAK PARK,375,2019,2,17,11,17-feb-2019 11:00:00,19,17,73,9.9,0.0,144.1,
OAK PARK,375,2019,2,17,12,17-feb-2019 12:00:00,19,18,67,10.6,0.0,142.2,
OAK PARK,375,2019,2,17,13,17-feb-2019 13:00:00,19,20,60,11.0,0.0,136.7,
OAK PARK,375,2019,2,17,14,17-feb-2019 14:00:00,19,21,69,10.7,0.0,102.5,
OAK PARK,375,2019,2,17,15,17-feb-2019 15:00:00,19,19,71,10.8,0.0,29.1,
OAK PARK,375,2019,2,17,16,17-feb-2019 16:00:00,18,21,73,10.3,0.0,20.5,
OAK PARK,375,2019,2,17,17,17-feb-2019 17:00:00,19,15,81,9.4,0.5,3.8,
OAK PARK,375,2019,2,17,18,17-feb-2019 18:00:00,19,14,81,9.1,0.0,0.0,
OAK PARK,375,2019,2,17,19,17-feb-2019 19:00:00,19,14,87,8.3,0.0,0.0,
OAK PARK,375,2019,2,17,20,17-feb-2019 20:00:00,19,16,82,8.4,0.0,0.0,
OAK PARK,375,2019,2,17,21,17-feb-2019 21:00:00,19,15,83,8.5,0.0,0.0,
OAK PARK,375,2019,2,17,22,17-feb-2019 22:00:00,19,14,81,8.2,0.0,0.0,
OAK PARK,375,2019,2,17,23,17-feb-2019 23:00:00,19,14,82,7.5,0.0,0.0,
OAK PARK,375,2019,2,18,0,18-feb-2019 00:00:00,19,13,82,7.4,0.0,0.0,
OAK PARK,375,2019,2,18,1,18-feb-2019 01:00:00,19,17,83,7.9,0.0,0.0,
OAK PARK,375,2019,2,18,2,18-feb-2019 02:00:00,23,6,80,7.5,0.0,0.0,
OAK PARK,375,2019,2,18,3,18-feb-2019 03:00:00,17,7,82,6.8,0.0,0.0,
OAK PARK,375,2019,2,18,4,18-feb-2019 04:00:00,17,6,86,5.5,0.0,0.0,
OAK PARK,375,2019,2,18,5,18-feb-2019 05:00:00,17,8,88,4.9,0.0,0.0,
OAK PARK,375,2019,2,18,6,18-feb-2019 06:00:00,18,9,84,4.7,0.0,0.0,
OAK PARK,375,2019,2,18,7,18-feb-2019 07:00:00,19,10,81,4.6,0.0,0.8,
OAK PARK,375,2019,2,18,8,18-feb-2019 08:00:00,19,9,79,4.6,0.0,27.9,
OAK PARK,375,2019,2,18,9,18-feb-2019 09:00:00,18,8,78,5.7,0.0,40.0,
OAK PARK,375,2019,2,18,10,18-feb-2019 10:00:00,22,11,83,6.0,0.1,52.6,
OAK PARK,375,2019,2,18,11,18-feb-2019 11:00:00,21,13,82,6.9,0.0,123.7,
OAK PARK,375,2019,2,18,12,18-feb-2019 12:00:00,22,11,74,8.9,0.0,135.3,
OAK PARK,375,2019,2,18,13,18-feb-2019 13:00:00,23,13,71,9.4,0.0,84.0,
OAK PARK,375,2019,2,18,14,18-feb-2019 14:00:00,23,14,70,9.2,0.0,81.3,
OAK PARK,375,2019,2,18,15,18-feb-2019 15:00:00,26,11,64,10.5,0.0,88.1,
OAK PARK,375,2019,2,18,16,18-feb-2019 16:00:00,24,14,69,9.6,0.0,42.2,
OAK PARK,375,2019,2,18,17,18-feb-2019 17:00:00,23,10,75,8.7,0.0,6.4,
OAK PARK,375,2019,2,18,18,18-feb-2019 18:00:00,23,8,79,7.5,0.0,0.0,
OAK PARK,375,2019,2,18,19,18-feb-2019 19:00:00,25,9,82,7.1,0.0,0.0,
OAK PARK,375,2019,2,18,20,18-feb-2019 20:00:00,24,11,86,6.8,0.0,0.0,
OAK PARK,375,2019,2,18,21,18-feb-2019 21:00:00,23,10,83,6.9,0.0,0.0,
OAK PARK,375,2019,2,18,22,18-feb-2019 22:00:00,20,8,89,5.8,0.0,0.0,
OAK PARK,375,2019,2,18,23,18-feb-2019 23:00:00,,,,,,,
This file contains PROVISIONAL hourly synoptic data and is subject to change once fully quality controlled. Contact keith.lambkin@met.ie for queries.
