station_name,station_no,year,month,day,hour,date,dir,speed,rh,temp,rainfall,solar,
OAK PARK,375,2019,1,18,0,18-jan-2019 00:00:00,13,7,77,2.5,0.0,0.0,
OAK PARK,375,2019,1,18,1,18-jan-2019 01:00:00,12,8,76,3.0,0.0,0.0,
OAK PARK,375,2019,1,18,2,18-jan-2019 02:00:00,16,13,69,4.7,0.0,0.0,
OAK PARK,375,2019,1,18,3,18-jan-2019 03:00:00,16,13,85,3.8,0.5,0.0,
OAK PARK,375,2019,1,18,4,18-jan-2019 04:00:00,14,11,90,3.6,1.2,0.0,
OAK PARK,375,2019,1,18,5,18-jan-2019 05:00:00,14,13,91,3.9,1.4,0.0,
OAK PARK,375,2019,1,18,6,18-jan-2019 06:00:00,15,12,91,4.6,1.0,0.0,
OAK PARK,375,2019,1,18,7,18-jan-2019 07:00:00,12,11,93,4.9,0.1,0.0,
OAK PARK,375,2019,1,18,8,18-jan-2019 08:00:00,13,9,96,5.9,0.2,1.1,
OAK PARK,375,2019,1,18,9,18-jan-2019 09:00:00,19,10,91,6.9,0.0,16.9,
OAK PARK,375,2019,1,18,10,18-jan-2019 10:00:00,17,6,92,6.7,0.0,60.8,
OAK PARK,375,2019,1,18,11,18-jan-2019 11:00:00,17,7,88,7.7,0.0,83.1,
OAK PARK,375,2019,1,18,12,18-jan-2019 12:00:00,18,5,82,8.7,0.0,95.9,
OAK PARK,375,2019,1,18,13,18-jan-2019 13:00:00,17,5,78,9.5,0.0,94.1,
OAK PARK,375,2019,1,18,14,18-jan-2019 14:00:00,17,8,75,9.7,0.0,56.2,
OAK PARK,375,2019,1,18,15,18-jan-2019 15:00:00,20,5,74,9.6,0.0,40.0,
OAK PARK,375,2019,1,18,16,18-jan-2019 16:00:00,20,4,79,9.0,0.0,3.7,
OAK PARK,375,2019,1,18,17,18-jan-2019 17:00:00,18,4,85,7.6,0.0,0.0,
OAK PARK,375,2019,1,18,18,18-jan-2019 18:00:00,14,3,86,6.7,0.0,0.0,
OAK PARK,375,2019,1,18,19,18-jan-2019 19:00:00,17,4,91,6.1,0.0,0.0,
OAK PARK,375,2019,1,18,20,18-jan-2019 20:00:00,14,4,94,4.9,0.0,0.0,
OAK PARK,375,2019,1,18,21,18-jan-2019 21:00:00,13,4,95,5.3,0.1,0.0,
OAK PARK,375,2019,1,18,22,18-jan-2019 22:00:00,13,4,96,5.3,0.5,0.0,
OAK PARK,375,2019,1,18,23,18-jan-2019 23:00:00,16,3,97,5.5,1.0,0.0,
OAK PARK,375,2019,1,19,0,19-jan-2019 00:00:00,13,3,97,5.5,0.8,0.0,
OAK PARK,375,2019,1,19,1,19-jan-2019 01:00:00,12,2,97,5.2,0.2,0.0,
OAK PARK,375,2019,1,19,2,19-jan-2019 02:00:00,13,2,98,5.4,0.1,0.0,
OAK PARK,375,2019,1,19,3,19-jan-2019 03:00:00,23,2,98,5.1,0.0,0.0,
OAK PARK,375,2019,1,19,4,19-jan-2019 04:00:00,13,3,98,5.0,0.0,0.0,
OAK PARK,375,2019,1,19,5,19-jan-2019 05:00:00,14,1,98,5.0,0.0,0.0,
OAK PARK,375,2019,1,19,6,19-jan-2019 06:00:00,16,1,98,4.5,0.0,0.0,
OAK PARK,375,2019,1,19,7,19-jan-2019 07:00:00,17,1,99,4.1,0.0,0.0,
OAK PARK,375,2019,1,19,8,19-jan-2019 08:00:00,21,1,98,4.4,0.0,1.3,
OAK PARK,375,2019,1,19,9,19-jan-2019 09:00:00,26,3,98,4.8,0.0,13.8,
OAK PARK,375,2019,1,19,10,19-jan-2019 10:00:00,32,2,98,5.2,0.0,30.3,
OAK PARK,375,2019,1,19,11,19-jan-2019 11:00:00,1,1,98,5.9,0.0,27.7,
OAK PARK,375,2019,1,19,12,19-jan-2019 12:00:00,24,0,98,6.2,0.0,28.5,
OAK PARK,375,2019,1,19,13,19-jan-2019 13:00:00,3,2,95,6.6,0.0,20.2,
OAK PARK,375,2019,1,19,14,19-jan-2019 14:00:00,1,3,91,6.6,0.0,16.9,
OAK PARK,375,2019,1,19,15,19-jan-2019 15:00:00,35,3,92,6.4,0.0,8.1,
OAK PARK,375,2019,1,19,16,19-jan-2019 16:00:00,2,3,93,6.4,0.0,1.8,
OAK PARK,375,2019,1,19,17,19-jan-2019 17:00:00,30,3,93,6.2,0.0,0.0,
OAK PARK,375,2019,1,19,18,19-jan-2019 18:00:00,31,2,95,6.0,0.0,0.0,
OAK PARK,375,2019,1,19,19,19-jan-2019 19:00:00,31,3,96,5.9,0.0,0.0,
OAK PARK,375,2019,1,19,20,19-jan-2019 20:00:00,34,3,95,5.7,0.0,0.0,
OAK PARK,375,2019,1,19,21,19-jan-2019 21:00:00,32,3,96,5.5,0.0,0.0,
OAK PARK,375,2019,1,19,22,19-jan-2019 22:00:00,34,3,97,5.1,0.0,0.0,
OAK PARK,375,2019,1,19,23,19-jan-2019 23:00:00,,,,,,,
This file contains PROVISIONAL hourly synoptic data and is subject to change once fully quality controlled. Contact keith.lambkin@met.ie for queries.
