station_name,station_no,year,month,day,hour,date,dir,speed,rh,temp,rainfall,solar,
OAK PARK,375,2019,6,4,0,04-jun-2019 00:00:00,14,3,94,9.9,0.0,0.0,
OAK PARK,375,2019,6,4,1,04-jun-2019 01:00:00,12,3,91,10.2,0.0,0.0,
OAK PARK,375,2019,6,4,2,04-jun-2019 02:00:00,12,4,93,10.0,0.1,0.0,
OAK PARK,375,2019,6,4,3,04-jun-2019 03:00:00,10,2,94,10.0,0.0,0.0,
OAK PARK,375,2019,6,4,4,04-jun-2019 04:00:00,10,3,95,9.8,0.3,1.0,
OAK PARK,375,2019,6,4,5,04-jun-2019 05:00:00,6,3,97,9.6,1.0,6.4,
OAK PARK,375,2019,6,4,6,04-jun-2019 06:00:00,7,3,97,10.0,2.3,19.2,
OAK PARK,375,2019,6,4,7,04-jun-2019 07:00:00,10,4,97,10.5,1.5,36.4,
OAK PARK,375,2019,6,4,8,04-jun-2019 08:00:00,11,4,95,10.9,2.2,56.3,
OAK PARK,375,2019,6,4,9,04-jun-2019 09:00:00,10,6,93,11.6,1.1,66.0,
OAK PARK,375,2019,6,4,10,04-jun-2019 10:00:00,12,7,94,12.0,1.1,88.8,
OAK PARK,375,2019,6,4,11,04-jun-2019 11:00:00,12,7,92,12.1,1.1,95.1,
OAK PARK,375,2019,6,4,12,04-jun-2019 12:00:00,14,7,91,12.1,0.8,92.3,
OAK PARK,375,2019,6,4,13,04-jun-2019 13:00:00,13,6,89,12.6,0.4,66.3,
OAK PARK,375,2019,6,4,14,04-jun-2019 14:00:00,12,6,91,12.3,1.3,60.4,
OAK PARK,375,2019,6,4,15,04-jun-2019 15:00:00,12,5,92,12.2,0.8,82.9,
OAK PARK,375,2019,6,4,16,04-jun-2019 16:00:00,11,4,90,12.5,0.5,76.4,
OAK PARK,375,2019,6,4,17,04-jun-2019 17:00:00,11,3,88,12.5,0.3,69.1,
OAK PARK,375,2019,6,4,18,04-jun-2019 18:00:00,10,2,85,12.9,0.0,15.1,
OAK PARK,375,2019,6,4,19,04-jun-2019 19:00:00,23,2,94,11.4,1.8,4.7,
OAK PARK,375,2019,6,4,20,04-jun-2019 20:00:00,33,2,96,11.2,2.2,0.7,
OAK PARK,375,2019,6,4,21,04-jun-2019 21:00:00,32,4,98,10.7,0.7,0.0,
OAK PARK,375,2019,6,4,22,04-jun-2019 22:00:00,29,9,96,9.6,1.4,0.0,
OAK PARK,375,2019,6,4,23,04-jun-2019 23:00:00,29,10,94,9.2,0.4,0.0,
OAK PARK,375,2019,6,5,0,05-jun-2019 00:00:00,29,11,93,9.1,0.1,0.0,
OAK PARK,375,2019,6,5,1,05-jun-2019 01:00:00,29,12,91,8.9,0.0,0.0,
OAK PARK,375,2019,6,5,2,05-jun-2019 02:00:00,29,14,91,8.6,0.1,0.0,
OAK PARK,375,2019,6,5,3,05-jun-2019 03:00:00,29,12,92,8.4,0.2,0.0,
OAK PARK,375,2019,6,5,4,05-jun-2019 04:00:00,29,12,92,8.3,0.2,1.6,
OAK PARK,375,2019,6,5,5,05-jun-2019 05:00:00,29,10,92,8.3,0.2,22.6,
OAK PARK,375,2019,6,5,6,05-jun-2019 06:00:00,29,9,91,8.8,0.1,50.3,
OAK PARK,375,2019,6,5,7,05-jun-2019 07:00:00,28,10,87,9.7,0.0,1.0,
OAK PARK,375,2019,6,5,8,05-jun-2019 08:00:00,,,,,,,
OAK PARK,375,2019,6,5,9,05-jun-2019 09:00:00,,,,,,,
OAK PARK,375,2019,6,5,10,05-jun-2019 10:00:00,,,,,,,
OAK PARK,375,2019,6,5,11,05-jun-2019 11:00:00,,,,,,,
OAK PARK,375,2019,6,5,12,05-jun-2019 12:00:00,,,,,,,
OAK PARK,375,2019,6,5,13,05-jun-2019 13:00:00,,,,,,,
OAK PARK,375,2019,6,5,14,05-jun-2019 14:00:00,,,,,,,
OAK PARK,375,2019,6,5,15,05-jun-2019 15:00:00,,,,,,,
OAK PARK,375,2019,6,5,16,05-jun-2019 16:00:00,,,,,,,
OAK PARK,375,2019,6,5,17,05-jun-2019 17:00:00,,,,,,,
OAK PARK,375,2019,6,5,18,05-jun-2019 18:00:00,,,,,,,
OAK PARK,375,2019,6,5,19,05-jun-2019 19:00:00,,,,,,,
OAK PARK,375,2019,6,5,20,05-jun-2019 20:00:00,,,,,,,
OAK PARK,375,2019,6,5,21,05-jun-2019 21:00:00,,,,,,,
OAK PARK,375,2019,6,5,22,05-jun-2019 22:00:00,,,,,,,
OAK PARK,375,2019,6,5,23,05-jun-2019 23:00:00,,,,,,,
This file contains PROVISIONAL hourly synoptic data and is subject to change once fully quality controlled. Contact keith.lambkin@met.ie for queries.
