station_name,station_no,year,month,day,hour,date,dir,speed,rh,temp,rainfall,solar,
OAK PARK,375,2019,5,9,0,09-may-2019 00:00:00,33,7,92,7.5,0.0,0.0,
OAK PARK,375,2019,5,9,1,09-may-2019 01:00:00,32,7,90,7.5,0.0,0.0,
OAK PARK,375,2019,5,9,2,09-may-2019 02:00:00,31,6,93,7.2,0.1,0.0,
OAK PARK,375,2019,5,9,3,09-may-2019 03:00:00,32,6,94,7.2,0.1,0.0,
OAK PARK,375,2019,5,9,4,09-may-2019 04:00:00,33,5,93,7.2,0.0,0.0,
OAK PARK,375,2019,5,9,5,09-may-2019 05:00:00,32,6,94,7.1,0.1,2.0,
OAK PARK,375,2019,5,9,6,09-may-2019 06:00:00,30,6,94,7.0,0.4,10.7,
OAK PARK,375,2019,5,9,7,09-may-2019 07:00:00,31,6,93,7.0,0.1,68.2,
OAK PARK,375,2019,5,9,8,09-may-2019 08:00:00,30,6,88,7.9,0.1,98.8,
OAK PARK,375,2019,5,9,9,09-may-2019 09:00:00,32,6,79,8.6,0.0,136.9,
OAK PARK,375,2019,5,9,10,09-may-2019 10:00:00,33,6,77,9.4,0.0,135.3,
OAK PARK,375,2019,5,9,11,09-may-2019 11:00:00,31,7,74,10.2,0.0,147.7,
OAK PARK,375,2019,5,9,12,09-may-2019 12:00:00,35,7,80,10.1,0.2,191.6,
OAK PARK,375,2019,5,9,13,09-may-2019 13:00:00,36,7,73,10.7,0.0,195.7,
OAK PARK,375,2019,5,9,14,09-may-2019 14:00:00,35,6,67,12.0,0.0,171.5,
OAK PARK,375,2019,5,9,15,09-may-2019 15:00:00,34,5,64,11.5,0.0,156.7,
OAK PARK,375,2019,5,9,16,09-may-2019 16:00:00,2,6,65,11.7,0.0,98.0,
OAK PARK,375,2019,5,9,17,09-may-2019 17:00:00,13,2,58,12.3,0.0,147.5,
OAK PARK,375,2019,5,9,18,09-may-2019 18:00:00,2,5,62,10.7,0.0,54.5,
OAK PARK,375,2019,5,9,19,09-may-2019 19:00:00,2,5,72,9.8,0.0,9.3,
OAK PARK,375,2019,5,9,20,09-may-2019 20:00:00,11,4,80,8.8,0.0,0.1,
OAK PARK,375,2019,5,9,21,09-may-2019 21:00:00,10,4,87,8.0,0.0,0.0,
OAK PARK,375,2019,5,9,22,09-may-2019 22:00:00,16,2,91,6.6,0.0,0.0,
OAK PARK,375,2019,5,9,23,09-may-2019 23:00:00,35,2,89,5.3,0.0,0.0,
OAK PARK,375,2019,5,10,0,10-may-2019 00:00:00,25,1,84,5.1,0.0,0.0,
OAK PARK,375,2019,5,10,1,10-may-2019 01:00:00,10,2,89,4.0,0.0,0.0,
OAK PARK,375,2019,5,10,2,10-may-2019 02:00:00,12,2,92,3.2,0.0,0.0,
OAK PARK,375,2019,5,10,3,10-may-2019 03:00:00,15,3,91,2.7,0.1,0.0,
OAK PARK,375,2019,5,10,4,10-may-2019 04:00:00,13,2,93,2.1,0.0,1.0,
OAK PARK,375,2019,5,10,5,10-may-2019 05:00:00,13,2,94,2.0,0.0,20.4,
OAK PARK,375,2019,5,10,6,10-may-2019 06:00:00,6,1,94,3.2,0.0,68.4,
OAK PARK,375,2019,5,10,7,10-may-2019 07:00:00,16,2,87,5.7,0.0,138.8,
OAK PARK,375,2019,5,10,8,10-may-2019 08:00:00,14,2,77,8.4,0.0,203.2,
OAK PARK,375,2019,5,10,9,10-may-2019 09:00:00,9,2,70,10.6,0.0,127.4,
OAK PARK,375,2019,5,10,10,10-may-2019 10:00:00,36,4,71,9.9,0.0,167.1,
OAK PARK,375,2019,5,10,11,10-may-2019 11:00:00,25,7,63,10.5,0.1,154.4,
OAK PARK,375,2019,5,10,12,10-may-2019 12:00:00,16,2,55,11.6,0.0,116.3,
OAK PARK,375,2019,5,10,13,10-may-2019 13:00:00,26,6,51,12.4,0.0,174.5,
OAK PARK,375,2019,5,10,14,10-may-2019 14:00:00,31,4,44,12.5,0.0,123.3,
OAK PARK,375,2019,5,10,15,10-may-2019 15:00:00,28,2,42,13.5,0.0,57.8,
OAK PARK,375,2019,5,10,16,10-may-2019 16:00:00,33,8,82,8.7,1.6,111.8,
OAK PARK,375,2019,5,10,17,10-may-2019 17:00:00,3,5,76,9.9,0.2,94.7,
OAK PARK,375,2019,5,10,18,10-may-2019 18:00:00,3,2,68,11.2,0.0,34.7,
OAK PARK,375,2019,5,10,19,10-may-2019 19:00:00,22,1,72,10.8,0.0,10.6,
OAK PARK,375,2019,5,10,20,10-may-2019 20:00:00,11,3,72,9.4,0.0,0.3,
OAK PARK,375,2019,5,10,21,10-may-2019 21:00:00,7,2,84,7.2,0.0,0.0,
OAK PARK,375,2019,5,10,22,10-may-2019 22:00:00,31,2,91,6.0,0.0,,
OAK PARK,375,2019,5,10,23,10-may-2019 23:00:00,,,,,,,
This file contains PROVISIONAL hourly synoptic data and is subject to change once fully quality controlled. Contact keith.lambkin@met.ie for queries.
