station_name,station_no,year,month,day,hour,date,dir,speed,rh,temp,rainfall,solar,
OAK PARK,375,2019,9,29,0,29-sep-2019 00:00:00,30,2,97,11.4,2.6,0.0,
OAK PARK,375,2019,9,29,1,29-sep-2019 01:00:00,35,5,97,11.8,1.2,0.0,
OAK PARK,375,2019,9,29,2,29-sep-2019 02:00:00,35,6,97,11.8,2.4,0.0,
OAK PARK,375,2019,9,29,3,29-sep-2019 03:00:00,2,9,97,12.0,1.6,0.0,
OAK PARK,375,2019,9,29,4,29-sep-2019 04:00:00,36,9,95,12.1,1.3,0.0,
OAK PARK,375,2019,9,29,5,29-sep-2019 05:00:00,34,11,95,11.8,0.4,0.0,
OAK PARK,375,2019,9,29,6,29-sep-2019 06:00:00,34,11,93,11.2,0.1,0.9,
OAK PARK,375,2019,9,29,7,29-sep-2019 07:00:00,33,10,92,11.2,0.0,19.2,
OAK PARK,375,2019,9,29,8,29-sep-2019 08:00:00,33,8,92,11.4,0.0,79.6,
OAK PARK,375,2019,9,29,9,29-sep-2019 09:00:00,33,9,84,12.9,0.0,102.7,
OAK PARK,375,2019,9,29,10,29-sep-2019 10:00:00,33,11,85,13.3,0.0,82.6,
OAK PARK,375,2019,9,29,11,29-sep-2019 11:00:00,30,10,81,14.4,0.0,66.0,
OAK PARK,375,2019,9,29,12,29-sep-2019 12:00:00,33,7,88,14.2,0.2,87.0,
OAK PARK,375,2019,9,29,13,29-sep-2019 13:00:00,33,6,79,14.7,0.3,129.4,
OAK PARK,375,2019,9,29,14,29-sep-2019 14:00:00,32,8,74,15.3,0.0,102.4,
OAK PARK,375,2019,9,29,15,29-sep-2019 15:00:00,30,6,69,16.2,0.0,89.9,
OAK PARK,375,2019,9,29,16,29-sep-2019 16:00:00,30,10,67,15.8,0.0,52.1,
OAK PARK,375,2019,9,29,17,29-sep-2019 17:00:00,29,8,69,15.1,0.0,20.2,
OAK PARK,375,2019,9,29,18,29-sep-2019 18:00:00,29,5,76,13.8,0.0,0.5,
OAK PARK,375,2019,9,29,19,29-sep-2019 19:00:00,29,3,81,12.5,0.0,0.0,
OAK PARK,375,2019,9,29,20,29-sep-2019 20:00:00,28,3,89,10.7,0.0,0.0,
OAK PARK,375,2019,9,29,21,29-sep-2019 21:00:00,29,4,86,10.6,0.0,0.0,
OAK PARK,375,2019,9,29,22,29-sep-2019 22:00:00,29,4,89,10.0,0.0,0.0,
OAK PARK,375,2019,9,29,23,29-sep-2019 23:00:00,28,1,93,9.0,0.0,0.0,
OAK PARK,375,2019,9,30,0,30-sep-2019 00:00:00,31,4,95,8.6,0.0,0.0,
OAK PARK,375,2019,9,30,1,30-sep-2019 01:00:00,36,4,96,7.5,0.0,0.0,
OAK PARK,375,2019,9,30,2,30-sep-2019 02:00:00,12,3,97,7.2,0.0,0.0,
OAK PARK,375,2019,9,30,3,30-sep-2019 03:00:00,15,2,97,7.3,0.0,0.0,
OAK PARK,375,2019,9,30,4,30-sep-2019 04:00:00,20,1,97,6.9,0.0,0.0,
OAK PARK,375,2019,9,30,5,30-sep-2019 05:00:00,11,1,98,7.1,0.0,0.0,
OAK PARK,375,2019,9,30,6,30-sep-2019 06:00:00,8,1,98,6.8,0.0,2.9,
OAK PARK,375,2019,9,30,7,30-sep-2019 07:00:00,16,2,98,7.1,0.1,16.9,
OAK PARK,375,2019,9,30,8,30-sep-2019 08:00:00,19,2,97,8.1,0.0,18.8,
OAK PARK,375,2019,9,30,9,30-sep-2019 09:00:00,12,3,96,9.3,0.0,34.5,
OAK PARK,375,2019,9,30,10,30-sep-2019 10:00:00,13,6,92,10.9,0.1,35.7,
OAK PARK,375,2019,9,30,11,30-sep-2019 11:00:00,12,6,95,11.8,1.0,28.4,
OAK PARK,375,2019,9,30,12,30-sep-2019 12:00:00,10,7,94,12.6,2.3,16.3,
OAK PARK,375,2019,9,30,13,30-sep-2019 13:00:00,12,10,94,11.5,4.0,10.7,
OAK PARK,375,2019,9,30,14,30-sep-2019 14:00:00,9,7,94,11.5,3.7,15.1,
OAK PARK,375,2019,9,30,15,30-sep-2019 15:00:00,9,9,94,11.9,3.0,20.3,
OAK PARK,375,2019,9,30,16,30-sep-2019 16:00:00,11,7,93,12.8,0.2,29.2,
OAK PARK,375,2019,9,30,17,30-sep-2019 17:00:00,10,13,87,13.6,0.0,7.5,
OAK PARK,375,2019,9,30,18,30-sep-2019 18:00:00,19,4,95,13.1,0.7,0.0,
OAK PARK,375,2019,9,30,19,30-sep-2019 19:00:00,21,3,97,12.9,0.9,0.0,
OAK PARK,375,2019,9,30,20,30-sep-2019 20:00:00,24,6,93,13.9,0.1,0.0,
OAK PARK,375,2019,9,30,21,30-sep-2019 21:00:00,26,2,93,13.1,0.0,0.0,
OAK PARK,375,2019,9,30,22,30-sep-2019 22:00:00,20,5,92,13.5,0.0,0.0,
OAK PARK,375,2019,9,30,23,30-sep-2019 23:00:00,,,,,,,
This file contains PROVISIONAL hourly synoptic data and is subject to change once fully quality controlled. Contact keith.lambkin@met.ie for queries.
