date,short_date,year,month,doy,day,hour,ind,rain,ind_1,temp,ind_2,wetb,dewpt,vappr,rhum,msl,ind_3,wdsp,ind_4,wddir,sun,sol_rad,stna,stno,height,lat,long
2016-01-01T00:00:00Z,2016-01-01,2016,1,1,1,0,0,0,0,0.6,0,0,-1.1,5.7,88,1015.9,2,6,2,180,NA,0,Dunsany,1375,83,53.51,-6.656
2016-01-01T01:00:00Z,2016-01-01,2016,1,1,1,1,0,0,0,0.5,0,-0.1,-1.2,5.6,88,1015.7,2,6,2,170,NA,0,Dunsany,1375,83,53.51,-6.656
2016-01-01T02:00:00Z,2016-01-01,2016,1,1,1,2,0,0,0,0.3,0,-0.4,-1.6,5.4,86,1016,2,6,2,170,NA,0,Dunsany,1375,83,53.51,-6.656
2016-01-01T03:00:00Z,2016-01-01,2016,1,1,1,3,0,0,0,0.7,0,-0.2,-1.8,5.3,83,1015.8,2,5,2,160,NA,0,Dunsany,1375,83,53.51,-6.656
2016-01-01T04:00:00Z,2016-01-01,2016,1,1,1,4,0,0,0,1.1,0,0.1,-1.9,5.3,80,1015.6,2,5,2,160,NA,0,Dunsany,1375,83,53.51,-6.656
2016-01-01T05:00:00Z,2016-01-01,2016,1,1,1,5,0,0,0,1.4,0,0.4,-1.5,5.5,80,1015,2,6,2,140,NA,0,Dunsany,1375,83,53.51,-6.656
2016-01-01T06:00:00Z,2016-01-01,2016,1,1,1,6,0,0,0,1.5,0,0.6,-1.1,5.6,83,1014.2,2,6,2,120,NA,0,Dunsany,1375,83,53.51,-6.656
2016-01-01T07:00:00Z,2016-01-01,2016,1,1,1,7,0,0,0,2.3,0,1.4,-0.1,6.1,84,1013.6,2,6,2,120,NA,0,Dunsany,1375,83,53.51,-6.656
2016-01-01T08:00:00Z,2016-01-01,2016,1,1,1,8,0,0,0,2.9,0,2,0.5,6.3,83,1012.5,2,7,2,110,NA,0.002,Dunsany,1375,83,53.51,-6.656
2016-01-01T09:00:00Z,2016-01-01,2016,1,1,1,9,0,0,0,4.4,0,3.3,1.6,6.8,81,1011.7,2,9,2,110,NA,0.036,Dunsany,1375,83,53.51,-6.656
2016-01-01T10:00:00Z,2016-01-01,2016,1,1,1,10,0,0.1,0,5,0,4.2,3,7.6,86,1010.6,2,8,2,120,NA,0.103,Dunsany,1375,83,53.51,-6.656
2016-01-01T11:00:00Z,2016-01-01,2016,1,1,1,11,0,0.1,0,7,0,5.7,4,8.1,81,1009,2,10,2,120,NA,0.12,Dunsany,1375,83,53.51,-6.656
2016-01-01T12:00:00Z,2016-01-01,2016,1,1,1,12,0,0,0,7.5,0,6,4,8.1,78,1007.4,2,13,2,130,NA,0.142,Dunsany,1375,83,53.51,-6.656
2016-01-01T13:00:00Z,2016-01-01,2016,1,1,1,13,0,0,0,7.1,0,6,4.5,8.4,83,1005.3,2,15,2,130,NA,0.206,Dunsany,1375,83,53.51,-6.656
2016-01-01T14:00:00Z,2016-01-01,2016,1,1,1,14,0,0,0,7.2,0,6.2,5,8.7,86,1003.1,2,17,2,120,NA,0.156,Dunsany,1375,83,53.51,-6.656
2016-01-01T15:00:00Z,2016-01-01,2016,1,1,1,15,0,0,0,7.6,0,6.7,5.4,9,86,1001.6,2,19,2,130,NA,0.073,Dunsany,1375,83,53.51,-6.656
2016-01-01T16:00:00Z,2016-01-01,2016,1,1,1,16,0,0,0,8,0,7.1,6,9.4,87,1000.5,2,17,2,120,NA,0.002,Dunsany,1375,83,53.51,-6.656
2016-01-01T17:00:00Z,2016-01-01,2016,1,1,1,17,0,0.1,0,8,0,7.4,6.7,9.8,91,999.6,2,17,2,120,NA,0,Dunsany,1375,83,53.51,-6.656
2016-01-01T18:00:00Z,2016-01-01,2016,1,1,1,18,0,0,0,8.4,0,7.6,6.7,9.8,89,998.7,2,16,2,120,NA,0,Dunsany,1375,83,53.51,-6.656
2016-01-01T19:00:00Z,2016-01-01,2016,1,1,1,19,0,0,0,8.5,0,7.5,6.4,9.6,87,998.2,2,15,2,120,NA,0,Dunsany,1375,83,53.51,-6.656
2016-01-01T20:00:00Z,2016-01-01,2016,1,1,1,20,0,0,0,8.3,0,7.6,6.8,9.9,90,997.4,2,15,2,120,NA,0,Dunsany,1375,83,53.51,-6.656
2016-01-01T21:00:00Z,2016-01-01,2016,1,1,1,21,0,0.2,0,8.2,0,7.2,6,9.4,86,996.4,2,15,2,120,NA,0,Dunsany,1375,83,53.51,-6.656
2016-01-01T22:00:00Z,2016-01-01,2016,1,1,1,22,0,0,0,8.2,0,7.5,6.6,9.8,89,995.4,2,16,2,120,NA,0,Dunsany,1375,83,53.51,-6.656
2016-01-01T23:00:00Z,2016-01-01,2016,1,1,1,23,0,0,0,8.3,0,7.4,6.3,9.6,87,994.9,2,16,2,120,NA,0,Dunsany,1375,83,53.51,-6.656
